C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
19,12,0,8,0,0,0.210526316,367.0459404,,3288612,2589335,3008725,Yes,2962224,,0,0,0,No,0,,0.631578947,0.421052632,,367.04594,14,0.736842105,1.166666667,1.75,O,,,0.666666667,,CondAr,----,----,----,----,----,,367.13081,367.00000,0.13081
20,12,0,8,0,0,0.2,379.0459404,,2495351,2395436,1979477,Yes,2290088,,0,0,0,No,0,,0.6,0.4,,379.04594,15,0.75,1.25,1.875,O,,,0.6875,,CondAr,----,----,----,----,----,,379.13359,379.00000,0.13359
20,12,0,9,0,0,0.3,395.040855,,3117573,2811581,3244156,Yes,3057770,,0,0,0,No,0,,0.6,0.45,,395.04085,15,0.75,1.25,1.666666667,O,,,0.677419355,,CondAr,----,----,----,----,----,,395.13220,395.00000,0.13220
20,12,0,10,0,0,0.4,411.0357696,,3926080,3491776,3237610,Yes,3551822,,0,0,0,No,0,,0.6,0.5,,411.03577,15,0.75,1.25,1.5,O,,,0.666666667,,CondAr,----,----,----,----,----,,411.13082,411.00000,0.13082
21,12,0,8,0,0,0.19047619,391.0459404,,1802789,2190809,1727626,Yes,1907074.667,,0,0,0,No,0,,0.571428571,0.380952381,,391.04594,16,0.761904762,1.333333333,2,O,,,0.705882353,,CondAr,----,----,----,----,----,,391.13636,391.00000,0.13636
21,12,0,9,0,0,0.285714286,407.040855,,2445148,2421433,2379817,Yes,2415466,,0,0,0,No,0,,0.571428571,0.428571429,,407.04085,16,0.761904762,1.333333333,1.777777778,O,,,0.696969697,,CondAr,----,----,----,----,----,,407.13498,407.00000,0.13498
21,12,0,10,0,0,0.380952381,423.0357696,,2260277,2142334,2374253,Yes,2258954.667,,0,0,0,No,0,,0.571428571,0.476190476,,423.03577,16,0.761904762,1.333333333,1.6,O,,,0.6875,,CondAr,----,----,----,----,----,,423.13359,423.00000,0.13359
21,12,0,11,0,0,0.476190476,439.0306842,,1773407,1939429,2093455,Yes,1935430.333,,0,0,0,No,0,,0.571428571,0.523809524,,439.03068,16,0.761904762,1.333333333,1.454545455,O,,,0.677419355,,CondAr,----,----,----,----,----,,439.13220,439.00000,0.13220
21,12,0,12,0,0,0.571428571,455.0255988,,2111585,1972265,2118485,Yes,2067445,,0,0,0,No,0,,0.571428571,0.571428571,,455.02560,16,0.761904762,1.333333333,1.333333333,O,,,0.666666667,,CondAr,----,----,----,----,----,,455.13082,455.00000,0.13082
22,14,0,8,0,0,0.090909091,405.0615904,,2064037,1963019,1767830,Yes,1931628.667,,0,0,0,No,0,,0.636363636,0.363636364,,405.06159,16,0.727272727,1.142857143,2,O,,,0.666666667,,CondAr,----,----,----,----,----,,405.15525,405.00000,0.15525
