C,H,N,O,S,P,,mass,,PreHW1.csv,PreHW2.csv,PreHW3.csv,Initial,AvgInitial,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,10,0,10,0,0,,337.0201196,,3994816,3932222,2708248,Yes,,NA,NA,NA,,0.714285714,0.714285714,,337.02012,10,0.714285714,1,1,O,,,0.555555556,,----,Aromatic,----,----,----,----,,337.09805,337.00000,0.09805
14,10,0,11,0,0,,353.0150342,,2805449,3027624,2410782,Yes,,NA,NA,NA,,0.714285714,0.785714286,,353.01503,10,0.714285714,1,0.909090909,O,,,0.529411765,,----,Aromatic,----,----,----,----,,353.09666,353.00000,0.09666
14,12,0,9,0,0,,323.040855,,3495882,3425386,2882995,Yes,,NA,NA,NA,,0.857142857,0.642857143,,323.04085,9,0.642857143,0.75,1,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,323.11555,323.00000,0.11555
14,12,0,10,0,0,,339.0357696,,5098739,3759753,3605701,Yes,,NA,NA,NA,,0.857142857,0.714285714,,339.03577,9,0.642857143,0.75,0.9,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,339.11417,339.00000,0.11417
14,12,0,11,0,0,,355.0306842,,3840433,3634573,2543500,Yes,,NA,NA,NA,,0.857142857,0.785714286,,355.03068,9,0.642857143,0.75,0.818181818,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,355.11278,355.00000,0.11278
14,14,0,9,0,0,,325.056505,,4403567,4021811,3316952,Yes,,NA,NA,NA,,1,0.642857143,,325.05650,8,0.571428571,0.571428571,0.888888889,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,325.13167,325.00000,0.13167
14,14,0,10,0,0,,341.0514196,,4808510,3774695,3032714,Yes,,NA,NA,NA,,1,0.714285714,,341.05142,8,0.571428571,0.571428571,0.8,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,341.13028,341.00000,0.13028
14,14,0,11,0,0,,357.0463342,,4426918,3243646,3679754,Yes,,NA,NA,NA,,1,0.785714286,,357.04633,8,0.571428571,0.571428571,0.727272727,O,,,0.294117647,,----,----,HUnSatLig,----,----,----,,357.12890,357.00000,0.12890
14,14,0,12,0,0,,373.0412488,,2198743,2369636,1605321,Yes,,NA,NA,NA,,1,0.857142857,,373.04125,8,0.571428571,0.571428571,0.666666667,O,,,0.25,,----,----,HUnSatLig,----,----,----,,373.12751,373.00000,0.12751
14,16,0,8,0,0,,311.0772404,,2497377,2367511,1743104,Yes,,NA,NA,NA,,1.142857143,0.571428571,,311.07724,7,0.5,0.4375,0.875,CRAM,,,0.3,,----,----,HUnSatLig,----,----,----,,311.14917,311.00000,0.14917
14,16,0,9,0,0,,327.072155,,3940133,3468814,3048973,Yes,,NA,NA,NA,,1.142857143,0.642857143,,327.07215,7,0.5,0.4375,0.777777778,CRAM,,,0.263157895,,----,----,HUnSatLig,----,----,----,,327.14779,327.00000,0.14779
14,16,0,10,0,0,,343.0670696,,4179360,4751195,3421800,Yes,,NA,NA,NA,,1.142857143,0.714285714,,343.06707,7,0.5,0.4375,0.7,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,343.14640,343.00000,0.14640
14,16,0,11,0,0,,359.0619842,,4352935,4185465,3529877,Yes,,NA,NA,NA,,1.142857143,0.785714286,,359.06198,7,0.5,0.4375,0.636363636,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,359.14501,359.00000,0.14501
14,17,5,8,0,0,,382.1004354,,3331012,3509037,1928692,Yes,,NA,NA,NA,,1.214285714,0.571428571,,382.10044,9,0.642857143,0.529411765,1.125,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,382.18879,382.00000,0.18879
14,18,0,8,0,0,,313.0928904,,2605223,2110085,1643738,Yes,,NA,NA,NA,,1.285714286,0.571428571,,313.09289,6,0.428571429,0.333333333,0.75,O,,,0.2,,----,----,HUnSatLig,----,----,----,,313.16529,313.00000,0.16529
14,18,0,9,0,0,,329.087805,,4081903,3930106,2319444,Yes,,3919446,2793386,3957750,,1.285714286,0.642857143,,329.08780,6,0.428571429,0.333333333,0.666666667,O,,,0.157894737,,----,----,HUnSatLig,----,----,----,,329.16390,329.00000,0.16390
14,18,0,10,0,0,,345.0827196,,3655707,3193316,2397281,Yes,,NA,NA,NA,,1.285714286,0.714285714,,345.08272,6,0.428571429,0.333333333,0.6,O,,,0.111111111,,----,----,HUnSatLig,----,----,----,,345.16251,345.00000,0.16251
14,18,0,12,1,0,,409.0446195,,46897658,20622436,19321270,Yes,,57342354,27350816,39827529,,1.285714286,0.857142857,,409.04462,6,0.428571429,0.333333333,0.5,O,,,-0.142857143,,----,----,HUnSatLig,----,----,----,,409.13921,409.00000,0.13921
14,20,0,9,0,0,,331.103455,,2475213,2272760,1729197,Yes,,1902122,1447836,1464031,,1.428571429,0.642857143,,331.10345,5,0.357142857,0.25,0.555555556,O,,,0.052631579,,----,----,HUnSatLig,----,----,----,,331.18002,331.00000,0.18002
14,20,0,10,0,0,,347.0983696,,8045232,6054019,4921972,Yes,,5711844,6142349,6082587,,1.428571429,0.714285714,,347.09837,5,0.357142857,0.25,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,347.17863,347.00000,0.17863
14,20,0,11,0,0,,363.0932842,,3322816,2844034,2445257,Yes,,2924824,3092375,3156832,,1.428571429,0.785714286,,363.09328,5,0.357142857,0.25,0.454545455,O,,,-0.058823529,,----,----,HUnSatLig,----,----,----,,363.17724,363.00000,0.17724
14,21,3,7,0,0,,342.1306728,,3157633,3126837,2168711,Yes,,2936252,3133818,3004372,,1.5,0.5,,342.13067,6,0.428571429,0.285714286,0.857142857,CRAM,,,0.133333333,,----,----,----,----,----,Alipat+N,,342.20979,342.00000,0.20979
14,21,3,8,0,0,,358.1255874,,1840448,1764374,1649253,Yes,,1648511,1556604,1782995,,1.5,0.571428571,,358.12559,6,0.428571429,0.285714286,0.75,O,,,0.071428571,,----,----,----,----,----,Alipat+N,,358.20840,358.00000,0.20840
14,22,0,9,0,0,,333.119105,,4381375,3077641,2745370,Yes,,5818388,4789662,6363102,,1.571428571,0.642857143,,333.11910,4,0.285714286,0.181818182,0.444444444,O,,,-0.052631579,,----,----,----,----,SatFACarb,----,,333.19613,333.00000,0.19613
14,22,0,11,0,0,,365.1089342,,3392723,2480779,2479212,Yes,,5312058,3977855,3368568,,1.571428571,0.785714286,,365.10893,4,0.285714286,0.181818182,0.363636364,O,,,-0.176470588,,----,----,----,----,SatFACarb,----,,365.19336,365.00000,0.19336
14,22,0,12,0,0,,381.1038488,,4607082,5392853,3792073,Yes,,5314255,5914840,6285875,,1.571428571,0.857142857,,381.10385,4,0.285714286,0.181818182,0.333333333,O,,,-0.25,,----,----,----,----,SatFACarb,----,,381.19197,381.00000,0.19197
14,22,0,12,1,0,,413.0759195,,3413754,3371474,2273317,Yes,,5620682,5298369,6840686,,1.571428571,0.857142857,,413.07592,4,0.285714286,0.181818182,0.333333333,O,,,-0.428571429,,----,----,----,----,SatFACarb,----,,413.17144,413.00000,0.17144
14,22,2,8,0,0,,345.1303384,,3275306,2460148,2073709,Yes,,3102561,2871574,3223948,,1.571428571,0.571428571,,345.13034,5,0.357142857,0.227272727,0.625,O,,,0,,----,----,----,----,----,Alipat+N,,345.21014,345.00000,0.21014
14,23,1,10,0,0,,364.1249186,,1774163,1644047,1511714,Yes,,NA,NA,NA,,1.642857143,0.714285714,,364.12492,4,0.285714286,0.173913043,0.4,O,,,-0.1875,,----,----,----,----,SatFACarb,----,,364.20912,364.00000,0.20912
14,23,3,5,0,0,,312.1564936,,1420814,1574617,1369203,Yes,,2256626,1863619,2181575,,1.642857143,0.357142857,,312.15649,5,0.357142857,0.217391304,1,CRAM,,,0.117647059,,----,----,----,----,----,Alipat+N,,312.22868,312.00000,0.22868
14,23,3,6,0,0,,328.1514082,,4401176,4114195,2886330,Yes,,4980611,5436617,5071641,,1.642857143,0.428571429,,328.15141,5,0.357142857,0.217391304,0.833333333,CRAM,,,0.0625,,----,----,----,----,----,Alipat+N,,328.22729,328.00000,0.22729
14,24,0,11,0,0,,367.1245842,,2894311,2415507,2176785,Yes,,3134303,2923366,2805648,,1.714285714,0.785714286,,367.12458,3,0.214285714,0.125,0.272727273,O,,,-0.294117647,,----,----,----,----,SatFACarb,----,,367.20948,367.00000,0.20948
14,24,0,12,0,0,,383.1194988,,4572960,3479687,2898720,Yes,,3376059,3913586,3729647,,1.714285714,0.857142857,,383.11950,3,0.214285714,0.125,0.25,O,,,-0.375,,----,----,----,----,SatFACarb,----,,383.20809,383.00000,0.20809
14,24,4,7,0,0,,359.1572218,,2489803,2484638,2133940,Yes,,1691662,1547251,1797729,,1.714285714,0.5,,359.15722,5,0.357142857,0.208333333,0.714285714,O,,,-0.076923077,,----,----,----,----,----,Alipat+N,,359.24027,359.00000,0.24027
14,25,3,6,0,0,,330.1670582,,3404268,2590729,2179082,Yes,,3318606,3138738,3372281,,1.785714286,0.428571429,,330.16706,4,0.285714286,0.16,0.666666667,O,,,-0.0625,,----,----,----,----,----,Alipat+N,,330.24340,330.00000,0.24340
14,25,3,7,0,0,,346.1619728,,5611898,4562761,3620218,Yes,,1586607,2237023,3082464,,1.785714286,0.5,,346.16197,4,0.285714286,0.16,0.571428571,O,,,-0.133333333,,----,----,----,----,----,Alipat+N,,346.24202,346.00000,0.24202
14,26,0,7,1,0,,337.1326465,,11213535,1533023,1472815,Yes,,16305190,3202004,12220438,,1.857142857,0.5,,337.13265,2,0.142857143,0.076923077,0.285714286,O,,,-0.263157895,,----,----,----,AlipatNoN,----,----,,337.21060,337.00000,0.21060
14,26,0,10,1,0,,385.1173903,,6878649,6629150,3986779,Yes,,11042958,10979827,15192973,,1.857142857,0.714285714,,385.11739,2,0.142857143,0.076923077,0.2,O,,,-0.5,,----,----,----,----,SatFACarb,----,,385.20644,385.00000,0.20644
14,26,0,12,1,0,,417.1072195,,3731297,3443891,2330625,Yes,,5596549,7145961,6285826,,1.857142857,0.857142857,,417.10722,2,0.142857143,0.076923077,0.166666667,O,,,-0.714285714,,----,----,----,----,SatFACarb,----,,417.20367,417.00000,0.20367
14,26,0,13,1,0,,433.1021341,,2274467,2043956,1559415,Yes,,3422483,4034379,4121707,,1.857142857,0.928571429,,433.10213,2,0.142857143,0.076923077,0.153846154,O,,,-0.846153846,,----,----,----,----,SatFACarb,----,,433.20228,433.00000,0.20228
14,26,4,6,0,0,,345.1779572,,3422266,2633731,2272889,Yes,,2962800,3080485,3498908,,1.857142857,0.428571429,,345.17796,4,0.285714286,0.153846154,0.666666667,O,,,-0.142857143,,----,----,----,----,----,Alipat+N,,345.25777,345.00000,0.25777
14,27,3,5,0,0,,316.1877936,,2086582,1910994,1563196,Yes,,3400820,3774645,3824508,,1.928571429,0.357142857,,316.18779,3,0.214285714,0.111111111,0.6,O,,,-0.117647059,,----,----,----,----,----,Alipat+N,,316.26091,316.00000,0.26091
15,8,0,9,0,0,,331.009555,,1720502,2185696,1486236,Yes,,NA,NA,NA,,0.533333333,0.6,,331.00955,12,0.8,1.5,1.333333333,O,,,0.714285714,,CondAr,----,----,----,----,----,,331.08610,331.00000,0.08610
15,10,0,9,0,0,,333.025205,,3142311,4083184,3094024,Yes,,NA,NA,NA,,0.666666667,0.6,,333.02520,11,0.733333333,1.1,1.222222222,O,,,0.619047619,,----,Aromatic,----,----,----,----,,333.10221,333.00000,0.10221
15,10,0,10,0,0,,349.0201196,,5083453,4996887,3576968,Yes,,NA,NA,NA,,0.666666667,0.666666667,,349.02012,11,0.733333333,1.1,1.1,O,,,0.6,,----,Aromatic,----,----,----,----,,349.10083,349.00000,0.10083
15,10,0,11,0,0,,365.0150342,,5465262,5234278,3915852,Yes,,NA,NA,NA,,0.666666667,0.733333333,,365.01503,11,0.733333333,1.1,1,O,,,0.578947368,,----,Aromatic,----,----,----,----,,365.09944,365.00000,0.09944
15,10,0,12,0,0,,381.0099488,,2712137,2832820,2304685,Yes,,NA,NA,NA,,0.666666667,0.8,,381.00995,11,0.733333333,1.1,0.916666667,O,,,0.555555556,,----,Aromatic,----,----,----,----,,381.09805,381.00000,0.09805
15,12,0,8,0,0,,319.0459404,,3166909,3245841,2184859,Yes,,NA,NA,NA,,0.8,0.533333333,,319.04594,10,0.666666667,0.833333333,1.25,CRAM,,,0.545454545,,----,Aromatic,----,----,----,----,,319.11972,319.00000,0.11972
15,12,0,9,0,0,,335.040855,,5367982,6189586,4222857,Yes,,1522683,2073754,1800664,,0.8,0.6,,335.04085,10,0.666666667,0.833333333,1.111111111,CRAM,,,0.523809524,,----,Aromatic,----,----,----,----,,335.11833,335.00000,0.11833
15,12,0,10,0,0,,351.0357696,,7194624,7976414,5789390,Yes,,1647155,2006193,1910139,,0.8,0.666666667,,351.03577,10,0.666666667,0.833333333,1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,351.11694,351.00000,0.11694
15,12,0,11,0,0,,367.0306842,,7951298,7322991,5616370,Yes,,NA,NA,NA,,0.8,0.733333333,,367.03068,10,0.666666667,0.833333333,0.909090909,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,367.11555,367.00000,0.11555
15,12,0,12,0,0,,383.0255988,,4374272,4881511,3298052,Yes,,NA,NA,NA,,0.8,0.8,,383.02560,10,0.666666667,0.833333333,0.833333333,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,383.11417,383.00000,0.11417
15,12,0,13,0,0,,399.0205134,,1956961,1651728,1551012,Yes,,NA,NA,NA,,0.8,0.866666667,,399.02051,10,0.666666667,0.833333333,0.769230769,O,,,0.411764706,,----,----,HUnSatLig,----,----,----,,399.11278,399.00000,0.11278
15,14,0,8,0,0,,321.0615904,,4160575,3920570,2959523,Yes,,1598678,1850767,1736219,,0.933333333,0.533333333,,321.06159,9,0.6,0.642857143,1.125,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,321.13583,321.00000,0.13583
15,14,0,9,0,0,,337.056505,,7519946,7419977,5215519,Yes,,2747409,1964991,2707456,,0.933333333,0.6,,337.05650,9,0.6,0.642857143,1,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,337.13444,337.00000,0.13444
15,14,0,10,0,0,,353.0514196,,10090199,9205941,6999337,Yes,,1685258,2313579,2617433,,0.933333333,0.666666667,,353.05142,9,0.6,0.642857143,0.9,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,353.13306,353.00000,0.13306
15,14,0,11,0,0,,369.0463342,,10583763,10299510,7361943,Yes,,1670241,2019881,2363009,,0.933333333,0.733333333,,369.04633,9,0.6,0.642857143,0.818181818,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,369.13167,369.00000,0.13167
15,14,0,12,0,0,,385.0412488,,5197216,5115653,3505477,Yes,,NA,NA,NA,,0.933333333,0.8,,385.04125,9,0.6,0.642857143,0.75,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,385.13028,385.00000,0.13028
15,16,0,8,0,0,,323.0772404,,4932050,4188786,3193784,Yes,,1810779,1908544,2649271,,1.066666667,0.533333333,,323.07724,8,0.533333333,0.5,1,CRAM,,,0.363636364,,----,----,HUnSatLig,----,----,----,,323.15195,323.00000,0.15195
15,16,0,9,0,0,,339.072155,,6572286,7052947,4991693,Yes,,2428479,3054071,3127359,,1.066666667,0.6,,339.07215,8,0.533333333,0.5,0.888888889,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,339.15056,339.00000,0.15056
15,16,0,10,0,0,,355.0670696,,10068414,9089947,7390103,Yes,,1996021,2420786,3025223,,1.066666667,0.666666667,,355.06707,8,0.533333333,0.5,0.8,CRAM,,,0.3,,----,----,HUnSatLig,----,----,----,,355.14917,355.00000,0.14917
15,16,0,11,0,0,,371.0619842,,10041824,9286519,7525433,Yes,,1540998,1527307,1993106,,1.066666667,0.733333333,,371.06198,8,0.533333333,0.5,0.727272727,O,,,0.263157895,,----,----,HUnSatLig,----,----,----,,371.14779,371.00000,0.14779
15,16,0,12,0,0,,387.0568988,,7258149,6696330,5903214,Yes,,NA,NA,NA,,1.066666667,0.8,,387.05690,8,0.533333333,0.5,0.666666667,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,387.14640,387.00000,0.14640
15,16,0,13,0,0,,403.0518134,,2024243,2335006,1924052,Yes,,NA,NA,NA,,1.066666667,0.866666667,,403.05181,8,0.533333333,0.5,0.615384615,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,403.14501,403.00000,0.14501
15,17,1,9,0,0,,354.083054,,1742673,1575215,1768037,Yes,,NA,NA,NA,,1.133333333,0.6,,354.08305,8,0.533333333,0.470588235,0.888888889,CRAM,,,0.315789474,,----,----,HUnSatLig,----,----,----,,354.16493,354.00000,0.16493
15,18,0,8,0,0,,325.0928904,,5132150,4190268,3124445,Yes,,3302131,3228673,3468903,,1.2,0.533333333,,325.09289,7,0.466666667,0.388888889,0.875,CRAM,,,0.272727273,,----,----,HUnSatLig,----,----,----,,325.16806,325.00000,0.16806
15,18,0,9,0,0,,341.087805,,8043336,6251762,4779154,Yes,,2886789,2675266,2961557,,1.2,0.6,,341.08780,7,0.466666667,0.388888889,0.777777778,CRAM,,,0.238095238,,----,----,HUnSatLig,----,----,----,,341.16668,341.00000,0.16668
15,18,0,10,0,0,,357.0827196,,7607476,6694540,5873173,Yes,,2585583,2561795,3183171,,1.2,0.666666667,,357.08272,7,0.466666667,0.388888889,0.7,O,,,0.2,,----,----,HUnSatLig,----,----,----,,357.16529,357.00000,0.16529
15,18,0,11,0,0,,373.0776342,,6506725,6313585,5238485,Yes,,NA,NA,NA,,1.2,0.733333333,,373.07763,7,0.466666667,0.388888889,0.636363636,O,,,0.157894737,,----,----,HUnSatLig,----,----,----,,373.16390,373.00000,0.16390
15,18,0,12,0,0,,389.0725488,,4060812,3809269,2492282,Yes,,NA,NA,NA,,1.2,0.8,,389.07255,7,0.466666667,0.388888889,0.583333333,O,,,0.111111111,,----,----,HUnSatLig,----,----,----,,389.16252,389.00000,0.16252
15,20,0,7,0,0,,311.1136258,,3010407,2412830,1822468,Yes,,2872918,2531081,3086877,,1.333333333,0.466666667,,311.11363,6,0.4,0.3,0.857142857,CRAM,,,0.217391304,,----,----,HUnSatLig,----,----,----,,311.18557,311.00000,0.18557
15,20,0,8,0,0,,327.1085404,,4956461,4080663,2877971,Yes,,3477662,2798034,4052521,,1.333333333,0.533333333,,327.10854,6,0.4,0.3,0.75,O,,,0.181818182,,----,----,HUnSatLig,----,----,----,,327.18418,327.00000,0.18418
15,20,0,9,0,0,,343.103455,,5403051,4531047,3412081,Yes,,3229924,3209377,3880707,,1.333333333,0.6,,343.10345,6,0.4,0.3,0.666666667,O,,,0.142857143,,----,----,HUnSatLig,----,----,----,,343.18279,343.00000,0.18279
15,20,0,10,0,0,,359.0983696,,7702453,5912967,4898977,Yes,,8720631,4686302,6504778,,1.333333333,0.666666667,,359.09837,6,0.4,0.3,0.6,O,,,0.1,,----,----,HUnSatLig,----,----,----,,359.18141,359.00000,0.18141
15,20,0,11,0,0,,375.0932842,,3856352,4103522,2940264,Yes,,NA,NA,NA,,1.333333333,0.733333333,,375.09328,6,0.4,0.3,0.545454545,O,,,0.052631579,,----,----,HUnSatLig,----,----,----,,375.18002,375.00000,0.18002
15,20,0,12,0,0,,391.0881988,,2194644,2231875,2022248,Yes,,NA,NA,NA,,1.333333333,0.8,,391.08820,6,0.4,0.3,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,391.17863,391.00000,0.17863
15,20,0,13,1,0,,439.0551841,,19568271,11039998,9407199,Yes,,43008434,17406753,23709441,,1.333333333,0.866666667,,439.05518,6,0.4,0.3,0.461538462,O,,,-0.2,,----,----,HUnSatLig,----,----,----,,439.15671,439.00000,0.15671
15,21,3,7,0,0,,354.1306728,,2085987,1934912,1650036,Yes,,NA,NA,NA,,1.4,0.466666667,,354.13067,7,0.466666667,0.333333333,1,CRAM,,,0.235294118,,----,----,HUnSatLig,----,----,----,,354.21256,354.00000,0.21256
15,22,0,7,0,0,,313.1292758,,2484397,2171531,1669598,Yes,,2836615,2482804,2786664,,1.466666667,0.466666667,,313.12928,5,0.333333333,0.227272727,0.714285714,O,,,0.130434783,,----,----,HUnSatLig,----,----,----,,313.20168,313.00000,0.20168
15,22,0,8,0,0,,329.1241904,,3926263,3213827,2153818,Yes,,3192414,3010995,3037183,,1.466666667,0.533333333,,329.12419,5,0.333333333,0.227272727,0.625,O,,,0.090909091,,----,----,HUnSatLig,----,----,----,,329.20030,329.00000,0.20030
15,22,0,9,0,0,,345.119105,,3236391,2659824,2313578,Yes,,1929565,2360595,2234760,,1.466666667,0.6,,345.11910,5,0.333333333,0.227272727,0.555555556,O,,,0.047619048,,----,----,HUnSatLig,----,----,----,,345.19891,345.00000,0.19891
15,22,0,10,0,0,,361.1140196,,5165759,4615305,3702583,Yes,,5527562,5082303,5717081,,1.466666667,0.666666667,,361.11402,5,0.333333333,0.227272727,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,361.19752,361.00000,0.19752
15,22,0,11,0,0,,377.1089342,,2854093,2833990,2088433,Yes,,2053849,2036351,2309773,,1.466666667,0.733333333,,377.10893,5,0.333333333,0.227272727,0.454545455,O,,,-0.052631579,,----,----,HUnSatLig,----,----,----,,377.19614,377.00000,0.19614
15,22,0,12,0,0,,393.1038488,,3390713,3170930,2059573,Yes,,2832116,3100937,2210538,,1.466666667,0.8,,393.10385,5,0.333333333,0.227272727,0.416666667,O,,,-0.111111111,,----,----,HUnSatLig,----,----,----,,393.19475,393.00000,0.19475
15,22,0,13,0,0,,409.0987634,,3889662,4916330,3374520,Yes,,4716954,5959462,5226574,,1.466666667,0.866666667,,409.09876,5,0.333333333,0.227272727,0.384615385,O,,,-0.176470588,,----,----,HUnSatLig,----,----,----,,409.19336,409.00000,0.19336
15,22,4,8,0,0,,385.1364864,,4238783,4131620,3013984,Yes,,4715669,4716025,4856724,,1.466666667,0.533333333,,385.13649,7,0.466666667,0.318181818,0.875,CRAM,,,0.142857143,,----,----,HUnSatLig,----,----,----,,385.22554,385.00000,0.22554
15,23,3,6,0,0,,340.1514082,,2087477,1935830,1426109,Yes,,2086004,2551087,2570108,,1.533333333,0.4,,340.15141,6,0.4,0.260869565,1,CRAM,,,0.166666667,,----,----,----,----,----,Alipat+N,,340.23006,340.00000,0.23006
15,23,3,7,0,0,,356.1463228,,7199570,7099693,5435627,Yes,,7473291,7657907,7901407,,1.533333333,0.466666667,,356.14632,6,0.4,0.260869565,0.857142857,CRAM,,,0.117647059,,----,----,----,----,----,Alipat+N,,356.22868,356.00000,0.22868
15,23,3,8,0,0,,372.1412374,,3503999,3768080,2982815,Yes,,2000437,2175635,2681139,,1.533333333,0.533333333,,372.14124,6,0.4,0.260869565,0.75,O,,,0.0625,,----,----,----,----,----,Alipat+N,,372.22729,372.00000,0.22729
15,23,5,7,0,0,,384.1524708,,4040827,3417568,3108938,Yes,,4124467,6026432,6451789,,1.533333333,0.466666667,,384.15247,7,0.466666667,0.304347826,1,CRAM,,,0.153846154,,----,----,----,----,----,Alipat+N,,384.24130,384.00000,0.24130
15,24,0,7,0,0,,315.1449258,,2898433,1824775,1479874,Yes,,2955720,2921452,2756291,,1.6,0.466666667,,315.14493,4,0.266666667,0.166666667,0.571428571,O,,,0.043478261,,----,----,----,AlipatNoN,----,----,,315.21780,315.00000,0.21780
15,24,0,8,0,0,,331.1398404,,2762453,2599937,1975987,Yes,,2478386,2145189,3282408,,1.6,0.533333333,,331.13984,4,0.266666667,0.166666667,0.5,O,,,0,,----,----,----,AlipatNoN,----,----,,331.21641,331.00000,0.21641
