C,H,N,O,S,P,,mass,,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,Initial,AvgInitial,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv,AvgFinal,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
13,18,0,12,0,0,,365.0725488,,12301014,13172305,8950582,Yes,11474633.67,7259033,8640250,10688744,8862675.667,1.384615385,0.923076923,,365.07255,5,0.384615385,0.277777778,0.416666667,O,,,-0.142857143,,----,----,HUnSatLig,----,----,----,,365.15697,365,0.15697
13,18,0,13,0,0,,381.0674634,,8066050,8948045,5930823,Yes,7648306,0,0,0,0,1.384615385,1,,381.06746,5,0.384615385,0.277777778,0.384615385,O,,,-0.230769231,,----,----,HUnSatLig,----,----,----,,381.15558,381,0.15558
13,18,0,14,0,0,,397.062378,,3618435,4220907,2110000,Yes,3316447.333,0,0,0,0,1.384615385,1.076923077,,397.06238,5,0.384615385,0.277777778,0.357142857,O,,,-0.333333333,,----,----,HUnSatLig,----,----,----,,397.15419,397,0.15419
13,20,0,10,0,0,,335.0983696,,4565847,4439291,3295701,Yes,4100279.667,2264190,2988579,3006952,2753240.333,1.538461538,0.769230769,,335.09837,4,0.307692308,0.2,0.4,O,,,-0.125,,----,----,----,----,SatFACarb,----,,335.17586,335,0.17586
13,20,0,11,0,0,,351.0932842,,11441131,11736415,10576289,Yes,11251278.33,4873825,5838122,5525251,5412399.333,1.538461538,0.846153846,,351.09328,4,0.307692308,0.2,0.363636364,O,,,-0.2,,----,----,----,----,SatFACarb,----,,351.17447,351,0.17447
13,20,0,12,0,0,,367.0881988,,18246924,20472015,14882263,Yes,17867067.33,4663827,5546392,4662157,4957458.667,1.538461538,0.923076923,,367.0882,4,0.307692308,0.2,0.333333333,O,,,-0.285714286,,----,----,----,----,SatFACarb,----,,367.17308,367,0.17308
13,20,0,13,0,0,,383.0831134,,15515147,17519480,12648845,Yes,15227824,5071999,6989058,7673719,6578258.667,1.538461538,1,,383.08311,4,0.307692308,0.2,0.307692308,O,,,-0.384615385,,----,----,----,----,SatFACarb,----,,383.1717,383,0.1717
13,20,0,14,0,0,,399.078028,,3504130,3334462,3044207,Yes,3294266.333,0,0,0,0,1.538461538,1.076923077,,399.07803,4,0.307692308,0.2,0.285714286,O,,,-0.5,,----,----,----,----,SatFACarb,----,,399.17031,399,0.17031
13,21,1,11,0,0,,366.1041832,,4042744,4432792,4031119,Yes,4168885,0,0,0,0,1.615384615,0.846153846,,366.10418,4,0.307692308,0.19047619,0.363636364,O,,,-0.307692308,,----,----,----,----,SatFACarb,----,,366.18884,366,0.18884
13,22,0,10,0,0,,337.1140196,,3851006,4259536,4279170,Yes,4129904,4383382,3716613,3773902,3957965.667,1.692307692,0.769230769,,337.11402,3,0.230769231,0.136363636,0.3,O,,,-0.25,,----,----,----,----,SatFACarb,----,,337.19197,337,0.19197
13,22,0,11,0,0,,353.1089342,,8474108,9471929,8164358,Yes,8703465,6686930,6134690,6879612,6567077.333,1.692307692,0.846153846,,353.10893,3,0.230769231,0.136363636,0.272727273,O,,,-0.333333333,,----,----,----,----,SatFACarb,----,,353.19059,353,0.19059
13,22,0,12,0,0,,369.1038488,,18468674,22094666,17784950,Yes,19449430,4808841,5680178,6413872,5634297,1.692307692,0.923076923,,369.10385,3,0.230769231,0.136363636,0.25,O,,,-0.428571429,,----,----,----,----,SatFACarb,----,,369.1892,369,0.1892
13,22,0,12,1,0,,401.0759195,,4411749,3554923,3165310,Yes,3710660.667,3205020,3849144,3009448,3354537.333,1.692307692,0.923076923,,401.07592,3,0.230769231,0.136363636,0.25,O,,,-0.666666667,,----,----,----,----,SatFACarb,----,,401.16866,401,0.16866
13,22,0,13,0,0,,385.0987634,,12087304,13723023,11088827,Yes,12299718,0,0,0,0,1.692307692,1,,385.09876,3,0.230769231,0.136363636,0.230769231,O,,,-0.538461538,,----,----,----,----,SatFACarb,----,,385.18781,385,0.18781
13,22,0,13,1,0,,417.0708341,,5554440,5119663,3328685,Yes,4667596,1960730,2309709,2033819,2101419.333,1.692307692,1,,417.07083,3,0.230769231,0.136363636,0.230769231,O,,,-0.818181818,,----,----,----,----,SatFACarb,----,,417.16728,417,0.16728
13,22,0,14,1,0,,433.0657487,,4202465,4235398,2143608,Yes,3527157,0,0,0,0,1.692307692,1.076923077,,433.06575,3,0.230769231,0.136363636,0.214285714,O,,,-1,,----,----,----,----,SatFACarb,----,,433.16589,433,0.16589
13,24,0,10,0,0,,339.1296696,,1990834,3337398,3694404,Yes,3007545.333,2670521,2809850,3089351,2856574,1.846153846,0.769230769,,339.12967,2,0.153846154,0.083333333,0.2,O,,,-0.375,,----,----,----,----,SatFACarb,----,,339.20809,339,0.20809
13,24,0,11,0,0,,355.1245842,,3478551,5064222,5263995,Yes,4602256,0,0,0,0,1.846153846,0.846153846,,355.12458,2,0.153846154,0.083333333,0.181818182,O,,,-0.466666667,,----,----,----,----,SatFACarb,----,,355.2067,355,0.2067
13,24,0,12,0,0,,371.1194988,,5474677,7665087,7813905,Yes,6984556.333,0,0,0,0,1.846153846,0.923076923,,371.1195,2,0.153846154,0.083333333,0.166666667,O,,,-0.571428571,,----,----,----,----,SatFACarb,----,,371.20531,371,0.20531
13,24,0,12,1,0,,403.0915695,,4046513,4674419,4580704,Yes,4433878.667,4256958,4351134,4883662,4497251.333,1.846153846,0.923076923,,403.09157,2,0.153846154,0.083333333,0.166666667,O,,,-0.833333333,,----,----,----,----,SatFACarb,----,,403.18478,403,0.18478
13,24,0,13,1,0,,419.0864841,,4584860,5327534,4614734,Yes,4842376,2218826,2897411,2863782,2660006.333,1.846153846,1,,419.08648,2,0.153846154,0.083333333,0.153846154,O,,,-1,,----,----,----,----,SatFACarb,----,,419.18339,419,0.18339
14,10,0,11,0,0,,353.0150342,,2813923,3377053,3699177,Yes,3296717.667,0,0,0,0,0.714285714,0.785714286,,353.01503,10,0.714285714,1,0.909090909,O,,,0.529411765,,----,Aromatic,----,----,----,----,,353.09666,353,0.09666
14,12,0,10,0,0,,339.0357696,,3999389,3191455,4128047,Yes,3772963.667,0,0,0,0,0.857142857,0.714285714,,339.03577,9,0.642857143,0.75,0.9,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,339.11417,339,0.11417
14,12,0,11,0,0,,355.0306842,,4512765,4638209,5226077,Yes,4792350.333,0,0,0,0,0.857142857,0.785714286,,355.03068,9,0.642857143,0.75,0.818181818,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,355.11278,355,0.11278
14,12,0,12,0,0,,371.0255988,,4376923,3905954,4598514,Yes,4293797,0,0,0,0,0.857142857,0.857142857,,371.0256,9,0.642857143,0.75,0.75,O,,,0.375,,----,----,HUnSatLig,----,----,----,,371.11139,371,0.11139
14,14,0,9,0,0,,325.056505,,2993620,3257540,3089566,Yes,3113575.333,0,0,0,0,1,0.642857143,,325.0565,8,0.571428571,0.571428571,0.888888889,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,325.13167,325,0.13167
14,14,0,10,0,0,,341.0514196,,5338718,5334677,5624583,Yes,5432659.333,0,0,0,0,1,0.714285714,,341.05142,8,0.571428571,0.571428571,0.8,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,341.13028,341,0.13028
14,14,0,11,0,0,,357.0463342,,7424544,6581359,6612192,Yes,6872698.333,0,0,0,0,1,0.785714286,,357.04633,8,0.571428571,0.571428571,0.727272727,O,,,0.294117647,,----,----,HUnSatLig,----,----,----,,357.1289,357,0.1289
14,14,0,12,0,0,,373.0412488,,6699915,6487056,6253957,Yes,6480309.333,0,0,0,0,1,0.857142857,,373.04125,8,0.571428571,0.571428571,0.666666667,O,,,0.25,,----,----,HUnSatLig,----,----,----,,373.12751,373,0.12751
14,14,0,13,0,0,,389.0361634,,2958272,2758499,2906543,Yes,2874438,0,0,0,0,1,0.928571429,,389.03616,8,0.571428571,0.571428571,0.615384615,O,,,0.2,,----,----,HUnSatLig,----,----,----,,389.12612,389,0.12612
