mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PreHW1.csv,PreHW2.csv,PreHW3.csv,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv
355.0306842,355.03068,14,12,0,11,0,0,0.857142857,0.785714286,9,0.642857143,0.75,0.818181818,CRAM,0.411764706,----,----,HUnSatLig,----,----,----,355.11278,355,0.11278,3840433,3634573,2543500,NA,NA,NA
325.056505,325.0565,14,14,0,9,0,0,1,0.642857143,8,0.571428571,0.571428571,0.888888889,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,325.13167,325,0.13167,4403567,4021811,3316952,NA,NA,NA
341.0514196,341.05142,14,14,0,10,0,0,1,0.714285714,8,0.571428571,0.571428571,0.8,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,341.13028,341,0.13028,4808510,3774695,3032714,NA,NA,NA
357.0463342,357.04633,14,14,0,11,0,0,1,0.785714286,8,0.571428571,0.571428571,0.727272727,O,0.294117647,----,----,HUnSatLig,----,----,----,357.1289,357,0.1289,4426918,3243646,3679754,NA,NA,NA
373.0412488,373.04125,14,14,0,12,0,0,1,0.857142857,8,0.571428571,0.571428571,0.666666667,O,0.25,----,----,HUnSatLig,----,----,----,373.12751,373,0.12751,2198743,2369636,1605321,NA,NA,NA
311.0772404,311.07724,14,16,0,8,0,0,1.142857143,0.571428571,7,0.5,0.4375,0.875,CRAM,0.3,----,----,HUnSatLig,----,----,----,311.14917,311,0.14917,2497377,2367511,1743104,NA,NA,NA
327.072155,327.07215,14,16,0,9,0,0,1.142857143,0.642857143,7,0.5,0.4375,0.777777778,CRAM,0.263157895,----,----,HUnSatLig,----,----,----,327.14779,327,0.14779,3940133,3468814,3048973,NA,NA,NA
343.0670696,343.06707,14,16,0,10,0,0,1.142857143,0.714285714,7,0.5,0.4375,0.7,O,0.222222222,----,----,HUnSatLig,----,----,----,343.1464,343,0.1464,4179360,4751195,3421800,NA,NA,NA
359.0619842,359.06198,14,16,0,11,0,0,1.142857143,0.785714286,7,0.5,0.4375,0.636363636,O,0.176470588,----,----,HUnSatLig,----,----,----,359.14501,359,0.14501,4352935,4185465,3529877,NA,NA,NA
382.1004354,382.10044,14,17,5,8,0,0,1.214285714,0.571428571,9,0.642857143,0.529411765,1.125,CRAM,0.5,----,----,HUnSatLig,----,----,----,382.18879,382,0.18879,3331012,3509037,1928692,NA,NA,NA
313.0928904,313.09289,14,18,0,8,0,0,1.285714286,0.571428571,6,0.428571429,0.333333333,0.75,O,0.2,----,----,HUnSatLig,----,----,----,313.16529,313,0.16529,2605223,2110085,1643738,NA,NA,NA
329.087805,329.0878,14,18,0,9,0,0,1.285714286,0.642857143,6,0.428571429,0.333333333,0.666666667,O,0.157894737,----,----,HUnSatLig,----,----,----,329.1639,329,0.1639,4081903,3930106,2319444,3919446,2793386,3957750
345.0827196,345.08272,14,18,0,10,0,0,1.285714286,0.714285714,6,0.428571429,0.333333333,0.6,O,0.111111111,----,----,HUnSatLig,----,----,----,345.16251,345,0.16251,3655707,3193316,2397281,NA,NA,NA
409.0446195,409.04462,14,18,0,12,1,0,1.285714286,0.857142857,6,0.428571429,0.333333333,0.5,O,-0.142857143,----,----,HUnSatLig,----,----,----,409.13921,409,0.13921,46897658,20622436,19321270,57342354,27350816,39827529
331.103455,331.10345,14,20,0,9,0,0,1.428571429,0.642857143,5,0.357142857,0.25,0.555555556,O,0.052631579,----,----,HUnSatLig,----,----,----,331.18002,331,0.18002,2475213,2272760,1729197,1902122,1447836,1464031
347.0983696,347.09837,14,20,0,10,0,0,1.428571429,0.714285714,5,0.357142857,0.25,0.5,O,0,----,----,HUnSatLig,----,----,----,347.17863,347,0.17863,8045232,6054019,4921972,5711844,6142349,6082587
363.0932842,363.09328,14,20,0,11,0,0,1.428571429,0.785714286,5,0.357142857,0.25,0.454545455,O,-0.058823529,----,----,HUnSatLig,----,----,----,363.17724,363,0.17724,3322816,2844034,2445257,2924824,3092375,3156832
342.1306728,342.13067,14,21,3,7,0,0,1.5,0.5,6,0.428571429,0.285714286,0.857142857,CRAM,0.133333333,----,----,----,----,----,Alipat+N,342.20979,342,0.20979,3157633,3126837,2168711,2936252,3133818,3004372
358.1255874,358.12559,14,21,3,8,0,0,1.5,0.571428571,6,0.428571429,0.285714286,0.75,O,0.071428571,----,----,----,----,----,Alipat+N,358.2084,358,0.2084,1840448,1764374,1649253,1648511,1556604,1782995
333.119105,333.1191,14,22,0,9,0,0,1.571428571,0.642857143,4,0.285714286,0.181818182,0.444444444,O,-0.052631579,----,----,----,----,SatFACarb,----,333.19613,333,0.19613,4381375,3077641,2745370,5818388,4789662,6363102
365.1089342,365.10893,14,22,0,11,0,0,1.571428571,0.785714286,4,0.285714286,0.181818182,0.363636364,O,-0.176470588,----,----,----,----,SatFACarb,----,365.19336,365,0.19336,3392723,2480779,2479212,5312058,3977855,3368568
381.1038488,381.10385,14,22,0,12,0,0,1.571428571,0.857142857,4,0.285714286,0.181818182,0.333333333,O,-0.25,----,----,----,----,SatFACarb,----,381.19197,381,0.19197,4607082,5392853,3792073,5314255,5914840,6285875
413.0759195,413.07592,14,22,0,12,1,0,1.571428571,0.857142857,4,0.285714286,0.181818182,0.333333333,O,-0.428571429,----,----,----,----,SatFACarb,----,413.17144,413,0.17144,3413754,3371474,2273317,5620682,5298369,6840686
345.1303384,345.13034,14,22,2,8,0,0,1.571428571,0.571428571,5,0.357142857,0.227272727,0.625,O,0,----,----,----,----,----,Alipat+N,345.21014,345,0.21014,3275306,2460148,2073709,3102561,2871574,3223948
364.1249186,364.12492,14,23,1,10,0,0,1.642857143,0.714285714,4,0.285714286,0.173913043,0.4,O,-0.1875,----,----,----,----,SatFACarb,----,364.20912,364,0.20912,1774163,1644047,1511714,NA,NA,NA
312.1564936,312.15649,14,23,3,5,0,0,1.642857143,0.357142857,5,0.357142857,0.217391304,1,CRAM,0.117647059,----,----,----,----,----,Alipat+N,312.22868,312,0.22868,1420814,1574617,1369203,2256626,1863619,2181575
328.1514082,328.15141,14,23,3,6,0,0,1.642857143,0.428571429,5,0.357142857,0.217391304,0.833333333,CRAM,0.0625,----,----,----,----,----,Alipat+N,328.22729,328,0.22729,4401176,4114195,2886330,4980611,5436617,5071641
367.1245842,367.12458,14,24,0,11,0,0,1.714285714,0.785714286,3,0.214285714,0.125,0.272727273,O,-0.294117647,----,----,----,----,SatFACarb,----,367.20948,367,0.20948,2894311,2415507,2176785,3134303,2923366,2805648
383.1194988,383.1195,14,24,0,12,0,0,1.714285714,0.857142857,3,0.214285714,0.125,0.25,O,-0.375,----,----,----,----,SatFACarb,----,383.20809,383,0.20809,4572960,3479687,2898720,3376059,3913586,3729647
359.1572218,359.15722,14,24,4,7,0,0,1.714285714,0.5,5,0.357142857,0.208333333,0.714285714,O,-0.076923077,----,----,----,----,----,Alipat+N,359.24027,359,0.24027,2489803,2484638,2133940,1691662,1547251,1797729
330.1670582,330.16706,14,25,3,6,0,0,1.785714286,0.428571429,4,0.285714286,0.16,0.666666667,O,-0.0625,----,----,----,----,----,Alipat+N,330.2434,330,0.2434,3404268,2590729,2179082,3318606,3138738,3372281
346.1619728,346.16197,14,25,3,7,0,0,1.785714286,0.5,4,0.285714286,0.16,0.571428571,O,-0.133333333,----,----,----,----,----,Alipat+N,346.24202,346,0.24202,5611898,4562761,3620218,1586607,2237023,3082464
337.1326465,337.13265,14,26,0,7,1,0,1.857142857,0.5,2,0.142857143,0.076923077,0.285714286,O,-0.263157895,----,----,----,AlipatNoN,----,----,337.2106,337,0.2106,11213535,1533023,1472815,16305190,3202004,12220438
385.1173903,385.11739,14,26,0,10,1,0,1.857142857,0.714285714,2,0.142857143,0.076923077,0.2,O,-0.5,----,----,----,----,SatFACarb,----,385.20644,385,0.20644,6878649,6629150,3986779,11042958,10979827,15192973
417.1072195,417.10722,14,26,0,12,1,0,1.857142857,0.857142857,2,0.142857143,0.076923077,0.166666667,O,-0.714285714,----,----,----,----,SatFACarb,----,417.20367,417,0.20367,3731297,3443891,2330625,5596549,7145961,6285826
433.1021341,433.10213,14,26,0,13,1,0,1.857142857,0.928571429,2,0.142857143,0.076923077,0.153846154,O,-0.846153846,----,----,----,----,SatFACarb,----,433.20228,433,0.20228,2274467,2043956,1559415,3422483,4034379,4121707
345.1779572,345.17796,14,26,4,6,0,0,1.857142857,0.428571429,4,0.285714286,0.153846154,0.666666667,O,-0.142857143,----,----,----,----,----,Alipat+N,345.25777,345,0.25777,3422266,2633731,2272889,2962800,3080485,3498908
316.1877936,316.18779,14,27,3,5,0,0,1.928571429,0.357142857,3,0.214285714,0.111111111,0.6,O,-0.117647059,----,----,----,----,----,Alipat+N,316.26091,316,0.26091,2086582,1910994,1563196,3400820,3774645,3824508
331.009555,331.00955,15,8,0,9,0,0,0.533333333,0.6,12,0.8,1.5,1.333333333,O,0.714285714,CondAr,----,----,----,----,----,331.0861,331,0.0861,1720502,2185696,1486236,NA,NA,NA
333.025205,333.0252,15,10,0,9,0,0,0.666666667,0.6,11,0.733333333,1.1,1.222222222,O,0.619047619,----,Aromatic,----,----,----,----,333.10221,333,0.10221,3142311,4083184,3094024,NA,NA,NA
349.0201196,349.02012,15,10,0,10,0,0,0.666666667,0.666666667,11,0.733333333,1.1,1.1,O,0.6,----,Aromatic,----,----,----,----,349.10083,349,0.10083,5083453,4996887,3576968,NA,NA,NA
365.0150342,365.01503,15,10,0,11,0,0,0.666666667,0.733333333,11,0.733333333,1.1,1,O,0.578947368,----,Aromatic,----,----,----,----,365.09944,365,0.09944,5465262,5234278,3915852,NA,NA,NA
381.0099488,381.00995,15,10,0,12,0,0,0.666666667,0.8,11,0.733333333,1.1,0.916666667,O,0.555555556,----,Aromatic,----,----,----,----,381.09805,381,0.09805,2712137,2832820,2304685,NA,NA,NA
319.0459404,319.04594,15,12,0,8,0,0,0.8,0.533333333,10,0.666666667,0.833333333,1.25,CRAM,0.545454545,----,Aromatic,----,----,----,----,319.11972,319,0.11972,3166909,3245841,2184859,NA,NA,NA
335.040855,335.04085,15,12,0,9,0,0,0.8,0.6,10,0.666666667,0.833333333,1.111111111,CRAM,0.523809524,----,Aromatic,----,----,----,----,335.11833,335,0.11833,5367982,6189586,4222857,1522683,2073754,1800664
351.0357696,351.03577,15,12,0,10,0,0,0.8,0.666666667,10,0.666666667,0.833333333,1,CRAM,0.5,----,----,HUnSatLig,----,----,----,351.11694,351,0.11694,7194624,7976414,5789390,1647155,2006193,1910139
367.0306842,367.03068,15,12,0,11,0,0,0.8,0.733333333,10,0.666666667,0.833333333,0.909090909,CRAM,0.473684211,----,----,HUnSatLig,----,----,----,367.11555,367,0.11555,7951298,7322991,5616370,NA,NA,NA
383.0255988,383.0256,15,12,0,12,0,0,0.8,0.8,10,0.666666667,0.833333333,0.833333333,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,383.11417,383,0.11417,4374272,4881511,3298052,NA,NA,NA
399.0205134,399.02051,15,12,0,13,0,0,0.8,0.866666667,10,0.666666667,0.833333333,0.769230769,O,0.411764706,----,----,HUnSatLig,----,----,----,399.11278,399,0.11278,1956961,1651728,1551012,NA,NA,NA
321.0615904,321.06159,15,14,0,8,0,0,0.933333333,0.533333333,9,0.6,0.642857143,1.125,CRAM,0.454545455,----,----,HUnSatLig,----,----,----,321.13583,321,0.13583,4160575,3920570,2959523,1598678,1850767,1736219
337.056505,337.0565,15,14,0,9,0,0,0.933333333,0.6,9,0.6,0.642857143,1,CRAM,0.428571429,----,----,HUnSatLig,----,----,----,337.13444,337,0.13444,7519946,7419977,5215519,2747409,1964991,2707456
353.0514196,353.05142,15,14,0,10,0,0,0.933333333,0.666666667,9,0.6,0.642857143,0.9,CRAM,0.4,----,----,HUnSatLig,----,----,----,353.13306,353,0.13306,10090199,9205941,6999337,1685258,2313579,2617433
369.0463342,369.04633,15,14,0,11,0,0,0.933333333,0.733333333,9,0.6,0.642857143,0.818181818,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,369.13167,369,0.13167,10583763,10299510,7361943,1670241,2019881,2363009
385.0412488,385.04125,15,14,0,12,0,0,0.933333333,0.8,9,0.6,0.642857143,0.75,O,0.333333333,----,----,HUnSatLig,----,----,----,385.13028,385,0.13028,5197216,5115653,3505477,NA,NA,NA
323.0772404,323.07724,15,16,0,8,0,0,1.066666667,0.533333333,8,0.533333333,0.5,1,CRAM,0.363636364,----,----,HUnSatLig,----,----,----,323.15195,323,0.15195,4932050,4188786,3193784,1810779,1908544,2649271
339.072155,339.07215,15,16,0,9,0,0,1.066666667,0.6,8,0.533333333,0.5,0.888888889,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,339.15056,339,0.15056,6572286,7052947,4991693,2428479,3054071,3127359
355.0670696,355.06707,15,16,0,10,0,0,1.066666667,0.666666667,8,0.533333333,0.5,0.8,CRAM,0.3,----,----,HUnSatLig,----,----,----,355.14917,355,0.14917,10068414,9089947,7390103,1996021,2420786,3025223
371.0619842,371.06198,15,16,0,11,0,0,1.066666667,0.733333333,8,0.533333333,0.5,0.727272727,O,0.263157895,----,----,HUnSatLig,----,----,----,371.14779,371,0.14779,10041824,9286519,7525433,1540998,1527307,1993106
387.0568988,387.0569,15,16,0,12,0,0,1.066666667,0.8,8,0.533333333,0.5,0.666666667,O,0.222222222,----,----,HUnSatLig,----,----,----,387.1464,387,0.1464,7258149,6696330,5903214,NA,NA,NA
403.0518134,403.05181,15,16,0,13,0,0,1.066666667,0.866666667,8,0.533333333,0.5,0.615384615,O,0.176470588,----,----,HUnSatLig,----,----,----,403.14501,403,0.14501,2024243,2335006,1924052,NA,NA,NA
354.083054,354.08305,15,17,1,9,0,0,1.133333333,0.6,8,0.533333333,0.470588235,0.888888889,CRAM,0.315789474,----,----,HUnSatLig,----,----,----,354.16493,354,0.16493,1742673,1575215,1768037,NA,NA,NA
325.0928904,325.09289,15,18,0,8,0,0,1.2,0.533333333,7,0.466666667,0.388888889,0.875,CRAM,0.272727273,----,----,HUnSatLig,----,----,----,325.16806,325,0.16806,5132150,4190268,3124445,3302131,3228673,3468903
341.087805,341.0878,15,18,0,9,0,0,1.2,0.6,7,0.466666667,0.388888889,0.777777778,CRAM,0.238095238,----,----,HUnSatLig,----,----,----,341.16668,341,0.16668,8043336,6251762,4779154,2886789,2675266,2961557
357.0827196,357.08272,15,18,0,10,0,0,1.2,0.666666667,7,0.466666667,0.388888889,0.7,O,0.2,----,----,HUnSatLig,----,----,----,357.16529,357,0.16529,7607476,6694540,5873173,2585583,2561795,3183171
373.0776342,373.07763,15,18,0,11,0,0,1.2,0.733333333,7,0.466666667,0.388888889,0.636363636,O,0.157894737,----,----,HUnSatLig,----,----,----,373.1639,373,0.1639,6506725,6313585,5238485,NA,NA,NA
389.0725488,389.07255,15,18,0,12,0,0,1.2,0.8,7,0.466666667,0.388888889,0.583333333,O,0.111111111,----,----,HUnSatLig,----,----,----,389.16252,389,0.16252,4060812,3809269,2492282,NA,NA,NA
311.1136258,311.11363,15,20,0,7,0,0,1.333333333,0.466666667,6,0.4,0.3,0.857142857,CRAM,0.217391304,----,----,HUnSatLig,----,----,----,311.18557,311,0.18557,3010407,2412830,1822468,2872918,2531081,3086877
327.1085404,327.10854,15,20,0,8,0,0,1.333333333,0.533333333,6,0.4,0.3,0.75,O,0.181818182,----,----,HUnSatLig,----,----,----,327.18418,327,0.18418,4956461,4080663,2877971,3477662,2798034,4052521
343.103455,343.10345,15,20,0,9,0,0,1.333333333,0.6,6,0.4,0.3,0.666666667,O,0.142857143,----,----,HUnSatLig,----,----,----,343.18279,343,0.18279,5403051,4531047,3412081,3229924,3209377,3880707
359.0983696,359.09837,15,20,0,10,0,0,1.333333333,0.666666667,6,0.4,0.3,0.6,O,0.1,----,----,HUnSatLig,----,----,----,359.18141,359,0.18141,7702453,5912967,4898977,8720631,4686302,6504778
375.0932842,375.09328,15,20,0,11,0,0,1.333333333,0.733333333,6,0.4,0.3,0.545454545,O,0.052631579,----,----,HUnSatLig,----,----,----,375.18002,375,0.18002,3856352,4103522,2940264,NA,NA,NA
391.0881988,391.0882,15,20,0,12,0,0,1.333333333,0.8,6,0.4,0.3,0.5,O,0,----,----,HUnSatLig,----,----,----,391.17863,391,0.17863,2194644,2231875,2022248,NA,NA,NA
439.0551841,439.05518,15,20,0,13,1,0,1.333333333,0.866666667,6,0.4,0.3,0.461538462,O,-0.2,----,----,HUnSatLig,----,----,----,439.15671,439,0.15671,19568271,11039998,9407199,43008434,17406753,23709441
354.1306728,354.13067,15,21,3,7,0,0,1.4,0.466666667,7,0.466666667,0.333333333,1,CRAM,0.235294118,----,----,HUnSatLig,----,----,----,354.21256,354,0.21256,2085987,1934912,1650036,NA,NA,NA
313.1292758,313.12928,15,22,0,7,0,0,1.466666667,0.466666667,5,0.333333333,0.227272727,0.714285714,O,0.130434783,----,----,HUnSatLig,----,----,----,313.20168,313,0.20168,2484397,2171531,1669598,2836615,2482804,2786664
329.1241904,329.12419,15,22,0,8,0,0,1.466666667,0.533333333,5,0.333333333,0.227272727,0.625,O,0.090909091,----,----,HUnSatLig,----,----,----,329.2003,329,0.2003,3926263,3213827,2153818,3192414,3010995,3037183
345.119105,345.1191,15,22,0,9,0,0,1.466666667,0.6,5,0.333333333,0.227272727,0.555555556,O,0.047619048,----,----,HUnSatLig,----,----,----,345.19891,345,0.19891,3236391,2659824,2313578,1929565,2360595,2234760
361.1140196,361.11402,15,22,0,10,0,0,1.466666667,0.666666667,5,0.333333333,0.227272727,0.5,O,0,----,----,HUnSatLig,----,----,----,361.19752,361,0.19752,5165759,4615305,3702583,5527562,5082303,5717081
377.1089342,377.10893,15,22,0,11,0,0,1.466666667,0.733333333,5,0.333333333,0.227272727,0.454545455,O,-0.052631579,----,----,HUnSatLig,----,----,----,377.19614,377,0.19614,2854093,2833990,2088433,2053849,2036351,2309773
393.1038488,393.10385,15,22,0,12,0,0,1.466666667,0.8,5,0.333333333,0.227272727,0.416666667,O,-0.111111111,----,----,HUnSatLig,----,----,----,393.19475,393,0.19475,3390713,3170930,2059573,2832116,3100937,2210538
409.0987634,409.09876,15,22,0,13,0,0,1.466666667,0.866666667,5,0.333333333,0.227272727,0.384615385,O,-0.176470588,----,----,HUnSatLig,----,----,----,409.19336,409,0.19336,3889662,4916330,3374520,4716954,5959462,5226574
385.1364864,385.13649,15,22,4,8,0,0,1.466666667,0.533333333,7,0.466666667,0.318181818,0.875,CRAM,0.142857143,----,----,HUnSatLig,----,----,----,385.22554,385,0.22554,4238783,4131620,3013984,4715669,4716025,4856724
340.1514082,340.15141,15,23,3,6,0,0,1.533333333,0.4,6,0.4,0.260869565,1,CRAM,0.166666667,----,----,----,----,----,Alipat+N,340.23006,340,0.23006,2087477,1935830,1426109,2086004,2551087,2570108
356.1463228,356.14632,15,23,3,7,0,0,1.533333333,0.466666667,6,0.4,0.260869565,0.857142857,CRAM,0.117647059,----,----,----,----,----,Alipat+N,356.22868,356,0.22868,7199570,7099693,5435627,7473291,7657907,7901407
372.1412374,372.14124,15,23,3,8,0,0,1.533333333,0.533333333,6,0.4,0.260869565,0.75,O,0.0625,----,----,----,----,----,Alipat+N,372.22729,372,0.22729,3503999,3768080,2982815,2000437,2175635,2681139
384.1524708,384.15247,15,23,5,7,0,0,1.533333333,0.466666667,7,0.466666667,0.304347826,1,CRAM,0.153846154,----,----,----,----,----,Alipat+N,384.2413,384,0.2413,4040827,3417568,3108938,4124467,6026432,6451789
315.1449258,315.14493,15,24,0,7,0,0,1.6,0.466666667,4,0.266666667,0.166666667,0.571428571,O,0.043478261,----,----,----,AlipatNoN,----,----,315.2178,315,0.2178,2898433,1824775,1479874,2955720,2921452,2756291
331.1398404,331.13984,15,24,0,8,0,0,1.6,0.533333333,4,0.266666667,0.166666667,0.5,O,0,----,----,----,AlipatNoN,----,----,331.21641,331,0.21641,2762453,2599937,1975987,2478386,2145189,3282408
347.134755,347.13475,15,24,0,9,0,0,1.6,0.6,4,0.266666667,0.166666667,0.444444444,O,-0.047619048,----,----,----,----,SatFACarb,----,347.21502,347,0.21502,2259644,1929872,1478270,1805296,1878937,2359335
379.1245842,379.12458,15,24,0,11,0,0,1.6,0.733333333,4,0.266666667,0.166666667,0.363636364,O,-0.157894737,----,----,----,----,SatFACarb,----,379.21225,379,0.21225,2709419,2466588,1742443,2449378,2674234,2990960
395.1194988,395.1195,15,24,0,12,0,0,1.6,0.8,4,0.266666667,0.166666667,0.333333333,O,-0.222222222,----,----,----,----,SatFACarb,----,395.21086,395,0.21086,34484472,29274752,22067934,43437390,45665550,48369394
411.1144134,411.11441,15,24,0,13,0,0,1.6,0.866666667,4,0.266666667,0.166666667,0.307692308,O,-0.294117647,----,----,----,----,SatFACarb,----,411.20948,411,0.20948,6025874,6098226,4895234,4607686,5037062,4467955
427.109328,427.10933,15,24,0,14,0,0,1.6,0.933333333,4,0.266666667,0.166666667,0.285714286,O,-0.375,----,----,----,----,SatFACarb,----,427.20809,427,0.20809,4022861,3069181,2938811,2469939,3152697,2895245
343.1510738,343.15107,15,24,2,7,0,0,1.6,0.466666667,5,0.333333333,0.208333333,0.714285714,O,0.052631579,----,----,----,----,----,Alipat+N,343.23042,343,0.23042,2389434,2308982,1691773,2131443,2178991,2650386
359.1459884,359.14599,15,24,2,8,0,0,1.6,0.533333333,5,0.333333333,0.208333333,0.625,O,0,----,----,----,----,----,Alipat+N,359.22904,359,0.22904,1739463,1946777,1565104,1801482,1822191,1723229
355.1623072,355.16231,15,24,4,6,0,0,1.6,0.4,6,0.4,0.25,1,CRAM,0.125,----,----,----,----,----,Alipat+N,355.24443,355,0.24443,3849698,3659710,3035061,3966744,5290068,5685099
371.1572218,371.15722,15,24,4,7,0,0,1.6,0.466666667,6,0.4,0.25,0.857142857,CRAM,0.066666667,----,----,----,----,----,Alipat+N,371.24305,371,0.24305,4132869,4233115,3299416,4493229,4193069,4469687
387.1521364,387.15214,15,24,4,8,0,0,1.6,0.533333333,6,0.4,0.25,0.75,O,0,----,----,----,----,----,Alipat+N,387.24166,387,0.24166,2693698,2541992,1777031,2558297,2483306,2129950
326.1721436,326.17214,15,25,3,5,0,0,1.666666667,0.333333333,5,0.333333333,0.2,1,CRAM,0.105263158,----,----,----,----,----,Alipat+N,326.24757,326,0.24757,2335327,2061624,1802881,2990037,2924280,3164501
342.1670582,342.16706,15,25,3,6,0,0,1.666666667,0.4,5,0.333333333,0.2,0.833333333,CRAM,0.055555556,----,----,----,----,----,Alipat+N,342.24618,342,0.24618,6809740,6675008,5248399,7636423,7949188,8005087
358.1619728,358.16197,15,25,3,7,0,0,1.666666667,0.466666667,5,0.333333333,0.2,0.714285714,O,0,----,----,----,----,----,Alipat+N,358.24479,358,0.24479,3717710,3432484,2490225,4138893,4079754,4909025
374.1568874,374.15689,15,25,3,8,0,0,1.666666667,0.533333333,5,0.333333333,0.2,0.625,O,-0.0625,----,----,----,----,----,Alipat+N,374.24341,374,0.24341,3701887,2969606,2598967,2145364,2809706,2554424
365.1453196,365.14532,15,26,0,10,0,0,1.733333333,0.666666667,3,0.2,0.115384615,0.3,O,-0.2,----,----,----,----,SatFACarb,----,365.22975,365,0.22975,2415841,1793433,1584504,2941512,3053708,3463814
381.1402342,381.14023,15,26,0,11,0,0,1.733333333,0.733333333,3,0.2,0.115384615,0.272727273,O,-0.263157895,----,----,----,----,SatFACarb,----,381.22837,381,0.22837,2862710,2313698,2322644,3212509,3796197,3820096
