mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PreSW4.csv,PreSW5.csv,PreSW6.csv,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv
373.0412488,373.04125,14,14,0,12,0,0,1,0.857142857,8,0.571428571,0.571428571,0.666666667,O,0.25,----,----,HUnSatLig,----,----,----,373.12751,373,0.12751,2918649,2302727,2107332,NA,NA,NA
311.0772404,311.07724,14,16,0,8,0,0,1.142857143,0.571428571,7,0.5,0.4375,0.875,CRAM,0.3,----,----,HUnSatLig,----,----,----,311.14917,311,0.14917,2318321,2656435,2683666,1468498,1527596,1539588
327.072155,327.07215,14,16,0,9,0,0,1.142857143,0.642857143,7,0.5,0.4375,0.777777778,CRAM,0.263157895,----,----,HUnSatLig,----,----,----,327.14779,327,0.14779,4361911,3994529,4137639,2047724,1563248,1661001
343.0670696,343.06707,14,16,0,10,0,0,1.142857143,0.714285714,7,0.5,0.4375,0.7,O,0.222222222,----,----,HUnSatLig,----,----,----,343.1464,343,0.1464,4104047,4291400,4650340,NA,NA,NA
359.0619842,359.06198,14,16,0,11,0,0,1.142857143,0.785714286,7,0.5,0.4375,0.636363636,O,0.176470588,----,----,HUnSatLig,----,----,----,359.14501,359,0.14501,4807772,4769753,4492127,NA,NA,NA
375.0568988,375.0569,14,16,0,12,0,0,1.142857143,0.857142857,7,0.5,0.4375,0.583333333,O,0.125,----,----,HUnSatLig,----,----,----,375.14363,375,0.14363,1695200,1881890,2225157,NA,NA,NA
382.1004354,382.10044,14,17,5,8,0,0,1.214285714,0.571428571,9,0.642857143,0.529411765,1.125,CRAM,0.5,----,----,HUnSatLig,----,----,----,382.18879,382,0.18879,2109325,1710112,2343288,NA,NA,NA
313.0928904,313.09289,14,18,0,8,0,0,1.285714286,0.571428571,6,0.428571429,0.333333333,0.75,O,0.2,----,----,HUnSatLig,----,----,----,313.16529,313,0.16529,2678264,2126833,2232415,2205629,2194548,2335592
329.087805,329.0878,14,18,0,9,0,0,1.285714286,0.642857143,6,0.428571429,0.333333333,0.666666667,O,0.157894737,----,----,HUnSatLig,----,----,----,329.1639,329,0.1639,4914754,4943664,5095508,4337851,5351695,5005577
345.0827196,345.08272,14,18,0,10,0,0,1.285714286,0.714285714,6,0.428571429,0.333333333,0.6,O,0.111111111,----,----,HUnSatLig,----,----,----,345.16251,345,0.16251,2871741,2921784,2854270,NA,NA,NA
361.0776342,361.07763,14,18,0,11,0,0,1.285714286,0.785714286,6,0.428571429,0.333333333,0.545454545,O,0.058823529,----,----,HUnSatLig,----,----,----,361.16113,361,0.16113,1914701,2442254,2607043,NA,NA,NA
340.1150228,340.11502,14,19,3,7,0,0,1.357142857,0.5,7,0.5,0.368421053,1,CRAM,0.266666667,----,----,HUnSatLig,----,----,----,340.19367,340,0.19367,NA,NA,NA,1609599,1581259,1470318
315.1085404,315.10854,14,20,0,8,0,0,1.428571429,0.571428571,5,0.357142857,0.25,0.625,O,0.1,----,----,HUnSatLig,----,----,----,315.1814,315,0.1814,2351371,2359609,1949879,2058292,2150596,1681879
331.103455,331.10345,14,20,0,9,0,0,1.428571429,0.642857143,5,0.357142857,0.25,0.555555556,O,0.052631579,----,----,HUnSatLig,----,----,----,331.18002,331,0.18002,2224098,2260171,2800141,1403030,1554105,1415892
347.0983696,347.09837,14,20,0,10,0,0,1.428571429,0.714285714,5,0.357142857,0.25,0.5,O,0,----,----,HUnSatLig,----,----,----,347.17863,347,0.17863,9396263,9573174,8157607,8854291,9529805,8925886
363.0932842,363.09328,14,20,0,11,0,0,1.428571429,0.785714286,5,0.357142857,0.25,0.454545455,O,-0.058823529,----,----,HUnSatLig,----,----,----,363.17724,363,0.17724,2134598,2092612,1566760,NA,NA,NA
342.1306728,342.13067,14,21,3,7,0,0,1.5,0.5,6,0.428571429,0.285714286,0.857142857,CRAM,0.133333333,----,----,----,----,----,Alipat+N,342.20979,342,0.20979,2337895,2687590,2341487,3188639,3046591,3163515
358.1255874,358.12559,14,21,3,8,0,0,1.5,0.571428571,6,0.428571429,0.285714286,0.75,O,0.071428571,----,----,----,----,----,Alipat+N,358.2084,358,0.2084,1852162,2062035,1763907,1657604,1697297,1486648
317.1064319,317.10643,14,22,0,6,1,0,1.571428571,0.428571429,4,0.285714286,0.181818182,0.666666667,O,0,----,----,----,AlipatNoN,----,----,317.17976,317,0.17976,5380650,5182088,5112600,NA,NA,NA
333.119105,333.1191,14,22,0,9,0,0,1.571428571,0.642857143,4,0.285714286,0.181818182,0.444444444,O,-0.052631579,----,----,----,----,SatFACarb,----,333.19613,333,0.19613,3105688,3701361,3872724,5767295,5560432,5036204
349.1140196,349.11402,14,22,0,10,0,0,1.571428571,0.714285714,4,0.285714286,0.181818182,0.4,O,-0.111111111,----,----,----,----,SatFACarb,----,349.19475,349,0.19475,1461933,1464385,1604063,NA,NA,NA
365.1089342,365.10893,14,22,0,11,0,0,1.571428571,0.785714286,4,0.285714286,0.181818182,0.363636364,O,-0.176470588,----,----,----,----,SatFACarb,----,365.19336,365,0.19336,2256195,2612345,2494092,2197095,2024492,2117444
381.1038488,381.10385,14,22,0,12,0,0,1.571428571,0.857142857,4,0.285714286,0.181818182,0.333333333,O,-0.25,----,----,----,----,SatFACarb,----,381.19197,381,0.19197,3504189,3241261,3563638,3578463,2915821,3313212
413.0759195,413.07592,14,22,0,12,1,0,1.571428571,0.857142857,4,0.285714286,0.181818182,0.333333333,O,-0.428571429,----,----,----,----,SatFACarb,----,413.17144,413,0.17144,3683440,4368924,3978011,8162593,7468039,7167904
397.0987634,397.09876,14,22,0,13,0,0,1.571428571,0.928571429,4,0.285714286,0.181818182,0.307692308,O,-0.333333333,----,----,----,----,SatFACarb,----,397.19059,397,0.19059,2163651,2249233,2196945,1606068,1579428,1654823
329.1354238,329.13542,14,22,2,7,0,0,1.571428571,0.5,5,0.357142857,0.227272727,0.714285714,O,0.058823529,----,----,----,----,----,Alipat+N,329.21153,329,0.21153,NA,NA,NA,1726662,1604632,1812755
345.1303384,345.13034,14,22,2,8,0,0,1.571428571,0.571428571,5,0.357142857,0.227272727,0.625,O,0,----,----,----,----,----,Alipat+N,345.21014,345,0.21014,2943435,2824516,2517387,4126945,4381634,4384928
357.1415718,357.14157,14,22,4,7,0,0,1.571428571,0.5,6,0.428571429,0.272727273,0.857142857,CRAM,0.076923077,----,----,----,----,----,Alipat+N,357.22416,357,0.22416,NA,NA,NA,1570517,2088175,1495061
364.1249186,364.12492,14,23,1,10,0,0,1.642857143,0.714285714,4,0.285714286,0.173913043,0.4,O,-0.1875,----,----,----,----,SatFACarb,----,364.20912,364,0.20912,1692621,2263397,1882466,NA,NA,NA
312.1564936,312.15649,14,23,3,5,0,0,1.642857143,0.357142857,5,0.357142857,0.217391304,1,CRAM,0.117647059,----,----,----,----,----,Alipat+N,312.22868,312,0.22868,NA,NA,NA,1815059,2535642,2094017
328.1514082,328.15141,14,23,3,6,0,0,1.642857143,0.428571429,5,0.357142857,0.217391304,0.833333333,CRAM,0.0625,----,----,----,----,----,Alipat+N,328.22729,328,0.22729,3648392,3806325,3559819,6040546,6275149,5902391
344.1463228,344.14632,14,23,3,7,0,0,1.642857143,0.5,5,0.357142857,0.217391304,0.714285714,O,0,----,----,----,----,----,Alipat+N,344.2259,344,0.2259,2106535,2131024,2185858,2663372,3065538,3021205
351.1296696,351.12967,14,24,0,10,0,0,1.714285714,0.714285714,3,0.214285714,0.125,0.3,O,-0.222222222,----,----,----,----,SatFACarb,----,351.21086,351,0.21086,2350925,2418007,2744355,3789748,3983911,3479350
367.1245842,367.12458,14,24,0,11,0,0,1.714285714,0.785714286,3,0.214285714,0.125,0.272727273,O,-0.294117647,----,----,----,----,SatFACarb,----,367.20948,367,0.20948,2112065,2350765,2350317,2396877,2090114,1893774
383.1194988,383.1195,14,24,0,12,0,0,1.714285714,0.857142857,3,0.214285714,0.125,0.25,O,-0.375,----,----,----,----,SatFACarb,----,383.20809,383,0.20809,3225822,3605780,3712634,2347617,2813427,2313240
359.1572218,359.15722,14,24,4,7,0,0,1.714285714,0.5,5,0.357142857,0.208333333,0.714285714,O,-0.076923077,----,----,----,----,----,Alipat+N,359.24027,359,0.24027,NA,NA,NA,1677633,1752386,1632873
431.0959999,431.096,14,25,0,13,0,1,1.785714286,0.928571429,3,0.214285714,0.12,0.230769231,O,-0.615384615,----,----,----,----,SatFACarb,----,431.19568,431,0.19568,NA,NA,NA,3428104,4458347,5283596
314.1721436,314.17214,14,25,3,5,0,0,1.785714286,0.357142857,4,0.285714286,0.16,0.8,O,0,----,----,----,----,----,Alipat+N,314.24479,314,0.24479,1591177,1408672,1537302,2541188,2296615,2303275
330.1670582,330.16706,14,25,3,6,0,0,1.785714286,0.428571429,4,0.285714286,0.16,0.666666667,O,-0.0625,----,----,----,----,----,Alipat+N,330.2434,330,0.2434,2572318,2554635,2701630,3242424,3164145,2756093
346.1619728,346.16197,14,25,3,7,0,0,1.785714286,0.5,4,0.285714286,0.16,0.571428571,O,-0.133333333,----,----,----,----,----,Alipat+N,346.24202,346,0.24202,5129988,5327432,4728997,2489350,2207443,2191803
378.1340435,378.13404,14,25,3,7,1,0,1.785714286,0.5,4,0.285714286,0.16,0.571428571,O,-0.307692308,----,----,----,----,----,Alipat+N,378.22148,378,0.22148,NA,NA,NA,1599815,1561300,1562715
321.1554904,321.15549,14,26,0,8,0,0,1.857142857,0.571428571,2,0.142857143,0.076923077,0.25,O,-0.2,----,----,----,AlipatNoN,----,----,321.22975,321,0.22975,NA,NA,NA,2122726,3131126,2030442
353.1275611,353.12756,14,26,0,8,1,0,1.857142857,0.571428571,2,0.142857143,0.076923077,0.25,O,-0.333333333,----,----,----,AlipatNoN,----,----,353.20922,353,0.20922,NA,NA,NA,3765261,4590687,3957113
369.1224757,369.12248,14,26,0,9,1,0,1.857142857,0.642857143,2,0.142857143,0.076923077,0.222222222,O,-0.411764706,----,----,----,----,SatFACarb,----,369.20783,369,0.20783,NA,NA,NA,1964839,2755280,2214348
385.1173903,385.11739,14,26,0,10,1,0,1.857142857,0.714285714,2,0.142857143,0.076923077,0.2,O,-0.5,----,----,----,----,SatFACarb,----,385.20644,385,0.20644,4198753,4539110,3586148,11992650,8256483,11736025
417.1072195,417.10722,14,26,0,12,1,0,1.857142857,0.857142857,2,0.142857143,0.076923077,0.166666667,O,-0.714285714,----,----,----,----,SatFACarb,----,417.20367,417,0.20367,2633302,2150020,2357025,4179261,4900979,3593518
433.1021341,433.10213,14,26,0,13,1,0,1.857142857,0.928571429,2,0.142857143,0.076923077,0.153846154,O,-0.846153846,----,----,----,----,SatFACarb,----,433.20228,433,0.20228,1865045,2136362,1658809,3540093,3839756,3385919
329.1830426,329.18304,14,26,4,5,0,0,1.857142857,0.357142857,4,0.285714286,0.153846154,0.8,O,-0.066666667,----,----,----,----,----,Alipat+N,329.25916,329,0.25916,NA,NA,NA,2084305,1868578,2015518
345.1779572,345.17796,14,26,4,6,0,0,1.857142857,0.428571429,4,0.285714286,0.153846154,0.666666667,O,-0.142857143,----,----,----,----,----,Alipat+N,345.25777,345,0.25777,2330073,2351440,2416024,3332846,3280334,3127981
300.192879,300.19288,14,27,3,4,0,0,1.928571429,0.285714286,3,0.214285714,0.111111111,0.75,O,-0.055555556,----,----,----,----,----,Alipat+N,300.26229,300,0.26229,1920040,1748110,1875139,3541891,3889123,3624519
316.1877936,316.18779,14,27,3,5,0,0,1.928571429,0.357142857,3,0.214285714,0.111111111,0.6,O,-0.117647059,----,----,----,----,----,Alipat+N,316.26091,316,0.26091,2493348,2066157,2605684,3936771,5186429,3947168
332.1827082,332.18271,14,27,3,6,0,0,1.928571429,0.428571429,3,0.214285714,0.111111111,0.5,O,-0.1875,----,----,----,----,----,Alipat+N,332.25952,332,0.25952,NA,NA,NA,2344858,2516899,1784271
364.1547789,364.15478,14,27,3,6,1,0,1.928571429,0.428571429,3,0.214285714,0.111111111,0.5,O,-0.357142857,----,----,----,----,----,Alipat+N,364.23898,364,0.23898,NA,NA,NA,1617475,1921296,1591853
380.1496935,380.14969,14,27,3,7,1,0,1.928571429,0.5,3,0.214285714,0.111111111,0.428571429,O,-0.461538462,----,----,----,----,----,Alipat+N,380.2376,380,0.2376,NA,NA,NA,1877349,1891570,1977172
323.1533819,323.15338,14,28,0,6,1,0,2,0.428571429,1,0.071428571,0.035714286,0.166666667,O,-0.3,----,----,----,AlipatNoN,----,----,323.22811,323,0.22811,NA,NA,NA,2574732,2705006,2306308
309.1741173,309.17412,14,30,0,5,1,0,2.142857143,0.357142857,0,0,0,0,O,-0.333333333,----,----,----,AlipatNoN,----,----,309.24561,309,0.24561,NA,NA,NA,3506439,3205376,2127551
349.2010145,349.20101,14,31,4,4,0,1,2.214285714,0.285714286,2,0.142857143,0.064516129,0.5,O,-0.357142857,----,----,----,----,----,Alipat+N,349.28176,349,0.28176,6110921,6841688,6569976,9856376,12347404,9767182
317.0302904,317.03029,15,10,0,8,0,0,0.666666667,0.533333333,11,0.733333333,1.1,1.375,O,0.636363636,----,Aromatic,----,----,----,----,317.1036,317,0.1036,1844255,1823867,1647882,NA,NA,NA
333.025205,333.0252,15,10,0,9,0,0,0.666666667,0.6,11,0.733333333,1.1,1.222222222,O,0.619047619,----,Aromatic,----,----,----,----,333.10221,333,0.10221,3117443,2946653,3399103,NA,NA,NA
349.0201196,349.02012,15,10,0,10,0,0,0.666666667,0.666666667,11,0.733333333,1.1,1.1,O,0.6,----,Aromatic,----,----,----,----,349.10083,349,0.10083,4771470,4616488,4309956,NA,NA,NA
365.0150342,365.01503,15,10,0,11,0,0,0.666666667,0.733333333,11,0.733333333,1.1,1,O,0.578947368,----,Aromatic,----,----,----,----,365.09944,365,0.09944,4629791,4674143,5160560,NA,NA,NA
381.0099488,381.00995,15,10,0,12,0,0,0.666666667,0.8,11,0.733333333,1.1,0.916666667,O,0.555555556,----,Aromatic,----,----,----,----,381.09805,381,0.09805,2958365,2538262,2810974,NA,NA,NA
319.0459404,319.04594,15,12,0,8,0,0,0.8,0.533333333,10,0.666666667,0.833333333,1.25,CRAM,0.545454545,----,Aromatic,----,----,----,----,319.11972,319,0.11972,2910544,2488790,3025017,NA,NA,NA
335.040855,335.04085,15,12,0,9,0,0,0.8,0.6,10,0.666666667,0.833333333,1.111111111,CRAM,0.523809524,----,Aromatic,----,----,----,----,335.11833,335,0.11833,4726608,5133327,5528979,NA,NA,NA
351.0357696,351.03577,15,12,0,10,0,0,0.8,0.666666667,10,0.666666667,0.833333333,1,CRAM,0.5,----,----,HUnSatLig,----,----,----,351.11694,351,0.11694,7064877,7675710,7721480,NA,NA,NA
367.0306842,367.03068,15,12,0,11,0,0,0.8,0.733333333,10,0.666666667,0.833333333,0.909090909,CRAM,0.473684211,----,----,HUnSatLig,----,----,----,367.11555,367,0.11555,7189534,7620755,7654609,NA,NA,NA
383.0255988,383.0256,15,12,0,12,0,0,0.8,0.8,10,0.666666667,0.833333333,0.833333333,CRAM,0.444444444,----,----,HUnSatLig,----,----,----,383.11417,383,0.11417,4362943,4103422,4195938,NA,NA,NA
399.0205134,399.02051,15,12,0,13,0,0,0.8,0.866666667,10,0.666666667,0.833333333,0.769230769,O,0.411764706,----,----,HUnSatLig,----,----,----,399.11278,399,0.11278,1982777,1711412,2307823,NA,NA,NA
321.0615904,321.06159,15,14,0,8,0,0,0.933333333,0.533333333,9,0.6,0.642857143,1.125,CRAM,0.454545455,----,----,HUnSatLig,----,----,----,321.13583,321,0.13583,4031120,3297083,3918324,NA,NA,NA
337.056505,337.0565,15,14,0,9,0,0,0.933333333,0.6,9,0.6,0.642857143,1,CRAM,0.428571429,----,----,HUnSatLig,----,----,----,337.13444,337,0.13444,7051572,6731213,7309172,2119772,1611504,1504872
353.0514196,353.05142,15,14,0,10,0,0,0.933333333,0.666666667,9,0.6,0.642857143,0.9,CRAM,0.4,----,----,HUnSatLig,----,----,----,353.13306,353,0.13306,8333282,9378141,9395285,NA,NA,NA
369.0463342,369.04633,15,14,0,11,0,0,0.933333333,0.733333333,9,0.6,0.642857143,0.818181818,CRAM,0.368421053,----,----,HUnSatLig,----,----,----,369.13167,369,0.13167,8738587,8833731,8867629,NA,NA,NA
385.0412488,385.04125,15,14,0,12,0,0,0.933333333,0.8,9,0.6,0.642857143,0.75,O,0.333333333,----,----,HUnSatLig,----,----,----,385.13028,385,0.13028,5026121,4783828,4569170,NA,NA,NA
401.0361634,401.03616,15,14,0,13,0,0,0.933333333,0.866666667,9,0.6,0.642857143,0.692307692,O,0.294117647,----,----,HUnSatLig,----,----,----,401.1289,401,0.1289,1731730,2082375,2219255,NA,NA,NA
307.0823258,307.08233,15,16,0,7,0,0,1.066666667,0.466666667,8,0.533333333,0.5,1.142857143,CRAM,0.391304348,----,----,HUnSatLig,----,----,----,307.15333,307,0.15333,1769742,1727061,1563294,NA,NA,NA
323.0772404,323.07724,15,16,0,8,0,0,1.066666667,0.533333333,8,0.533333333,0.5,1,CRAM,0.363636364,----,----,HUnSatLig,----,----,----,323.15195,323,0.15195,5002210,4549802,4768635,2300028,2576991,2355956
339.072155,339.07215,15,16,0,9,0,0,1.066666667,0.6,8,0.533333333,0.5,0.888888889,CRAM,0.333333333,----,----,HUnSatLig,----,----,----,339.15056,339,0.15056,6949681,7035799,6533476,2612842,2538446,2718307
355.0670696,355.06707,15,16,0,10,0,0,1.066666667,0.666666667,8,0.533333333,0.5,0.8,CRAM,0.3,----,----,HUnSatLig,----,----,----,355.14917,355,0.14917,8714922,8835972,8898220,2200666,2009232,1976241
371.0619842,371.06198,15,16,0,11,0,0,1.066666667,0.733333333,8,0.533333333,0.5,0.727272727,O,0.263157895,----,----,HUnSatLig,----,----,----,371.14779,371,0.14779,8684052,8680685,8083842,NA,NA,NA
387.0568988,387.0569,15,16,0,12,0,0,1.066666667,0.8,8,0.533333333,0.5,0.666666667,O,0.222222222,----,----,HUnSatLig,----,----,----,387.1464,387,0.1464,4741046,4689048,4787755,NA,NA,NA
403.0518134,403.05181,15,16,0,13,0,0,1.066666667,0.866666667,8,0.533333333,0.5,0.615384615,O,0.176470588,----,----,HUnSatLig,----,----,----,403.14501,403,0.14501,1771191,1673018,1913562,NA,NA,NA
309.0979758,309.09798,15,18,0,7,0,0,1.2,0.466666667,7,0.466666667,0.388888889,1,CRAM,0.304347826,----,----,HUnSatLig,----,----,----,309.16945,309,0.16945,2317052,1897858,2524117,2479866,2621941,2042290
