mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
345.0463342,345.04633,13,14,0,11,0,0,1.076923077,0.846153846,7,0.538461538,0.5,0.636363636,O,0.2,----,----,HUnSatLig,----,----,----,345.12612,345,0.12612,4071937,3968171,3993334,0,0,0
361.0412488,361.04125,13,14,0,12,0,0,1.076923077,0.923076923,7,0.538461538,0.5,0.583333333,O,0.142857143,----,----,HUnSatLig,----,----,----,361.12473,361,0.12473,2847854,2974548,2760697,0,0,0
331.0670696,331.06707,13,16,0,10,0,0,1.230769231,0.769230769,6,0.461538462,0.375,0.6,O,0.125,----,----,HUnSatLig,----,----,----,331.14362,331,0.14362,4195888,3972993,3688632,0,0,0
347.0619842,347.06198,13,16,0,11,0,0,1.230769231,0.846153846,6,0.461538462,0.375,0.545454545,O,0.066666667,----,----,HUnSatLig,----,----,----,347.14224,347,0.14224,4284396,3977430,2865943,0,0,0
363.0568988,363.0569,13,16,0,12,0,0,1.230769231,0.923076923,6,0.461538462,0.375,0.5,O,0,----,----,HUnSatLig,----,----,----,363.14085,363,0.14085,4836513,4173778,3515542,0,0,0
379.0518134,379.05181,13,16,0,13,0,0,1.230769231,1,6,0.461538462,0.375,0.461538462,O,-0.076923077,----,----,HUnSatLig,----,----,----,379.13946,379,0.13946,3054063,2964752,2360044,0,0,0
333.0827196,333.08272,13,18,0,10,0,0,1.384615385,0.769230769,5,0.384615385,0.277777778,0.5,O,0,----,----,HUnSatLig,----,----,----,333.15974,333,0.15974,3677629,3662134,3351612,0,0,0
349.0776342,349.07763,13,18,0,11,0,0,1.384615385,0.846153846,5,0.384615385,0.277777778,0.454545455,O,-0.066666667,----,----,HUnSatLig,----,----,----,349.15835,349,0.15835,6827493,6714131,4306769,1894137,2473154,1942169
365.0725488,365.07255,13,18,0,12,0,0,1.384615385,0.923076923,5,0.384615385,0.277777778,0.416666667,O,-0.142857143,----,----,HUnSatLig,----,----,----,365.15697,365,0.15697,12301014,13172305,8950582,7259033,8640250,10688744
381.0674634,381.06746,13,18,0,13,0,0,1.384615385,1,5,0.384615385,0.277777778,0.384615385,O,-0.230769231,----,----,HUnSatLig,----,----,----,381.15558,381,0.15558,8066050,8948045,5930823,0,0,0
397.062378,397.06238,13,18,0,14,0,0,1.384615385,1.076923077,5,0.384615385,0.277777778,0.357142857,O,-0.333333333,----,----,HUnSatLig,----,----,----,397.15419,397,0.15419,3618435,4220907,2110000,0,0,0
335.0983696,335.09837,13,20,0,10,0,0,1.538461538,0.769230769,4,0.307692308,0.2,0.4,O,-0.125,----,----,----,----,SatFACarb,----,335.17586,335,0.17586,4565847,4439291,3295701,2264190,2988579,3006952
351.0932842,351.09328,13,20,0,11,0,0,1.538461538,0.846153846,4,0.307692308,0.2,0.363636364,O,-0.2,----,----,----,----,SatFACarb,----,351.17447,351,0.17447,11441131,11736415,10576289,4873825,5838122,5525251
367.0881988,367.0882,13,20,0,12,0,0,1.538461538,0.923076923,4,0.307692308,0.2,0.333333333,O,-0.285714286,----,----,----,----,SatFACarb,----,367.17308,367,0.17308,18246924,20472015,14882263,4663827,5546392,4662157
383.0831134,383.08311,13,20,0,13,0,0,1.538461538,1,4,0.307692308,0.2,0.307692308,O,-0.384615385,----,----,----,----,SatFACarb,----,383.1717,383,0.1717,15515147,17519480,12648845,5071999,6989058,7673719
399.078028,399.07803,13,20,0,14,0,0,1.538461538,1.076923077,4,0.307692308,0.2,0.285714286,O,-0.5,----,----,----,----,SatFACarb,----,399.17031,399,0.17031,3504130,3334462,3044207,0,0,0
366.1041832,366.10418,13,21,1,11,0,0,1.615384615,0.846153846,4,0.307692308,0.19047619,0.363636364,O,-0.307692308,----,----,----,----,SatFACarb,----,366.18884,366,0.18884,4042744,4432792,4031119,0,0,0
337.1140196,337.11402,13,22,0,10,0,0,1.692307692,0.769230769,3,0.230769231,0.136363636,0.3,O,-0.25,----,----,----,----,SatFACarb,----,337.19197,337,0.19197,3851006,4259536,4279170,4383382,3716613,3773902
353.1089342,353.10893,13,22,0,11,0,0,1.692307692,0.846153846,3,0.230769231,0.136363636,0.272727273,O,-0.333333333,----,----,----,----,SatFACarb,----,353.19059,353,0.19059,8474108,9471929,8164358,6686930,6134690,6879612
369.1038488,369.10385,13,22,0,12,0,0,1.692307692,0.923076923,3,0.230769231,0.136363636,0.25,O,-0.428571429,----,----,----,----,SatFACarb,----,369.1892,369,0.1892,18468674,22094666,17784950,4808841,5680178,6413872
401.0759195,401.07592,13,22,0,12,1,0,1.692307692,0.923076923,3,0.230769231,0.136363636,0.25,O,-0.666666667,----,----,----,----,SatFACarb,----,401.16866,401,0.16866,4411749,3554923,3165310,3205020,3849144,3009448
385.0987634,385.09876,13,22,0,13,0,0,1.692307692,1,3,0.230769231,0.136363636,0.230769231,O,-0.538461538,----,----,----,----,SatFACarb,----,385.18781,385,0.18781,12087304,13723023,11088827,0,0,0
417.0708341,417.07083,13,22,0,13,1,0,1.692307692,1,3,0.230769231,0.136363636,0.230769231,O,-0.818181818,----,----,----,----,SatFACarb,----,417.16728,417,0.16728,5554440,5119663,3328685,1960730,2309709,2033819
433.0657487,433.06575,13,22,0,14,1,0,1.692307692,1.076923077,3,0.230769231,0.136363636,0.214285714,O,-1,----,----,----,----,SatFACarb,----,433.16589,433,0.16589,4202465,4235398,2143608,0,0,0
339.1296696,339.12967,13,24,0,10,0,0,1.846153846,0.769230769,2,0.153846154,0.083333333,0.2,O,-0.375,----,----,----,----,SatFACarb,----,339.20809,339,0.20809,1990834,3337398,3694404,2670521,2809850,3089351
355.1245842,355.12458,13,24,0,11,0,0,1.846153846,0.846153846,2,0.153846154,0.083333333,0.181818182,O,-0.466666667,----,----,----,----,SatFACarb,----,355.2067,355,0.2067,3478551,5064222,5263995,0,0,0
371.1194988,371.1195,13,24,0,12,0,0,1.846153846,0.923076923,2,0.153846154,0.083333333,0.166666667,O,-0.571428571,----,----,----,----,SatFACarb,----,371.20531,371,0.20531,5474677,7665087,7813905,0,0,0
403.0915695,403.09157,13,24,0,12,1,0,1.846153846,0.923076923,2,0.153846154,0.083333333,0.166666667,O,-0.833333333,----,----,----,----,SatFACarb,----,403.18478,403,0.18478,4046513,4674419,4580704,4256958,4351134,4883662
419.0864841,419.08648,13,24,0,13,1,0,1.846153846,1,2,0.153846154,0.083333333,0.153846154,O,-1,----,----,----,----,SatFACarb,----,419.18339,419,0.18339,4584860,5327534,4614734,2218826,2897411,2863782
