Mass,Soil_1,Soil_2,Soil_3,Soil_13,Soil_14,Soil_15,Soil_7,Soil_8,Soil_9,Soil_19,Soil_20,Soil_21,Soil_4,Soil_5,Soil_6,Soil_16,Soil_17,Soil_18,Soil_10,Soil_11,Soil_12,Soil_22,Soil_23,Soil_24
316.1877936,2086582,1910994,1563196,3400820,3774645,3824508,0,0,0,3289918,2714525,3751707,2493348,2066157,2605684,3936771,5186429,3947168,0,0,0,2742964,4698243,4314937
319.1187112,3037899,2045216,1753508,1982577,1969660,2057117,1473000,1783442,1797661,2236066,4342662,2252564,2352987,2824163,2516615,2820165,2611073,3075796,1869961,2100995,2175109,2449220,2839442,3530123
321.0615904,4160575,3920570,2959523,1598678,1850767,1736219,2012198,2311140,2282548,0,0,0,4031120,3297083,3918324,0,0,0,1662143,2263634,2461910,0,0,0
321.0979758,3627078,2995905,2195623,2179293,2353815,2730786,2700077,2964971,2318906,2480462,2328289,2296184,3636886,3486529,3490299,3235290,2884331,2807902,2550980,2587224,2823388,2371936,2836997,2678059
321.1343612,3514957,3179721,2602668,3168228,3569822,3569449,2605875,2167281,2450495,4340566,3612904,3710591,3572892,3684680,3695618,4047842,5340914,4800102,2943178,3378271,2986210,4999525,5798412,5700403
321.1707466,2729044,2138833,1515953,2456555,3251878,2739504,0,0,0,2281054,1977583,2603142,2092706,2413646,2813961,4087273,5064440,4472941,0,0,0,3085674,4481555,3837242
323.040855,3495882,3425386,2882995,0,0,0,1942389,2100554,2311775,0,0,0,3351004,3510435,3502452,0,0,0,1870598,2472629,2313785,0,0,0
323.0772404,4932050,4188786,3193784,1810779,1908544,2649271,3224187,2557009,3217764,1626631,1578827,1685994,5002210,4549802,4768635,2300028,2576991,2355956,3148813,3410363,3649599,1962374,2384772,2069718
323.0983696,3027414,2006647,1876155,3474783,3227717,3224252,5476479,5615445,5797224,2534156,2990671,3154414,2114022,2421934,2394751,2672001,1977955,1848312,7057936,5822399,6308931,2506889,3689864,3119323
323.1136258,4641241,3782267,3347389,3721058,3521608,4441279,3687554,3182424,3642730,4989199,5340753,4930545,4280297,4552369,4211074,4704132,5346406,4730875,4206099,4010946,4180550,5845644,5680011,5993694
323.1500112,3587553,3062403,2761155,4647785,4599888,4898503,2721672,2202206,2402160,4857112,4744792,5123064,4071919,4508855,4537737,6852492,7269485,6135811,3234841,3633609,3165772,7304849,7367570,8119526
323.1863966,2762728,1523851,1610696,2598769,3121240,3159246,0,0,0,2874144,1912159,2473983,2237429,2847934,2672017,4188051,5672052,4434954,0,0,0,3449495,4780953,4338926
325.056505,4403567,4021811,3316952,0,0,0,2993620,3257540,3089566,0,0,0,4354880,3850269,4354311,0,0,0,3155297,3867948,3858351,0,0,0
325.0928904,5132150,4190268,3124445,3302131,3228673,3468903,4492763,4558027,3658916,2893524,3782089,4279665,4798278,4311588,4524815,3805490,3870694,3909532,5767016,5380403,5582262,5271486,4501782,5396118
325.1292758,4407166,4113476,3183843,4781306,4502537,4973679,4337633,4600530,4311210,7305949,7571408,8001912,4888397,4995627,4794646,7121210,7152109,7122340,5479278,6213946,6026685,10425284,10498333,11865758
325.1656612,3605382,3388493,2793704,5247234,5037586,5508215,2659816,1443545,1927088,6057701,5690327,5955967,5242708,4691505,4753693,7694658,8452596,7125420,3347828,3460417,3233219,8124362,9435429,10901158
325.1842881,14944138,16001105,9752811,34418950,32028182,20604027,16821739,30737629,22667955,65271530,73528283,38524291,13153111,13500469,15182113,37844294,75912696,55760304,27046776,22840644,23963079,137450445,53344553,91608746
325.2020466,3261838,2366293,2116846,3465993,3930138,3549311,0,0,0,3742958,2082782,2235782,3031898,3686968,3550501,5743946,7356923,5604788,0,0,0,3570640,6074668,5259950
326.1721436,2335327,2061624,1802881,2990037,2924280,3164501,0,0,0,3008976,2828956,3299912,1864205,1993714,1521900,2628642,2843323,3081860,0,0,0,2635883,2990579,2961290
326.208529,3283047,2804032,2390662,5582301,6028032,5286237,0,0,0,2192601,1739172,2959439,2098196,2451193,2099699,4704810,5640899,4369036,0,0,0,2409585,3982330,3100563
327.0357696,1812765,2011909,1504775,0,0,0,2571064,2629189,1959911,0,0,0,1932976,1799834,1869983,NA,NA,NA,2216131,2343083,2453803,0,0,0
327.072155,3940133,3468814,3048973,0,0,0,4347711,4410956,4055533,1825189,1770064,2517502,4361911,3994529,4137639,2047724,1563248,1661001,5086409,4222130,4612914,1935102,2138286,2246233
327.1085404,4956461,4080663,2877971,3477662,2798034,4052521,6038342,6142548,5691379,6105262,6292823,5835526,4751550,5478824,4730543,5386996,4604280,4790097,7939280,6298297,8324921,9561348,7375541,9144417
327.1449258,4896053,3974687,2946584,5725862,5685210,6173233,4944716,4408923,4067833,9232567,9426271,9811725,5986501,6432175,6152886,9330429,9567103,9030489,6517975,6703808,6454081,13495562,13355709,15487082
327.1813112,3501885,2966056,2098718,4852398,5115875,5702201,0,0,0,5804223,4831590,5528341,3897548,4465590,3724478,7776005,8071047,7548769,2171869,2837704,2845000,9684240,11174597,13418610
327.2176966,5615942,4986417,3448868,6894262,7675883,7416386,0,0,0,6214856,2236781,2682652,4510419,6568381,5624517,9060109,13121422,9153385,0,0,0,5291286,9990860,5887099
328.1514082,4401176,4114195,2886330,4980611,5436617,5071641,2403334,1747493,2452135,5181352,5302827,5512157,3648392,3806325,3559819,6040546,6275149,5902391,1509264,2559369,2208007,4210610,5447570,5851476
328.1877936,2683424,2934556,2027199,4295563,4182225,4130594,0,0,0,4393393,4048947,4515301,2242959,2255997,1954707,4057579,4178004,4075583,0,0,0,3500984,4614041,4353372
328.224179,3490344,3028773,1991877,5246867,6031578,5422890,0,0,0,2762170,2237498,3308525,2282390,2321540,2385306,5098483,6518876,5077063,0,0,0,2622910,4434337,3272549
329.0514196,2195174,1844977,1424717,0,0,0,3862702,3551708,3533638,0,0,0,2126907,2135593,2135628,NA,NA,NA,3450425,3220032,3623100,0,0,0
329.087805,4081903,3930106,2319444,3919446,2793386,3957750,5214389,4937699,4581709,2958475,3005166,3117730,4914754,4943664,5095508,4337851,5351695,5005577,6242880,5514311,5898435,3967057,4710490,4737585
329.1241904,3926263,3213827,2153818,3192414,3010995,3037183,5441724,5691371,4482387,7138964,7694069,7673002,4022345,4264248,4342875,4967619,4781334,4725521,8892999,7011407,8813771,13835864,9792610,13535801
329.1394466,2614523,1886471,1742428,1662305,1970615,2390018,0,0,0,1679000,1603064,1982637,2479692,2853179,2848863,3806919,3907353,3287316,0,0,0,3017818,2922598,3913277
329.1605758,6452992,8206348,4448096,9434214,14186940,11280391,4498115,4321778,3864410,12839581,12736253,12409010,21415504,21179199,24095843,46708940,46962974,47479065,7215693,13742166,11266258,33465950,44883050,45283906
329.1969612,3550472,3133973,1929830,5384302,4884421,5528592,0,0,0,6268582,4132612,4849850,3642968,4101958,3791467,6966484,7825701,6867233,1615700,2765406,1875418,8394340,10746994,10289739
329.2333466,8968977,7971870,5720940,11889783,12456397,11786265,0,0,0,7721647,5290764,5550273,7474783,8108878,8552563,14889181,21342509,15845673,0,0,0,9217642,10136698,7210579
330.1670582,3404268,2590729,2179082,3318606,3138738,3372281,2105730,1943491,2574097,4010389,3929042,3897738,2572318,2554635,2701630,3242424,3164145,2756093,1705742,2744103,2087840,3496205,4448582,3853106
330.2034436,7197685,6686994,5437456,11883862,11526843,12132610,0,0,0,6744990,6004698,7943570,6676262,6752274,5982534,12558785,14918137,11721222,0,0,0,7002900,10552654,8846139
331.103455,2475213,2272760,1729197,1902122,1447836,1464031,4745783,4552073,3396799,2897022,3099292,2850391,2224098,2260171,2800141,1403030,1554105,1415892,5645252,4010989,4948579,3010996,2796565,2941461
331.1187112,3845840,3129852,2304175,3073581,3159455,3242467,2020922,1734540,1711042,2350466,2575519,1849946,3144165,3315406,3396113,3562650,3710652,3699928,2010055,2279920,1886822,2668470,2974744,2917401
331.1398404,2762453,2599937,1975987,2478386,2145189,3282408,4637246,4343185,3535558,6493319,6376612,6503007,3323882,3348179,3232277,4141727,3905217,3667677,6070219,5567989,7086698,9922490,8348189,10505246
331.1550966,3414233,2692101,2217142,2658358,2733481,2712044,1564225,1491092,2388168,2997899,2788519,2725474,3492333,3010262,3929625,4961955,6069956,5275360,1386702,4424696,2421357,4492221,5840416,6222882
331.1762258,10071262,8988171,7025850,12938811,16096174,16531953,2390085,2602905,2789580,10103952,7590060,10455655,26601457,28421338,31333917,52894376,55286473,54737637,3937747,10334716,7259762,22595521,40754725,35507239
331.2126112,2527463,2290196,1961664,4101188,3846071,4807163,0,0,0,4466841,1895092,3761775,2266361,3040994,2808358,5823153,5615312,5397230,0,0,0,5164999,10108461,8532016
333.0615904,5708464,6439929,4816399,2753029,3105167,3797455,2411449,2588978,2645048,0,0,0,5657995,6089317,6013895,2702448,2146915,2672286,1551180,3287446,2932740,0,0,0
333.0979758,4581050,4544515,3260438,2930702,3030937,3640792,2726848,2683706,2556991,2184823,2494550,2423318,4374420,4679789,4551631,3454585,3989611,3890343,2539347,3121054,2573835,1959970,2662873,2676480
333.119105,4381375,3077641,2745370,5818388,4789662,6363102,3108804,3274046,2515524,2852477,2834523,3021339,3105688,3701361,3872724,5767295,5560432,5036204,4521304,3766179,3879440,3428646,4358110,3623430
333.1343612,4420803,3473421,2990620,3906583,4626850,4555746,3003847,2971970,2809415,4172929,4475486,4584478,4494748,4944501,4437976,6457474,5884020,5424304,3156315,3903398,3476499,5129513,5413857,6286857
333.1707466,3689676,3079190,2320419,3502112,4189612,3966443,0,0,0,3502218,3329639,3720231,4750756,4071548,4380128,7349387,8362108,6666424,1537890,3509166,2018331,5475632,7053290,7325203
335.040855,5367982,6189586,4222857,1522683,2073754,1800664,2498379,2713838,3082185,0,0,0,4726608,5133327,5528979,0,0,0,1935591,2929492,3004343,0,0,0
335.0772404,6945975,6643228,4303760,2528261,3402659,2802146,3136851,3328246,3339728,1749113,1699102,2258915,6552408,6342679,6259099,2842725,2536999,2997378,2745326,3845468,3668415,0,0,0
335.1136258,6458561,4879911,4248471,3696654,4512173,5219819,3866458,4105471,4243928,4442754,5245991,5165547,5650273,5878815,5714340,6080110,5583407,5419658,4470518,4570468,4509128,5665445,5458352,5404669
335.1500112,5852363,4614705,3592606,5863960,5950391,6226421,3063650,2918663,3538911,6160524,6005807,6794740,5555049,6166567,6041004,8117879,9367096,8713875,3905278,4936045,4584912,8672940,9677241,10065927
335.1863966,3674836,2906171,2038438,3687969,3584449,4742655,0,0,0,3362965,2775608,3018236,5164914,5683247,5291445,9176704,10092096,8928924,1491205,2950517,2254808,5817011,8030657,7612432
337.0201196,3994816,3932222,2708248,0,0,0,2387690,2155962,2183021,0,0,0,3404075,3405764,3133803,0,0,0,1416080,1992226,2252922,0,0,0
337.056505,7519946,7419977,5215519,2747409,1964991,2707456,4006130,3945155,4237685,1483654,1464055,1727936,7051572,6731213,7309172,2119772,1611504,1504872,3220632,4380971,4496258,0,0,0
337.0928904,7378644,7328851,5310759,3607067,4043721,4355082,5538554,4582091,4730749,4132496,3852288,4186057,6630717,6993365,6678397,4934758,4731896,4662385,5276832,5095220,5000074,4179505,4302221,4149757
337.1292758,7285470,6172766,4337967,6220837,6352339,7219221,5490433,5969620,5673861,8285850,8402441,8121298,7008582,8208861,7652230,9139311,9635841,8727674,6561960,6915900,7563155,10902585,10423190,10942983
337.1656612,6393576,5235816,4520246,7008303,7725533,7815199,2629385,3077340,2912141,7631523,7744018,8573915,6746447,7512549,7159695,11530360,14221321,11417731,3911344,5812037,4636059,11234368,13423519,13343248
337.2054173,2091507,2114676,2808382,6480954,5042665,4005930,5460754,3844838,4807574,14418606,6209052,5654501,2574681,3139566,2467224,6242435,5566483,4682893,4230329,3838286,3809188,7793736,6696873,6459931
338.1721436,3585535,3239819,2264842,5442883,5826295,5672252,0,0,0,3334067,3169034,3942101,3101770,2934473,3033221,5342590,5981431,5064063,0,0,0,3186449,3933335,4052250
339.0357696,5098739,3759753,3605701,0,0,0,3999389,3191455,4128047,0,0,0,4127015,4361102,5111131,0,0,0,2621522,3514123,3969875,0,0,0
339.072155,6572286,7052947,4991693,2428479,3054071,3127359,5842085,5200040,5641527,2159017,2257388,2752440,6949681,7035799,6533476,2612842,2538446,2718307,5260890,5749012,6313308,2463695,2936697,2617866
339.1085404,6791432,6641310,4889813,5240394,4952066,5267018,7815341,7468209,6404416,7600307,7344117,7341505,7589690,6797215,7184749,6353523,5917143,6557292,8117859,7655709,8618341,8900055,7815554,9032723
339.1449258,7554322,6862505,5139165,7552596,7224332,8575572,6239413,5493946,5380424,11625661,10508286,11256267,7888708,8585127,8637814,11653757,11907552,11487861,7788139,8270118,8093038,14728671,15908235,16755741
339.1813112,6628637,5972660,4388581,6950494,8284183,7880287,2590397,2184899,2583376,7537863,6144007,7646676,7138125,7784368,7671167,12198535,14354921,11428479,3002995,4897071,3403638,9917927,13852053,12459047
339.1999381,7120162,4370105,3789545,9959011,8694812,7616100,6490305,8752327,6415700,23532748,26181644,12171737,6083410,5241780,6489475,11840139,15888877,12051075,9809527,6033716,6717819,31469035,16373145,22303788
340.1877936,7018047,6583265,4510661,9031550,8906042,8670087,0,0,0,5501405,5142793,6580951,5242966,5170330,5287548,9083794,10322653,8638337,0,0,0,5136065,8080021,6608182
340.224179,4100170,3235308,2791373,6272905,6460740,6854546,0,0,0,2290152,1653010,3062496,2245983,2906274,2447493,5916572,7157478,5710730,0,0,0,2243273,3830430,2448192
341.0514196,4808510,3774695,3032714,0,0,0,5338718,5334677,5624583,0,0,0,4495678,4510053,4323160,0,0,0,5022756,5107463,5425981,0,0,0
341.087805,8043336,6251762,4779154,2886789,2675266,2961557,7016038,7511710,6880016,3964633,4374003,3977666,6113608,6539629,6841185,3530372,2226619,2728042,8753197,7106320,7867206,4704136,4388733,5029420
341.1089342,1766991,2130169,1471639,1439884,1781833,1447579,5550699,7956131,7613205,0,0,0,1683534,1761906,1619815,NA,NA,NA,13066290,10152725,11860811,2575757,2314115,1786418
341.1241904,8359763,6556926,5370011,8030352,7611981,8881312,8400495,8325799,7881497,10153699,10865149,10683340,8806738,8701302,8865643,11080846,12188612,12024948,12005429,10883865,11283279,15669136,14632839,16498230
341.1605758,7204702,6097161,5540003,10223771,8922712,10073259,6616695,4414128,4257569,14595821,13756934,13886422,8151388,9278846,8474484,13937815,14887885,12635261,6944830,7787299,8135512,19247001,20502416,23344704
341.1830426,2897253,1929488,1644456,3317921,3815007,3587762,0,0,0,2742515,2108940,3478492,1559138,1929092,1497210,3103901,3223506,2550915,0,0,0,1537438,2958742,2515014
341.1969612,7937897,7237908,5327020,9285798,9975395,9596086,1974399,1694906,1691434,7941879,6013456,7646175,8171878,9579911,8427389,13706401,17171414,13585542,1946439,4481836,2941281,9471905,14612378,11265610
342.1306728,3157633,3126837,2168711,2936252,3133818,3004372,2935636,3135913,2752014,4477951,4862728,4511960,2337895,2687590,2341487,3188639,3046591,3163515,2438949,2674718,2525258,4143732,3943567,4560716
342.1670582,6809740,6675008,5248399,7636423,7949188,8005087,2154333,2185650,3023895,6745097,6814481,7466210,5780081,6191727,5759096,7927209,9041096,7571845,1767982,3672104,2797651,6013053,7298201,7787350
342.239829,5751970,5470807,4038049,9613789,9093018,9620981,0,0,0,3530270,2467621,4275446,3869830,4189824,3512459,8051133,10366171,7196056,0,0,0,2600077,6393004,4433258
343.0670696,4179360,4751195,3421800,0,0,0,7016493,7088284,6201591,2001418,1783044,1700822,4104047,4291400,4650340,0,0,0,6242824,5423381,6277431,1838925,2028424,2325073
343.103455,5403051,4531047,3412081,3229924,3209377,3880707,8169525,8967334,6950144,4907284,5660686,5690848,5554042,5602129,5214573,4113066,3108278,3975805,10461712,8352031,9891137,7182677,5971346,6979675
343.1398404,6294966,5826418,6002298,6084336,6332588,9770766,8991806,8838319,6905097,14209311,15848472,14429674,8278916,8738650,8673655,11439796,11822527,11464327,14701081,12901672,13958474,33481054,28772764,36898917
343.1510738,2389434,2308982,1691773,2131443,2178991,2650386,0,0,0,2547490,2369563,2810349,1926535,1884508,2402170,2945208,2881986,2238602,0,0,0,2055008,2253727,2578536
343.1550966,3108795,2212983,1781374,2596596,2849968,2490643,0,0,0,2227491,2682908,2335726,2816393,2467677,3339643,4054713,5042627,4355723,1657885,3236140,2209102,3772257,4656544,4910185
343.1762258,6301122,6069118,4200067,7536379,8018103,8212250,3836998,3547833,3170067,12405033,10548258,11922932,6413199,6748002,5888385,11206334,11384264,10219153,4687394,5971250,5701971,17584486,18766246,21452911
343.1986926,4002249,4160389,3591816,5940994,6719678,6403873,0,0,0,4471088,4278312,5842426,2818453,3353448,2968966,6041285,7181774,5596823,0,0,0,4031851,5584300,5126262
343.2126112,15018445,12475273,9004684,16663302,19876034,17057573,1864271,1968578,1772316,11850036,7188524,9195006,13329305,14487403,13840778,22300361,29558225,22611610,1595179,5312828,3406684,12913007,21916079,17520762
344.1827082,10179324,10413248,7402364,8035380,9400813,9896025,3700531,3600323,4798996,9110091,8785207,10264330,9499826,10162265,9867916,10842070,12394187,10893215,3782938,6933057,5320279,9132628,12343990,9730443
344.2190936,4136712,4238539,3249029,7692351,7299577,6811749,0,0,0,4095062,4149057,4898580,4064957,3872354,3413654,7271393,8752852,6433705,0,0,0,3354205,5812928,5192086
345.0615904,6426644,6180317,3894363,2330443,2887425,3165046,2409989,2336431,2370810,0,0,0,5665206,5008691,5743480,1953997,1862320,1822861,1484535,2602289,2488380,0,0,0
345.0827196,3655707,3193316,2397281,0,0,0,6489610,6142645,5659391,2960721,2237491,2496007,2871741,2921784,2854270,0,0,0,6783996,4955959,6381378,2109742,1789101,1723788
345.0979758,6048800,5570025,4425828,2746198,4217612,4702594,2464781,2660025,2541315,1802582,1682743,2298891,5760449,5452092,5619586,3970264,4150201,3886231,1688576,2748219,2946374,2036017,2519985,2369681
345.119105,3236391,2659824,2313578,1929565,2360595,2234760,7082514,7684799,5922569,5636956,5600829,5232657,4294088,4457793,4045704,4477150,4736959,4282525,10824710,8688449,10379084,10099511,7110583,8934039
345.1303384,3275306,2460148,2073709,3102561,2871574,3223948,2376725,2473666,2603276,4257631,4126272,4448276,2943435,2824516,2517387,4126945,4381634,4384928,2127880,2863428,2709839,4546361,4711354,5107354
345.1343612,6022188,5113333,3376238,4773218,4557592,5579149,3059734,2557123,3178253,3727712,3978305,4360214,6030796,6272325,6656908,7819490,7717827,7200929,2841097,4434757,3470672,5026618,5806011,6360731
345.1554904,11303987,11113980,16316531,16520553,16567070,32958868,5903899,5830345,6430483,15768423,14952007,19441692,28915155,27998538,29789074,52152552,60032969,53405863,9739279,14313291,13100885,37102400,47877057,48917153
345.1707466,4621367,4100609,3111543,4590958,5228323,4839833,2327071,1627085,2558743,3967851,3379276,4330528,7082455,7603534,8002454,12067052,14063565,13066411,2142739,6107983,3367257,7641923,12262341,11657893
345.1779572,3422266,2633731,2272889,2962800,3080485,3498908,0,0,0,2324845,1849038,2995234,2330073,2351440,2416024,3332846,3280334,3127981,0,0,0,2003269,2510279,2553512
345.1918758,4624446,3913224,2811005,5215604,5723946,6163872,1461284,1565779,1542684,9148273,6712914,7740454,3896285,4658516,4284316,7466226,7367634,6656177,3268632,4023125,3240287,11656008,14109643,14639787
345.2282612,19692618,17542676,10733702,19690880,22580021,21227948,0,0,0,7195516,4203100,6331440,16537064,18794845,18987942,27535612,39561180,27297979,0,0,0,7715665,21076949,12518070
346.1619728,5611898,4562761,3620218,1586607,2237023,3082464,2613007,2626524,3229728,2569359,2843494,2464827,5129988,5327432,4728997,2489350,2207443,2191803,3052304,4638819,3907681,2023992,2841818,2877891
347.0772404,7755433,8214652,5826158,3462621,3242886,4259860,3164144,2722010,3447067,0,0,0,7952416,7292721,7432610,3907341,3168200,3583161,2396157,4277607,3583320,1499679,2270684,2028750
347.0983696,8045232,6054019,4921972,5711844,6142349,6082587,5235701,5090528,4301089,2110885,2168950,2973260,9396263,9573174,8157607,8854291,9529805,8925886,6446595,4684653,4713822,3392292,5128674,3708628
347.1136258,7191221,5975176,4357752,5658601,5755282,6119456,3533817,3673829,3920165,4172201,4706427,4712016,6369324,6329146,6132140,8604439,9497042,8831683,3335687,4226417,4444514,4860200,4997607,4729049
347.134755,2259644,1929872,1478270,1805296,1878937,2359335,4361214,5140715,4619563,5090736,4952193,4678231,2335026,2645823,2639794,2442014,2565079,2304713,8261132,7005559,7586152,12893486,10278381,11769055
347.1500112,6676161,6113429,4543106,7055349,7514526,7828524,4065794,3154159,4614447,6710708,8192133,7060059,7224375,7512899,7601590,10580770,12339675,10744525,4238864,7667068,5396844,9776434,11988465,11547876
347.1711404,7361224,6544540,4565640,9631740,9102757,10548275,3282439,3067637,2666805,10251706,7672971,10601057,13461566,15338313,15443388,25422632,27023841,26454739,4712982,8339842,6931825,21202231,29015543,29519082
347.1863966,5206733,4080289,3330188,5651457,5536170,6475833,0,0,0,4174783,3375248,4664934,11196482,11922253,11371968,18971436,22964709,18217687,1959450,5202310,3681654,8801595,15461883,12485870
347.2075258,2601684,1884840,1865106,2843656,3167665,3351104,0,0,0,4130245,3057302,3434604,2376265,3082066,3125702,5431091,5981675,4993757,0,0,0,5913920,10034689,9762036
347.2439112,15998689,14168245,10551964,19970069,22957501,20585548,0,0,0,7651792,4711585,6529655,12316756,14449499,13290960,22285117,31877621,22579943,0,0,0,7724362,15629836,9825535
349.056505,8925514,9575204,6923410,2081148,2979859,3349693,3612128,3822349,4610891,0,0,0,8514202,9205042,8558543,2075470,2118628,1957093,2307595,4757413,4800378,0,0,0
349.0928904,8757590,8547120,6309021,4566665,4906016,5660362,5365225,4943639,4867925,3411965,3536071,3986078,8469158,9327931,9172953,4917592,4857838,4966639,4513813,5574576,5974916,4264747,3888674,3852578
349.1292758,9374051,8420157,6517927,7811734,7835692,8328918,6414834,6504226,6129504,7998472,8721106,9311401,9200306,8845637,8681443,9756003,11283448,10433786,6470687,7744443,7264142,10512180,10444844,11054893
349.1656612,8098159,7050058,5734577,8682146,9144376,9703139,4071931,3990828,4311914,8693779,7932637,9510068,10316478,10239310,10489838,14984558,18185218,15191300,4662313,8152005,6544280,14077758,17575991,16006968
349.1867904,2242423,2091345,1603767,2840234,2892351,2896106,0,0,0,3661850,2592995,2769082,5581509,6035796,6250484,9450868,12354568,10630410,2099759,3165132,2224542,5046084,7993405,7497534
349.2020466,6076796,5351254,3931324,6665903,7835716,8115952,0,0,0,4806686,3695336,4572351,21097162,23276888,21438456,36179321,46099468,35171598,1664563,6267856,3614114,11611976,24981570,15843139
351.0357696,7194624,7976414,5789390,1647155,2006193,1910139,4749276,4673870,5523856,0,0,0,7064877,7675710,7721480,0,0,0,3369512,4704756,4789673,0,0,0
351.0568988,2276360,3141605,2174164,5811514,7085753,6282627,9268193,10206548,7770519,3732566,4287263,6846200,2094388,2063171,2137102,5946271,5492242,5158689,10715694,6492667,8435119,1616700,4709990,3431793
351.072155,10695693,10624491,7976664,3462464,3566270,4624776,6200293,5965145,6660507,2168923,2742564,3408637,10558777,10737479,10377746,3393443,2952214,3353894,5157426,6803967,6557108,2403136,3461227,2793846
351.1085404,10064922,9090552,6961891,6888781,6392522,7490965,8829935,8721764,7580070,7201382,8359215,8279816,10177861,10084177,10506781,8341422,8361505,8253232,8874556,9010698,9125310,8350026,8802933,9271681
351.1449258,11140135,9948677,7475950,10079578,11125463,11753890,8172536,7284078,7523761,14471793,14255418,14454547,11130194,11198299,11336231,15007673,16432683,14993210,9028166,10878485,10419657,18078036,18109056,19722636
351.1813112,8156212,6501906,5619449,9327974,9579235,9757103,3264002,2730361,3217340,9007740,8142150,8957726,11908446,12765028,12059186,19939268,21147189,18640709,4969041,8521248,6620627,17635678,22065803,19198359
351.2176966,4778049,3931679,2804995,6073715,6578928,6156733,0,0,0,3396231,2096977,3445546,13798762,14690158,13793852,24727503,29146688,23105359,0,0,0,6805864,15102614,10205602
353.0150342,2805449,3027624,2410782,0,0,0,2813923,3377053,3699177,0,0,0,2558421,2775891,2911819,NA,NA,NA,1936210,2356306,3040229,0,0,0
353.0514196,10090199,9205941,6999337,1685258,2313579,2617433,7341549,6857639,6760436,0,0,0,8333282,9378141,9395285,0,0,0,5424220,6754397,7396336,0,0,0
353.087805,10993380,11018434,7930164,4942872,4809080,5735526,9248246,9052082,8678399,4872395,5018523,5380469,10342382,10467687,11768928,4769281,4692052,5121390,9444454,8876136,9699322,5275503,5357770,5383133
353.1089342,1777132,1996490,1720379,0,0,0,8474108,9471929,8164358,6686930,6134690,6879612,2170870,2153068,2039910,NA,NA,NA,12487788,8104047,10631168,6274933,6146257,5957603
353.1241904,10510065,9826511,8051007,8093733,8152452,9385076,10546688,10868669,10603530,12305622,13354919,12769665,10321915,11071856,10691691,11330060,11038814,10670456,12864625,11970675,12638213,14795641,14623957,16385000
353.1605758,12089086,10703069,8347978,11972658,12502417,12899457,7310858,7695304,6937622,16614626,16015282,16785804,11448328,12855674,13061237,18948631,19877993,17338755,10024059,11925631,10762255,23239556,24618208,25945075
