mass,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
511.1820988,6312689,5907779,4807015,4256003,4116907,3556937
527.1770134,5059717,4640517,3174069,1858334,2525581,2272419
449.2180904,4040728,3822610,4216508,11571202,9505636,10980714
465.213005,5565402,5840277,4674693,11168514,10395808,11762018
481.2079196,5922922,6026982,4905191,9465652,9626502,9435235
497.2028342,5426589,5012036,4423713,6505758,6867240,6748473
513.1977488,5331748,4127132,2982887,3514662,3641893,3716711
529.1926634,3527863,3958550,2449016,1800323,2231167,2232983
641.1570656,6435699,4352854,3007823,3422610,3328129,3998841
657.1519802,5083731,4680757,2575112,1925646,2794154,2423673
673.1468948,4768476,3431707,2437469,0,0,0
467.228655,3415008,3563921,3489988,7592563,7469242,7694619
483.2235696,4038794,4611905,3154879,7188182,6919208,7223404
499.2184842,4075979,3430075,3204358,5220607,5062116,5137762
515.2133988,3051352,3312109,2425424,3664211,2694798,2796160
627.177801,7152166,5040495,3524314,3885644,3616199,2889091
643.1727156,11149906,8873721,7078152,6965692,6948938,9099349
659.1676302,12511545,11258828,8224451,6544511,7278187,9152350
675.1625448,8864308,7186627,4418882,2448398,2558073,2822829
691.1574594,4792477,4147892,2537914,2187745,1995972,2808404
613.1985364,5469753,4487846,3503012,3911261,4252344,3323566
629.193451,8251736,7031089,4872879,4537846,4983199,4840795
645.1883656,13697325,10489496,8556734,8442356,7442450,9222195
661.1832802,17156135,14637924,11054721,9409780,9512492,10839875
677.1781948,12906915,11831406,8633647,4109423,5061693,6241949
693.1731094,4718828,3762828,2828792,0,0,0
615.2141864,4784585,4848260,3051404,5477793,5665431,4872833
631.209101,6580346,6793453,5495424,7762357,6467957,8597811
647.2040156,9166852,8361524,7075956,7293496,6457304,8054801
663.1989302,9488160,8203004,6778435,2905451,3158508,4223786
679.1938448,12837162,11360286,9678117,3085511,2967554,4221582
695.1887594,3559766,2667114,2148928,0,0,0
665.2145802,3808805,2912918,3891722,0,0,0
681.2094948,4515018,4831187,5322020,0,0,0
367.3581528,11339096,7622948,7306801,7515752,5280242,4985832
473.181705,3748873,3444187,3468820,5298413,6160772,5804176
489.1766196,5077236,4211827,3768426,5641708,5938739,5705898
505.1715342,5233242,4334609,3678068,4820183,5039087,4479452
521.1664488,4661231,4538018,3571437,3246611,3475290,3199658
537.1613634,4820341,4155155,2926814,2280750,2101451,2295869
553.156278,3376845,3172900,2010511,0,0,0
459.2024404,3870685,3513867,3556475,8246477,6969583,7740041
475.197355,4930589,5187086,4677297,10012788,10392047,9439351
491.1922696,6611228,5700837,4978010,9555372,9162479,8937673
507.1871842,6990476,5924989,5531693,6900957,6753423,6961667
523.1820988,6143010,6020812,3951345,4407910,4723579,4178605
539.1770134,4956579,4732675,3468370,2383259,3256961,2739740
555.171928,3654388,3189241,2462413,0,0,0
461.2180904,3524568,3631569,3530846,9370670,8564921,9144856
477.213005,5330996,4873804,4744032,11288578,10367594,10825832
493.2079196,6062405,5694809,5307979,10356084,9523118,9855212
509.2028342,6254271,6016228,5008597,7699691,7134501,7234088
525.1977488,5946452,5347053,4229853,4332224,4934540,4213419
541.1926634,3733969,3994350,2726842,2385415,2911279,2320376
557.187578,3531545,2725325,2209289,0,0,0
