mass,PreSW4.csv,PreSW5.csv,PreSW6.csv,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv
491.046728,3642755,3339000,3546655,0,0,0
461.0725488,6882866,6654749,6160744,0,0,0
477.0674634,5836831,5382708,5777031,0,0,0
493.062378,4463071,4063015,3679791,0,0,0
463.0881988,7515558,7473883,6758622,0,0,0
479.0831134,6130733,6089279,5313118,0,0,0
495.078028,4092481,3480408,3724868,0,0,0
481.0987634,5609545,4851280,4618814,0,0,0
497.093678,3781289,3410828,3318368,0,0,0
483.1144134,4963443,3956328,3822120,0,0,0
469.1351488,5574794,4992602,4200340,0,0,0
485.1300634,3128488,2998918,2885146,0,0,0
473.0725488,5070898,5194294,4717305,0,0,0
489.0674634,4717873,4680398,4266518,0,0,0
505.062378,4004967,2920547,3291898,0,0,0
475.0881988,6530080,5966385,5461690,0,0,0
491.0831134,5057925,4937465,4216351,0,0,0
507.078028,4186332,4282521,3526442,0,0,0
477.1038488,6882335,6238772,6022791,0,0,0
493.0987634,5033440,4716328,4969007,0,0,0
509.093678,3874127,3198158,3321692,0,0,0
495.1144134,5087811,4386649,4362821,0,0,0
497.1300634,4108971,3889037,3442272,0,0,0
517.062378,3370748,3453318,3077172,0,0,0
455.0983696,3865689,3413029,3318607,0,0,0
471.0932842,4548693,4021828,3911489,0,0,0
487.0881988,4518119,3551912,4169236,0,0,0
503.0831134,4774901,4464685,3535566,0,0,0
519.078028,3816283,3418540,2946156,0,0,0
489.1038488,5206322,4826831,4189718,0,0,0
505.0987634,4608105,4159588,4002555,0,0,0
521.093678,3428277,3447245,3014307,0,0,0
507.1144134,4031710,3982490,3897131,0,0,0
523.109328,3220488,3342826,2699482,0,0,0
509.1300634,3725649,3935438,3608413,0,0,0
421.2231758,6526890,7070354,6115002,0,0,0
499.0881988,3660564,2923457,3050112,0,0,0
515.0831134,3396248,2849117,3140605,0,0,0
531.078028,3302674,2777650,2763174,0,0,0
469.1140196,3140746,3248730,2565013,0,0,0
485.1089342,3182760,3594885,3533338,0,0,0
501.1038488,3724165,3554295,3816101,0,0,0
517.0987634,4016893,3571079,3589173,0,0,0
533.093678,3693893,3477049,3015124,0,0,0
487.1245842,4381929,3784360,3498516,0,0,0
519.1144134,3968861,4028844,3631213,0,0,0
535.109328,3479920,2868795,3026431,0,0,0
457.150405,3704710,3900352,3950235,0,0,0
521.1300634,3896247,3475918,3343524,0,0,0
523.1457134,4179978,3153387,3569883,0,0,0
513.1038488,3346991,2459440,2858951,0,0,0
499.1245842,3190038,2705858,2923649,0,0,0
515.1194988,3194522,3158366,3022846,0,0,0
531.1144134,3691795,3313202,3389862,0,0,0
517.1351488,3565311,3298695,3447862,0,0,0
533.1300634,4012358,3917369,3448276,0,0,0
549.124978,3452378,3199426,2778811,0,0,0
535.1457134,3435889,3422779,3128831,0,0,0
537.1613634,3562902,3629624,3719719,0,0,0
529.1351488,3223771,2835495,2678647,0,0,0
528.1511332,4372669,3768864,3806558,0,0,0
531.1507988,2834708,3018290,2979239,0,0,0
547.1457134,3357153,2796002,2686639,0,0,0
549.1613634,3330522,2843074,2549947,0,0,0
551.1770134,3279308,3136924,2130113,0,0,0
557.1664488,3354994,2735885,2886318,0,0,0
317.1064319,5380650,5182088,5112600,0,0,0
381.3738028,3467929,3074927,2476733,0,0,0
429.124978,4419863,4404696,4114682,0,0,0
441.124978,3617093,4317031,3742910,0,0,0
561.1672364,2894095,4226194,3411581,0,0,0
617.193451,4050474,3854288,3000626,0,0,0
633.1883656,3499731,3578181,2737764,0,0,0
349.1646291,3322558,3334478,3287021,0,0,0
336.3271872,13933698,5116202,2625220,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
355.0823258,3823280,3073416,3545776,1946207,1814676,1959350
345.0615904,5665206,5008691,5743480,1953997,1862320,1822861
359.040855,5930068,6074323,6978393,1956638,1613855,1686599
383.0772404,4460240,3940618,4343407,1980503,1576681,1799950
413.087805,5833840,5846556,5295899,2350369,2420231,2308000
369.0979758,4091695,3749585,3937596,2404128,2529481,2504132
399.072155,6845251,6692155,6185718,2420442,1956065,2451223
343.0823258,4146036,3920716,3964264,2518180,2453936,2654840
397.0928904,4522434,4881424,4566480,2547635,1806755,1955366
373.056505,9284862,8560395,9219016,2647984,2329926,2294297
389.0514196,10922494,9879107,10435560,2931660,1847672,2347781
371.0772404,6884890,6184177,6541702,3265388,2612491,2914292
387.072155,8695738,8535196,8432175,3436564,2711989,3035513
361.056505,9651013,9353736,10311101,3532171,2481014,2379931
545.1288342,5068256,4457982,4181661,5994668,6388219,5076868
511.1457134,3770819,3130625,3173266,1594201,1544824,1733162
315.072155,8896774,9570611,9098673,1668141,1867198,2322128
503.1194988,4368375,4321326,4258511,1686290,1669725,1731194
455.134755,3186773,2854435,2583372,1728533,1583163,1770428
501.1402342,3716999,3135480,2486438,1798327,1916173,1918464
519.1507988,3735391,3160493,3470446,1852205,2297642,1871154
445.0776342,6653232,6159986,6752042,1857238,1851481,2040125
437.0725488,10127713,10176599,9218638,1910099,1782839,1729175
473.1089342,5409842,5036598,5105399,1946267,1954118,1955885
389.1089342,3902990,4365903,4439028,1952472,2176389,1947408
383.1136258,3137756,3692819,2975352,2020960,2002930,2091030
447.1144134,3453985,3254259,2930265,2031159,1991647,2057839
471.1296696,3965012,3449411,3923775,2040457,2233135,2176522
453.1038488,8065335,7543952,7545863,2045071,2088601,2288212
327.072155,4361911,3994529,4137639,2047724,1563248,1661001
349.056505,8514202,9205042,8558543,2075470,2118628,1957093
467.1194988,7042259,6736506,5849077,2117260,2080034,2025465
337.056505,7051572,6731213,7309172,2119772,1611504,1504872
457.1140196,4776842,4306882,4277918,2169258,2143722,2350906
471.1507988,3606612,3332675,3341119,2175113,2279728,1984523
411.1085404,3802179,3306436,2936044,2183914,1693611,1952429
525.1613634,3328087,3024387,2583313,2199404,2406742,2193771
