mass,PreHW1.csv,PreHW2.csv,PreHW3.csv,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv
523.109328,3437483,5134798,2755078,2324921,2593209,2052471
519.078028,4016280,5988641,3003909,2337128,2728058,2338065
401.1089342,10470895,10577850,7857885,2351997,2757701,3312135
521.093678,3586090,6044026,2572812,2374808,2110754,2480463
499.0881988,3072306,4424902,2112254,2378524,2529508,2622068
537.124978,3147438,4792157,1590906,2386457,2247761,1991843
467.0831134,7435976,9392166,4917799,2387096,2474523,2909423
507.078028,3414429,6350496,2827432,2389308,2449219,2524632
385.0776342,11255212,11869969,7891280,2390656,3251175,3267968
339.072155,6572286,7052947,4991693,2428479,3054071,3127359
411.0568988,10961551,12119341,8296961,2453182,2983936,3125487
505.062378,4390290,5952042,2852934,2458553,2769461,2225935
461.1300634,4956022,5313654,3795663,2467313,2334295,2889216
383.0619842,13148940,13952116,9525007,2473382,3194720,4081883
389.1089342,5252759,4892672,3373443,2473971,2399921,3212409
411.1085404,3527314,4931890,2511362,2475205,2602502,2779379
483.1144134,4591460,6572417,3237754,2485957,2086820,2211524
473.1664488,3842734,3697749,1717301,2499076,2605714,2087088
335.0772404,6945975,6643228,4303760,2528261,3402659,2802146
529.0987634,2902483,4710048,2064802,2531011,2831138,2522492
517.062378,3342578,5458113,2530797,2538537,2461122,2345660
479.0831134,6604546,8050923,4138706,2544613,2784119,2823930
427.0881988,9646670,11400958,7002045,2553394,2642232,3154317
531.078028,3158300,4897497,1867112,2553769,2428286,2474844
357.0827196,7607476,6694540,5873173,2585583,2561795,3183171
453.0674634,7592313,9998777,5630205,2596763,2611494,2851375
495.1144134,5660876,6796254,3479058,2602492,2746518,3044497
403.1245842,5448510,4327722,3327964,2604357,2949051,3031395
547.109328,2999846,4675498,1457220,2608425,2008811,2051231
535.109328,3818375,4664120,2121427,2613590,1998358,2492654
497.1300634,4797698,5541970,3090570,2617234,2606531,2197385
477.0674634,6821596,8167598,4473487,2635397,3107439,3029029
463.0518134,6487851,8026189,4517507,2636983,2862805,2651700
517.0987634,3545328,5765315,2446830,2648111,2663365,2810045
421.0412488,8692549,10686235,6756710,2662096,2602664,2418715
487.0881988,4839384,6492723,2447939,2664894,2530277,2795686
405.1038488,3672150,2948200,2359463,2671835,2511618,2243720
515.0831134,3698999,5248094,2606023,2675425,2777851,2493009
533.093678,3407959,4920076,2334499,2677382,1848272,2470188
465.0674634,6848240,9396274,4557385,2688412,2553197,2880645
417.1402342,4285281,3408565,2524672,2713992,2115051,2434050
531.1144134,3122457,5108441,2078055,2716589,2809728,2231131
423.0568988,10328843,12445480,8100079,2721624,3402474,3328513
345.0979758,6048800,5570025,4425828,2746198,4217612,4702594
337.056505,7519946,7419977,5215519,2747409,1964991,2707456
333.0615904,5708464,6439929,4816399,2753029,3105167,3797455
503.0831134,4402555,6542772,2892766,2788918,2725155,2996284
435.0568988,9375741,12373464,6870179,2794315,3641153,3702776
489.0674634,5005333,7445141,3194544,2805571,2498826,2860444
457.1351488,4409424,5781754,2648504,2827421,2324375,2335205
447.1144134,34313094,32979728,20543311,2838167,3024114,3064101
469.0987634,5875376,7796776,3933720,2847656,1906907,2739567
441.119105,3962312,5042307,2887665,2856934,2729231,3323520
473.0725488,5707438,7241812,3480116,2866677,3062919,3121832
341.087805,8043336,6251762,4779154,2886789,2675266,2961557
343.1187112,4087216,3565931,2529909,2918633,2541221,2962183
485.1089342,3458973,5209559,2694619,2923583,2371779,2670003
449.0725488,8374993,10979994,6534784,2926304,3219192,3672262
455.0983696,3422429,4785492,2542673,2928658,2458965,2293246
333.0979758,4581050,4544515,3260438,2930702,3030937,3640792
491.0831134,5449812,7475967,3393828,2958547,2584120,2724505
357.0979758,5265593,5039762,3587610,2964469,3617545,3571785
393.0463342,13625066,15241315,10035496,2973922,3648250,4338906
429.1038488,7977424,8232650,5265160,2979977,2595145,2643769
427.103455,4105805,5617405,3744700,2983475,2755896,3160461
471.0932842,4209320,5696568,2940958,3003079,2637738,3140099
435.1144134,3557880,3704277,2746012,3018060,3053889,2713589
397.1292758,3827406,3710056,2727007,3025285,2733809,2645713
331.1187112,3845840,3129852,2304175,3073581,3159455,3242467
515.1194988,3086645,4286560,2141640,3074792,2643711,2025556
447.0568988,7084940,8979220,5849941,3104405,3213042,2942248
449.1300634,3247819,4218518,2017914,3120866,3474168,2820803
357.1707466,3994325,2928813,2180657,3148817,3265315,3503205
365.0514196,13189309,13308532,8935513,3164707,3838569,4380257
321.1343612,3514957,3179721,2602668,3168228,3569822,3569449
437.0725488,10616648,13217134,7678913,3188096,3253554,3876733
501.1038488,3753307,5514557,2497393,3189935,2758665,3100511
535.1457134,3563395,5372729,1968850,3191130,3017751,2813165
329.1241904,3926263,3213827,2153818,3192414,3010995,3037183
493.0987634,5601425,7117676,3525018,3206759,2528103,3249046
431.1194988,6028608,6739590,4752964,3208403,2129743,2860246
419.0619842,11141986,12467956,8276417,3218997,3927635,4272668
343.103455,5403051,4531047,3412081,3229924,3209377,3880707
463.0881988,7431978,9865292,4858497,3262139,3502295,3387958
451.0881988,9122334,11041317,6490550,3267383,3498760,3607665
511.1457134,3544457,4950922,2365265,3289136,2558274,2966335
439.0881988,9803403,11732220,7172827,3296691,3135265,3682047
507.1144134,4683165,6524579,3160234,3300675,3019079,3104219
325.0928904,5132150,4190268,3124445,3302131,3228673,3468903
519.1144134,3955862,5493027,2635269,3313005,2663038,2785554
547.1457134,4042274,4955050,2069058,3313964,2924779,3170973
457.1140196,4221010,6265083,2909113,3318427,3581846,3403749
487.1245842,4326361,5535285,2340933,3327429,2981866,3765418
471.1296696,3856040,4885560,2441246,3328717,3146158,3299846
469.1351488,5795504,6317097,4008472,3339693,3019486,3527026
475.0881988,6086335,7723132,4424283,3343673,3253111,3337057
483.166055,3479398,3556739,1828477,3349199,2922923,3053258
471.1507988,3775144,4472889,2537502,3362512,2276272,2119176
477.1038488,6842076,9277615,3956369,3366027,3850868,3949608
398.1568874,3874734,4060498,2846484,3372185,2813915,3065782
461.0725488,6727545,9095287,4869842,3381739,3649620,3568639
505.0987634,4547986,5770796,2987080,3412928,2998842,2388754
399.0932842,12756080,13559327,8615344,3416461,3432615,4243069
429.0827196,6468049,7859915,4930314,3428488,3351369,3679546
443.0983696,5742856,6974474,3826958,3429915,3436289,3586567
459.0932842,6571995,7801009,4383546,3451192,4200426,3629028
351.072155,10695693,10624491,7976664,3462464,3566270,4624776
347.0772404,7755433,8214652,5826158,3462621,3242886,4259860
327.1085404,4956461,4080663,2877971,3477662,2798034,4052521
333.1707466,3689676,3079190,2320419,3502112,4189612,3966443
445.0776342,6718537,8835982,5039151,3507796,3448566,3903891
533.1300634,3587155,5259020,2224930,3542154,2938833,3148075
385.0928904,6019505,7190294,5355860,3548293,3872235,4766597
413.1241904,5259005,5510613,3035685,3569616,4103365,3942769
455.1194988,7071963,8524115,4932687,3577875,3821397,3791870
429.1402342,6378958,6248137,4369157,3585162,2907466,3995959
531.1507988,3179797,4112090,2098022,3592113,2961282,2982234
441.1038488,8218058,9915524,5962227,3603942,2735888,3103361
485.1453196,3001758,4395481,1888221,3604550,3309256,2558903
337.0928904,7378644,7328851,5310759,3607067,4043721,4355082
537.1613634,3172010,4698974,1994872,3608093,3408978,3441825
390.1670582,3746765,3856697,2972298,3609425,4005858,4168115
401.2333466,3758597,3676114,1664239,3609498,3893853,3786270
357.1343612,4085959,4219552,3149862,3619843,3858198,3800151
407.0619842,14018877,15993720,10297667,3624007,3911201,4677500
367.0670696,14851024,14054781,10746622,3629384,3813201,4454777
509.1300634,4173211,5752600,2844931,3639998,2875467,3004054
387.1296696,7661628,6388129,4984705,3651410,3378275,4005399
397.0776342,15467202,15938651,9643094,3665783,4063973,5358789
377.0514196,12939960,14339122,10543070,3677379,4027243,4697208
371.1863966,3646480,3098022,2448994,3684280,3729208,3983298
485.1664488,3067806,3908058,2026974,3684426,2993867,3385274
523.1457134,3824552,5358031,2534405,3685311,3785148,3019127
359.0772404,8292269,9142655,6209690,3690735,5283286,4609346
335.1136258,6458561,4879911,4248471,3696654,4512173,5219819
433.0776342,9390245,11361846,6899065,3708178,3833676,4563052
549.1613634,3216687,4405155,1956796,3710374,3035380,3223072
441.1554904,3253189,3751041,2149869,3711463,3464463,4068990
501.1402342,3281244,4634944,2255219,3719350,3307534,3307363
323.1136258,4641241,3782267,3347389,3721058,3521608,4441279
378.1670582,3339856,3709894,2728256,3721842,3563760,2815507
453.1038488,8333686,11362743,5969146,3725212,3890983,4177966
529.1351488,2621903,5034657,1847201,3728071,3024676,3172219
399.1085404,6239347,6647331,3495346,3739025,4417707,4877952
415.1245842,8899393,8363605,6051363,3757241,3613029,4182474
406.1983582,3272925,3307781,2491139,3813803,4048295,3707670
427.1398404,3971659,4491005,2952633,3826741,3344185,3686795
517.1351488,3698927,4935877,2274798,3845173,3294153,3102911
521.1300634,3488808,5322108,2756620,3846813,2591013,3202383
387.0932842,7821360,7561622,5422967,3850053,2852952,3088395
503.1194988,4374908,6227382,2604000,3874366,3092776,3525696
465.1038488,8832751,10614834,6110793,3902369,3951984,4187271
333.1343612,4420803,3473421,2990620,3906583,4626850,4555746
329.087805,4081903,3930106,2319444,3919446,2793386,3957750
371.1136258,6364660,6057867,4563018,3944347,4373277,5039014
387.2176966,4134999,3217853,2231192,3956592,3620990,4161074
443.1558842,5011715,4881414,3084552,3980829,3126016,3618308
489.1038488,4827158,7158423,3422386,3981130,3124496,3427745
421.0776342,12143428,14343963,8681828,4002515,4777641,5016091
491.1194988,5548117,6812417,3211558,4035802,3878462,3878558
415.103455,8600384,8906323,5621284,4063415,5135716,4942281
505.1351488,4977042,6915630,3185738,4142023,4057663,4017430
483.1507988,5354341,5927298,2857340,4162252,3363241,3657416
395.0619842,16933098,19096177,11539154,4195645,4451584,5435107
409.0776342,15260157,18590824,11346359,4206999,5228324,5361740
374.1721436,4398212,4200459,2596924,4221018,5173103,5260349
373.1140196,7312627,6322815,5242593,4224695,3078643,3890857
525.1613634,3852056,4300316,2249200,4231378,3417667,3062155
403.0670696,11255605,13234464,8447958,4235576,5047217,4586841
473.1089342,4832942,7311444,3655220,4236283,3481740,3186347
413.1089342,11399932,12185044,8043045,4260814,4577476,5082480
417.0827196,9769825,11679410,7531010,4307331,4026856,4767233
551.1770134,3099708,4694932,1657137,4358678,3792119,3187103
375.2176966,4106254,3146640,2114961,4363766,4283620,4207049
447.0932842,8600456,10099474,5788497,4370070,4444914,4333862
461.1089342,7606135,9349238,5000912,4391407,4329558,4145151
515.1558842,3590452,3976290,1888712,4395758,3755779,2740310
443.1194988,7705862,8625160,6936844,4404764,3322112,4270598
379.0670696,15277462,16539400,12565081,4405196,4923942,6392667
404.1827082,3880922,3514841,2213967,4418083,4626543,4716037
563.1770134,2993889,4553364,1640887,4487118,3188925,2872978
401.087805,8801771,9578422,6328026,4492152,4566593,4865027
423.0932842,13691658,14966568,9677036,4493147,4923115,5664257
479.1194988,7309059,8356076,4212436,4507627,4624252,4181246
391.0670696,15137998,16891453,10006371,4508789,4797664,5857975
497.1664488,4627715,5708885,2868365,4526490,4257224,4196749
427.1245842,9316940,9021181,5769146,4548660,4688697,5023116
349.0928904,8757590,8547120,6309021,4566665,4906016,5660362
429.119105,5851599,7657162,4055815,4571273,4733770,4439352
345.1707466,4621367,4100609,3111543,4590958,5228323,4839833
441.1402342,6967750,8187010,4499951,4595175,3988239,4707967
467.1194988,7438023,8984614,4564518,4604061,3757598,4434161
323.1500112,3587553,3062403,2761155,4647785,4599888,4898503
481.1351488,7327537,9265459,4061987,4650326,4819086,4165086
471.1871842,4070056,4074553,2305566,4680405,3825588,4304394
455.1711404,3414231,3795280,2464331,4704278,4193111,3734525
385.1292758,5663164,6339361,3721566,4709522,4636151,4719505
385.1364864,4238783,4131620,3013984,4715669,4716025,4856724
409.0987634,3889662,4916330,3374520,4716954,5959462,5226574
359.1863966,4906967,3944873,2641086,4737305,5103102,4682092
375.072155,12894168,12908890,9256290,4739517,5474480,5554579
387.1085404,9447477,10398106,6545275,4749130,6345821,6578704
411.0932842,14592657,16207152,11002370,4753091,4548612,5765361
457.150405,4542543,5344505,3547063,4755614,4950935,4756453
435.0932842,11614202,13995478,8039583,4758860,5076801,4581366
345.1343612,6022188,5113333,3376238,4773218,4557592,5579149
325.1292758,4407166,4113476,3183843,4781306,4502537,4973679
473.1453196,5226158,6164565,3168821,4791297,4806800,4284078
441.2282612,3283390,3539069,1977317,4817385,3986191,4175481
355.103455,10045900,8612776,7078818,4856578,4907071,5709653
369.0827196,13711073,12710020,9520547,4857967,4609079,5939343
373.2020466,4102420,3290272,2893566,4882138,4580882,4933323
547.1820988,3046941,4698026,2261055,4883758,3705067,3937946
373.0928904,8690923,9410167,6616794,4900527,5477867,5829281
459.1296696,6179801,7547056,4047672,4927803,5084140,4622309
353.087805,10993380,11018434,7930164,4942872,4809080,5735526
519.1507988,4123796,5784868,3079685,4948339,3542145,3741971
533.1664488,3639375,5401357,1982240,4989070,3688403,3249450
485.2028342,3575711,4277723,1850336,4993105,4166352,4203454
381.0827196,16179298,17592782,12532931,5013191,5947601,7047724
493.1351488,5464210,7789422,3921308,5022318,4468589,4689819
443.134755,5681413,6095879,3989770,5036572,4334336,3935749
431.0983696,8505666,10903175,5645894,5060818,4855631,4755671
465.124978,3817199,4541489,2494024,5079971,4089202,3603592
392.1827082,5350915,5844855,3388519,5113302,5837331,4905968
361.2020466,4501217,3621035,3390804,5122093,5466335,5347452
357.119105,8742081,6581914,5515809,5123581,5476112,5993041
503.1558842,4155772,5806520,2405858,5126725,4470061,4228164
371.1500112,5541378,5062553,3526742,5127082,5210923,5730228
445.1140196,7543877,9333644,5161003,5135957,5327606,4768145
363.072155,13266360,14321530,9649602,5155599,5557135,5877592
399.1813112,5002369,4857394,3350974,5196195,5742778,5731983
455.1558842,5778648,6719825,4438092,5217301,4251478,4834301
359.1136258,7467963,7267725,5983398,5230845,5326307,6223184
339.1085404,6791432,6641310,4889813,5240394,4952066,5267018
413.1969612,3917568,4151770,2951717,5297113,5074123,4858229
475.1245842,6432448,8530045,3858012,5339455,4916604,4694884
399.1449258,5666938,5799466,3809720,5373338,5396659,5597831
457.1715342,4739150,4720888,2980789,5392544,4093848,4051940
385.1656612,5131720,5298989,3416424,5396639,6032898,6107037
427.1762258,4639305,5033724,2945973,5397558,4878137,5003658
559.1820988,3120275,4517642,1646311,5415780,3954906,3514256
525.1977488,3610389,4582941,2222064,5421271,3996230,3457419
405.0827196,15427667,16783972,10725541,5430999,5680383,6854277
388.1877936,3226498,3909353,2534039,5437628,5270945,5404512
489.1402342,5355543,6992537,3406004,5441361,4770069,4418981
425.1089342,12251831,13729565,8886365,5449680,4682522,6033872
507.1507988,5472669,6698661,3366059,5467466,4837196,4185567
431.1558842,5168445,4656773,3006016,5517524,3769167,3802324
361.1140196,5165759,4615305,3702583,5527562,5082303,5717081
535.1820988,4075391,6056761,2898128,5543262,4656152,4386027
413.1605758,4858622,5310936,3401765,5546964,5381320,4569459
487.1609696,4856794,5868087,1816135,5576140,5117935,4671663
539.2133988,3235270,4333436,1767955,5590742,4343939,4387913
457.2595612,3445832,3165941,2204079,5623974,5480347,4319204
347.1863966,5206733,4080289,3330188,5651457,5536170,6475833
