"","Mass","HW","SW"
"254",353.1089,1831333.66666667,2121282.66666667
"255",353.1242,9462527.66666667,10695154
"256",353.1606,10380044.3333333,12455079.6666667
"257",353.197,5390787.66666667,10189320.3333333
"258",353.2334,,2361960.66666667
"259",354.0831,1695308.33333333,1603297
"260",354.1307,1890311.66666667,1805436.33333333
"261",354.1558,2920291,4344452
"262",354.1671,2657385.66666667,2330247.33333333
"263",354.2035,6033185,5559442.66666667
"264",355.0096,2097943,1658648
"265",355.0307,3339502,3712232
"266",355.0459,3588680.33333333,3309975.33333333
"267",355.0671,8849488,8816371.33333333
"268",355.0823,3408298.66666667,3480824
"269",355.0882,1716140.66666667,2129950
"270",355.1035,8579164.66666667,9653331.66666667
"271",355.1187,2868151.33333333,4306179.33333333
"272",355.1246,,1840318
"273",355.1399,8343316.33333333,9720927
"274",355.1551,1993839,1880435
"275",355.1762,10403275.6666667,13249642.3333333
"276",355.2126,4671107.33333333,5882997.66666667
"277",355.249,,1651532
"278",356.1463,6578296.66666667,6384025
"279",356.1827,6844891,6028026
"280",356.2555,3031370.33333333,2223376.66666667
"281",357.0252,4496818.66666667,3674796.66666667
"282",357.0463,3783439.33333333,3848201
"283",357.0616,5185301,4983821.66666667
"284",357.0827,6725063,7217854.66666667
"285",357.098,4630988.33333333,5129241
"286",357.1039,,1585485
"287",357.1191,6946601.33333333,8499573
"288",357.1344,3818457.66666667,3891748.33333333
"289",357.1555,7738507.66666667,9478528.33333333
"290",357.1668,2512186.66666667,2344238.66666667
"291",357.1708,3034598.33333333,2263429.33333333
"292",357.1919,11421848.6666667,13507638.3333333
"293",357.2283,5076475.33333333,5376066
"294",358.0569,1899793,
"295",358.0932,1699359,
"296",358.1256,1751358.33333333,1892701.33333333
"297",358.162,3213473,2961086
"298",358.1984,16345603,15263092.6666667
"299",358.2177,1779466.66666667,
"300",359.0045,3039186,2217674
"301",359.0409,6940468.66666667,6327594.66666667
"302",359.062,4022759,4689884
"303",359.0773,7881538,7934945
"304",359.0984,6171465.66666667,4456765
"305",359.1136,6906362,7227372.33333333
"306",359.1348,5254999,7388147
"307",359.146,1750448,
"308",359.15,6090588.66666667,7401464
"309",359.1712,6137359,8016894.66666667
