Mass,C,H,O,N,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,nomass,CalcMass,KM_CH2,KMD_CH2,HC,OC,N.C,DBE,psi,psi_molc,DBE.C,DBE.H,DBE.O,AI,AI_0,NOSC
311.2228,18,32,4,0,0,0,0,CHO,Lipid,312.23003646688,0.0738196755261044,312.22988,312.22988,311.881397618828,0.118602381172479,1.77777777777778,0.222222222222222,0,3,96,5.33333333333333,0.166666666666667,0.09375,0.75,-0.0714285714285714,0,-1.333333333333333
311.2955,20,40,2,0,0,0,0,CHO,Lipid,312.302819800213,0.034351232099746,312.30262,312.30262,311.95409968164,0.0459003183597133,2,0.1,0,1,116,5.8,0.05,0.025,0.5,-0.0555555555555556,0,-1.7999999999999998
313.1769,15,26,5,2,0,0,0,CHON,Protein,314.184160752594,0.0356571308758768,314.18401,314.18401,313.833339911907,0.166660088093295,1.73333333333333,0.333333333333333,0.133333333333333,4,70,4.66666666666667,0.266666666666667,0.153846153846154,0.8,-0.25,0,-0.666666666666667
313.1809,20,26,3,0,0,0,0,CHO,Lignin,314.18820846688,-0.0438144388363997,314.18805,314.18805,313.837383106479,0.162616893521204,1.3,0.15,0,8,100,5,0.4,0.307692307692308,2.66666666666667,0.294117647058824,0.294117647058824,-1
313.2021,17,30,5,0,0,0,0,CHO,Lipid,314.209340911324,-0.0535879181175138,314.20915,314.20915,313.858491954247,0.141508045753483,1.76470588235294,0.294117647058824,0,3,88,5.17647058823529,0.176470588235294,0.1,0.6,-0.166666666666667,0,-1.1764705882352944
313.2384,18,34,4,0,0,0,0,CHO,Lipid,314.245693609737,0.0508203077599,314.24552,314.24552,313.894804060912,0.105195939088276,1.88888888888889,0.222222222222222,0,2,98,5.44444444444444,0.111111111111111,0.0588235294117647,0.5,-0.142857142857143,0,-1.4444444444444446
314.1358,13,21,6,3,0,0,0,CHON,Protein,315.143039324023,-0.0123807996615361,315.14289,315.14289,314.791147790957,0.208852209043357,1.61538461538462,0.461538461538462,0.230769230769231,5,52,4,0.384615384615385,0.238095238095238,0.833333333333333,-0.625,0,0
315.1238,18,20,5,0,0,0,0,CHO,Lignin,316.13106896688,0.0151380882967403,316.13095,316.13095,315.778074191088,0.221925808912204,1.11111111111111,0.277777777777778,0,9,82,4.55555555555556,0.5,0.45,1.8,0.307692307692308,0.307692307692308,-0.5555555555555554
315.1966,20,28,3,0,0,0,0,CHO,Lignin,316.20386146688,-0.0528196587400698,316.20369,316.20369,315.850785410332,0.149214589667963,1.4,0.15,0,7,102,5.1,0.35,0.25,2.33333333333333,0.235294117647059,0.235294117647059,-1.0999999999999996
315.2177,17,32,5,0,0,0,0,CHO,Lipid,316.224985697649,-0.0365560906956353,316.22479,316.22479,315.871886053596,0.128113946403801,1.88235294117647,0.294117647058824,0,2,90,5.29411764705882,0.117647058823529,0.0625,0.4,-0.25,0,-1.2941176470588234
315.2541,18,36,4,0,0,0,0,CHO,Lipid,316.26139396688,-0.108526935885614,316.26116,316.26116,315.908253669029,0.0917463309714321,2,0.222222222222222,0,1,100,5.55555555555556,0.0555555555555556,0.0277777777777778,0.25,-0.214285714285714,0,-1.5555555555555554
316.1514,13,23,6,3,0,0,0,CHON,Protein,317.15871346688,-0.0882220126306098,317.15853,317.15853,316.804571214059,0.195428785941431,1.76923076923077,0.461538461538462,0.230769230769231,4,54,4.15384615384615,0.307692307692308,0.173913043478261,0.666666666666667,-0.875,0,-0.1538461538461542
317.1759,19,26,4,0,0,0,0,CHO,Lignin,318.18313646688,-0.085308983705231,318.18296,318.18296,317.827850334185,0.172149665815027,1.36842105263158,0.210526315789474,0,7,94,4.94736842105263,0.368421052631579,0.269230769230769,1.75,0.2,0.2,-0.9473684210526319
319.0857,13,20,7,0,1,0,0,CHOS,Protein,320.09298646688,-0.0399264605181096,320.09284,320.09284,319.735567778613,0.264432221386812,1.53846153846154,0.538461538461538,0,4,60,4.61538461538461,0.307692307692308,0.2,0.571428571428571,-0.8,0,-0.3076923076923075
319.1762,15,28,7,0,0,0,0,CHO,Protein,320.183505355769,-0.00656582500500727,320.18333,320.18333,319.825985593302,0.174014406697836,1.86666666666667,0.466666666666667,0,2,74,4.93333333333333,0.133333333333333,0.0714285714285714,0.285714285714286,-0.625,0,-0.9333333333333336
319.1915,19,28,4,0,0,0,0,CHO,Lignin,320.198767577991,-0.0255803331958408,320.1986,320.1986,319.841230773591,0.158769226409447,1.47368421052632,0.210526315789474,0,6,96,5.05263157894737,0.315789473684211,0.214285714285714,1.5,0.133333333333333,0.133333333333333,-1.0526315789473681
319.2126,16,32,6,0,0,0,0,CHO,Protein,320.219894800213,-0.0188633296583174,320.2197,320.2197,319.862334404967,0.137665595032558,2,0.375,0,1,84,5.25,0.0625,0.03125,0.166666666666667,-0.5,0,-1.25
321.1191,13,22,9,0,0,0,0,CHO,AminoSugar,322.126424244658,-0.130195955702021,322.12623,322.12623,321.766735001603,0.233264998397374,1.69230769230769,0.692307692307692,0,3,56,4.30769230769231,0.230769230769231,0.136363636363636,0.333333333333333,-1.5,0,-0.3076923076923075
321.1555,14,26,8,0,0,0,0,CHO,AminoSugar,322.162774244658,-0.019968966960903,322.1626,322.1626,321.803044412868,0.196955587132095,1.85714285714286,0.571428571428571,0,2,66,4.71428571428571,0.142857142857143,0.0769230769230769,0.25,-1,0,-0.7142857142857144
321.2071,19,30,4,0,0,0,0,CHO,Lipid,322.21438396688,0.0790918135962345,322.21424,322.21424,321.854596507213,0.145403492787011,1.57894736842105,0.210526315789474,0,5,98,5.15789473684211,0.263157894736842,0.166666666666667,1.25,0.0666666666666667,0.0666666666666667,-1.1578947368421053
321.2105,16,34,4,0,1,0,0,CHOS,Lipid,322.217793133547,-0.0399225210629439,322.21759,322.21759,321.858001867174,0.141998132825961,2.125,0.25,0,0,92,5.75,0,0,0,-0.454545454545455,0,-1.5
322.1408,15,21,5,3,0,0,0,CHON,Lignin,323.14811146688,0.0288824835337635,323.14798,323.14798,322.787281398745,0.212718601255062,1.4,0.333333333333333,0.2,7,62,4.13333333333333,0.466666666666667,0.333333333333333,1.4,0.0714285714285714,0.0714285714285714,-0.13333333333333375
323.117,13,24,7,0,1,0,0,CHOS,Protein,324.124259800213,0.043239240087297,324.12412,324.12412,323.762339756128,0.237660243871574,1.84615384615385,0.538461538461538,0,2,64,4.92307692307692,0.153846153846154,0.0833333333333333,0.285714285714286,-1.2,0,-0.615384615384615
323.1534,14,28,6,0,1,0,0,CHOS,Protein,324.160678689102,-0.0597472286217106,324.16049,324.16049,323.798717979361,0.201282020639269,2,0.428571428571429,0,1,74,5.28571428571429,0.0714285714285714,0.0357142857142857,0.166666666666667,-0.857142857142857,0,-1
324.1565,15,23,5,3,0,0,0,CHON,Protein,325.163773389957,-0.00776703038645685,325.16362,325.16362,324.800692615712,0.199307384288431,1.53333333333333,0.333333333333333,0.2,6,64,4.26666666666667,0.4,0.260869565217391,1.2,-0.0714285714285714,0,-0.2666666666666666
325.0963,12,22,8,0,1,0,0,CHOS,AminoSugar,326.103563133547,-0.075928476389353,326.10339,326.10339,325.739432981678,0.260567018321808,1.83333333333333,0.666666666666667,0,2,56,4.66666666666667,0.166666666666667,0.0909090909090909,0.25,-2.33333333333333,0,-0.33333333333333304
325.1479,17,26,4,0,1,0,0,CHOS,Lipid,326.155163133547,0.0517528320173942,326.15503,326.15503,325.790975364657,0.209024635342814,1.52941176470588,0.235294117647059,0,5,88,5.17647058823529,0.294117647058824,0.192307692307692,1.25,0,0,-0.9411764705882355
325.1691,14,30,6,0,1,0,0,CHOS,Protein,326.17635146688,-0.129013890088233,326.17613,326.17613,325.812140038908,0.187859961092045,2.14285714285714,0.428571428571429,0,0,76,5.42857142857143,0,0,0,-1,0,-1.1428571428571432
326.1357,14,21,6,3,0,0,0,CHON,Protein,327.14300746688,0.0854532097133333,327.14289,327.14289,326.777716662183,0.222283337817373,1.5,0.428571428571429,0.214285714285714,6,56,4,0.428571428571429,0.285714285714286,1,-0.3,0,0
327.1238,19,20,5,0,0,0,0,CHO,Lignin,328.131089800213,-0.0489064092306169,328.13095,328.13095,327.764695693955,0.235304306044952,1.05263157894737,0.263157894736842,0,10,86,4.52631578947368,0.526315789473684,0.5,2,0.357142857142857,0.357142857142857,-0.5263157894736841
327.1562,15,24,6,2,0,0,0,CHON,Protein,328.163433133547,0.0102992991064307,328.16328,328.16328,327.797002912434,0.202997087565848,1.6,0.4,0.133333333333333,5,66,4.4,0.333333333333333,0.208333333333333,0.833333333333333,-0.285714285714286,0,-0.40000000000000036
327.1601,20,24,4,0,0,0,0,CHO,Lignin,328.16742646688,0.0999243597412176,328.16732,328.16732,327.800991786775,0.199008213224545,1.2,0.2,0,9,96,4.8,0.45,0.375,2.25,0.3125,0.3125,-0.7999999999999998
327.1925,16,28,5,2,0,0,0,CHON,Protein,328.19978646688,0.108326761721765,328.19965,328.19965,327.83331565331,0.166684346689578,1.75,0.3125,0.125,4,76,4.75,0.25,0.142857142857143,0.8,-0.222222222222222,0,-0.75
329.1718,15,26,6,2,0,0,0,CHON,Protein,330.179067895451,0.0565818683450211,330.17892,330.17892,329.810386998556,0.189613001443831,1.73333333333333,0.4,0.133333333333333,4,68,4.53333333333333,0.266666666666667,0.153846153846154,0.666666666666667,-0.428571428571429,0,-0.5333333333333332
332.1252,16,19,5,3,0,0,0,CHON,Lignin,333.13247446688,-0.0111993884775905,333.13234,333.13234,332.760495769823,0.239504230176976,1.1875,0.3125,0.1875,9,64,4,0.5625,0.473684210526316,1.8,0.3125,0.3125,0
333.2071,20,30,4,0,0,0,0,CHO,Lipid,334.21439834188,0.0332406984017852,334.21424,334.21424,333.841211558959,0.158788441041281,1.5,0.2,0,6,102,5.1,0.3,0.2,1.5,0.125,0.125,-1.0999999999999996
333.2283,17,34,6,0,0,0,0,CHO,Protein,334.23557646688,-0.112623797989893,334.23534,334.23534,333.862366036275,0.137633963724852,2,0.352941176470588,0,1,90,5.29411764705882,0.0588235294117647,0.0294117647058824,0.166666666666667,-0.454545454545455,0,-1.2941176470588234
335.117,14,24,7,0,1,0,0,CHOS,Protein,336.124293133547,-0.0574741160131614,336.12412,336.12412,335.748973745039,0.251026254960891,1.71428571428571,0.5,0,3,68,4.85714285714286,0.214285714285714,0.125,0.428571428571429,-0.833333333333333,0,-0.5714285714285712
335.1898,16,32,5,0,1,0,0,CHOS,Protein,336.197050752594,-0.0176232784915168,336.19686,336.19686,335.821650122279,0.178349877721246,2,0.3125,0,1,88,5.5,0.0625,0.03125,0.2,-0.5,0,-1.25
335.2075,16,32,7,0,0,0,0,CHO,Protein,336.21478346688,0.0592330289563483,336.21461,336.21461,335.839363036058,0.160636963942466,2,0.4375,0,1,82,5.125,0.0625,0.03125,0.142857142857143,-0.666666666666667,0,-1.125
335.2228,20,32,4,0,0,0,0,CHO,Lipid,336.230054648698,0.0144749161884506,336.22988,336.22988,335.854617165937,0.145382834062502,1.6,0.2,0,5,104,5.2,0.25,0.15625,1.25,0.0625,0.0625,-1.2000000000000002
336.1565,16,23,5,3,0,0,0,CHON,Lignin,337.16379046688,-0.0581393392440793,337.16362,337.16362,336.787310366363,0.212689633636671,1.4375,0.3125,0.1875,7,68,4.25,0.4375,0.304347826086957,1.4,0.0625,0.0625,-0.25
337.0963,13,22,8,0,1,0,0,CHOS,AminoSugar,338.10354646688,-0.0239390568274665,338.10339,338.10339,337.726017026418,0.273982973581667,1.69230769230769,0.615384615384615,0,3,60,4.61538461538461,0.230769230769231,0.136363636363636,0.375,-1.5,0,-0.3076923076923075
337.1504,14,26,9,0,0,0,0,CHO,AminoSugar,338.157693133547,-0.0316421802732165,338.15751,338.15751,337.780103232434,0.219896767566411,1.85714285714286,0.642857142857143,0,2,64,4.57142857142857,0.142857142857143,0.0769230769230769,0.222222222222222,-1.4,0,-0.5714285714285712
337.169,15,30,6,0,1,0,0,CHOS,Protein,338.176322830516,-0.0397571191558484,338.17613,338.17613,337.798712127317,0.201287872683451,2,0.4,0,1,80,5.33333333333333,0.0666666666666667,0.0333333333333333,0.166666666666667,-0.75,0,-1.0666666666666664
337.2385,20,34,4,0,0,0,0,CHO,Lipid,338.24572646688,-0.049925479237577,338.24552,338.24552,337.86803826696,0.131961733039873,1.7,0.2,0,4,106,5.3,0.2,0.117647058823529,1,0,0,-1.2999999999999998
338.1092,12,21,10,1,0,0,0,CHON,Carb,339.11652646688,0.0573060247241044,339.11639,339.11639,338.737865923901,0.262134076099244,1.75,0.833333333333333,0.0833333333333333,3,46,3.83333333333333,0.25,0.142857142857143,0.3,-7.5,0,0.16666666666666652
338.1357,15,21,6,3,0,0,0,CHON,Lignin,339.14302646688,0.026406027129312,339.14289,339.14289,338.764336333764,0.235663666236007,1.4,0.4,0.2,7,60,4,0.466666666666667,0.333333333333333,1.16666666666667,-0.0833333333333333,0,0
339.1119,13,24,8,0,1,0,0,CHOS,AminoSugar,340.11919896688,-0.0309587932725483,340.11903,340.11903,339.73941883083,0.260581169170223,1.84615384615385,0.615384615384615,0,2,62,4.76923076923077,0.153846153846154,0.0833333333333333,0.25,-1.75,0,-0.4615384615384617
339.1483,14,28,7,0,1,0,0,CHOS,Protein,340.155589800213,-0.046616059683352,340.1554,340.1554,339.775769029833,0.224230970166786,2,0.5,0,1,72,5.14285714285714,0.0714285714285714,0.0357142857142857,0.142857142857143,-1.16666666666667,0,-0.8571428571428568
339.1636,18,28,4,0,1,0,0,CHOS,Lipid,340.170838689102,-0.0253164035174598,340.17067,340.17067,339.791000891677,0.208999108323326,1.55555555555556,0.222222222222222,0,5,94,5.22222222222222,0.277777777777778,0.178571428571429,1.25,0,0,-1
339.1661,14,28,9,0,0,0,0,CHO,AminoSugar,340.17334646688,-0.0410648868279217,340.17315,340.17315,339.793505869248,0.206494130752446,2,0.642857142857143,0,1,66,4.71428571428571,0.0714285714285714,0.0357142857142857,0.111111111111111,-1.6,0,-0.7142857142857144
339.1847,15,32,6,0,1,0,0,CHOS,Protein,340.19195646688,0.00876834360554299,340.19177,340.19177,339.812095089155,0.187904910844679,2.13333333333333,0.4,0,0,82,5.46666666666667,0,0,0,-0.875,0,-1.2000000000000002
339.2541,20,36,4,0,0,0,0,CHO,Lipid,340.261359800213,-4.59097898438808e-4,340.26116,340.26116,339.881420926106,0.118579073893727,1.8,0.2,0,3,108,5.4,0.15,0.0833333333333333,0.75,-0.0625,0,-1.4000000000000004
341.1276,13,26,8,0,1,0,0,CHOS,AminoSugar,342.134869800213,-0.0914809219658076,342.13467,342.13467,341.752838948103,0.247161051896853,2,0.615384615384615,0,1,64,4.92307692307692,0.0769230769230769,0.0384615384615385,0.125,-2,0,-0.615384615384615
341.1354,15,22,7,2,0,0,0,CHON,Lignin,342.14272646688,-0.0742251055824073,342.14255000000003,342.14255000000003,341.760686841946,0.239313158054074,1.46666666666667,0.466666666666667,0.133333333333333,6,62,4.13333333333333,0.4,0.272727272727273,0.857142857142857,-0.333333333333333,0,-0.13333333333333375
341.176,21,26,4,0,0,0,0,CHO,Lignin,342.18325646688,-0.430014844982986,342.18296,342.18296,341.801171585786,0.19882841421412,1.23809523809524,0.19047619047619,0,9,102,4.85714285714286,0.428571428571429,0.346153846153846,2.25,0.294117647058824,0.294117647058824,-0.8571428571428568
341.2334,19,34,5,0,0,0,0,CHO,Lipid,342.240631082265,-0.0201038802131525,342.24043,342.24043,341.858482136163,0.141517863837237,1.78947368421053,0.263157894736842,0,3,100,5.26315789473684,0.157894736842105,0.0882352941176471,0.6,-0.142857142857143,0,-1.2631578947368425
341.2697,20,38,4,0,0,0,0,CHO,Lipid,342.277003133547,0.0192085746190446,342.2768,342.2768,341.894813574087,0.105186425912621,1.9,0.2,0,2,110,5.5,0.1,0.0526315789473684,0.5,-0.125,0,-1.5
342.2035,16,29,5,3,0,0,0,CHON,Protein,343.21073771688,-0.0485412551074254,343.21054,343.21054,342.827505541043,0.172494458956976,1.8125,0.3125,0.1875,4,74,4.625,0.25,0.137931034482759,0.8,-0.3125,0,-0.625
343.1585,17,28,5,0,1,0,0,CHOS,Lipid,344.16577396688,-0.0850391937041948,344.16558,344.16558,343.78147538903397,0.21852461096563,1.64705882352941,0.294117647058824,0,4,88,5.17647058823529,0.235294117647059,0.142857142857143,0.8,-0.181818181818182,0,-0.9411764705882355
343.1915,21,28,4,0,0,0,0,CHO,Lignin,344.19877046688,-0.0321897723488576,344.1986,344.1986,343.814435044848,0.185564955152302,1.33333333333333,0.19047619047619,0,8,104,4.95238095238095,0.380952380952381,0.285714285714286,2,0.235294117647059,0.235294117647059,-0.9523809523809526
343.249,19,36,5,0,0,0,0,CHO,Lipid,344.25627896688,-0.0136548854042957,344.25607,344.25607,343.871879330343,0.128120669657108,1.89473684210526,0.263157894736842,0,2,102,5.36842105263158,0.105263157894737,0.0555555555555556,0.4,-0.214285714285714,0,-1.3684210526315788
345.1093,17,18,6,2,0,0,0,CHON,Lignin,346.11654396688,-0.166551067840106,346.11636,346.11636,345.730067141825,0.269932858175025,1.05882352941176,0.352941176470588,0.117647058823529,10,68,4,0.588235294117647,0.555555555555556,1.66666666666667,0.333333333333333,0.333333333333333,0
346.1984,15,29,6,3,0,0,0,CHON,Protein,347.205663133547,-0.0790725774658785,347.20545,347.20545,346.817970188301,0.182029811699238,1.93333333333333,0.4,0.2,3,68,4.53333333333333,0.2,0.103448275862069,0.5,-0.75,0,-0.5333333333333332
347.117,15,24,7,0,1,0,0,CHOS,Protein,348.12427646688,-0.00761733717833444,348.12412,348.12412,347.735557789779,0.264442210220693,1.6,0.466666666666667,0,4,72,4.8,0.266666666666667,0.166666666666667,0.571428571428571,-0.571428571428571,0,-0.5333333333333332
347.146,14,24,8,2,0,0,0,CHON,AminoSugar,348.15330646688,-0.116929178082585,348.1531,348.1531,347.764555374622,0.235444625378079,1.71428571428571,0.571428571428571,0.142857142857143,4,58,4.14285714285714,0.285714285714286,0.166666666666667,0.5,-1.25,0,-0.14285714285714324
347.2228,21,32,4,0,0,0,0,CHO,Lipid,348.23009646688,-0.106111678328835,348.22988,348.22988,347.841259630222,0.158740369778059,1.52380952380952,0.19047619047619,0,6,108,5.14285714285714,0.285714285714286,0.1875,1.5,0.117647058823529,0.117647058823529,-1.1428571428571432
