"Forest","Treatment","Mass","presence","HC","OC"
"HW","PostFenton",357.1038,1,1.83,1
"HW","PostFenton",357.1191,1,1.38,0.56
"HW","PostFenton",357.1303,1,1.47,0.53
"HW","PostFenton",357.1344,1,1.1,0.3
"HW","PostFenton",357.1416,1,1.57,0.5
"HW","PostFenton",357.1555,1,1.53,0.47
"HW","PostFenton",357.1707,1,1.24,0.24
"HW","PostFenton",357.1919,1,1.67,0.39
"HW","PostFenton",357.2143,1,1.88,0.31
"HW","PostFenton",358.1256,1,1.5,0.57
"HW","PostFenton",358.162,1,1.67,0.47
"HW","PostFenton",358.1984,1,1.81,0.38
"HW","PostFenton",359.0256,1,0.92,0.92
"HW","PostFenton",359.0409,1,0.71,0.53
"HW","PostFenton",359.062,1,1.14,0.79
"HW","PostFenton",359.0772,1,0.89,0.44
"HW","PostFenton",359.0984,1,1.33,0.67
"HW","PostFenton",359.1096,1,1.43,0.64
"HW","PostFenton",359.1136,1,1.05,0.37
"HW","PostFenton",359.1348,1,1.5,0.56
"HW","PostFenton",359.146,1,1.6,0.53
"HW","PostFenton",359.15,1,1.2,0.3
"HW","PostFenton",359.1572,1,1.71,0.5
"HW","PostFenton",359.1711,1,1.65,0.47
"HW","PostFenton",359.2075,1,1.78,0.39
"HW","PostFenton",360.0936,1,1.36,0.71
"HW","PostFenton",360.1412,1,1.64,0.57
"HW","PostFenton",360.1776,1,1.8,0.47
"HW","PostFenton",361.0201,1,0.62,0.62
"HW","PostFenton",361.0412,1,1.08,0.92
"HW","PostFenton",361.0565,1,0.82,0.53
"HW","PostFenton",361.0776,1,1.29,0.79
"HW","PostFenton",361.0929,1,1,0.44
"HW","PostFenton",361.114,1,1.47,0.67
"HW","PostFenton",361.1253,1,1.57,0.64
"HW","PostFenton",361.1293,1,1.16,0.37
"HW","PostFenton",361.1504,1,1.62,0.56
"HW","PostFenton",361.1657,1,1.3,0.3
"HW","PostFenton",361.1868,1,1.76,0.47
"HW","PostFenton",362.1093,1,1.5,0.71
"HW","PostFenton",362.1933,1,1.93,0.47
"HW","PostFenton",363.0358,1,0.75,0.62
"HW","PostFenton",363.0569,1,1.23,0.92
"HW","PostFenton",363.0722,1,0.94,0.53
"HW","PostFenton",363.0933,1,1.43,0.79
"HW","PostFenton",363.1085,1,1.11,0.44
"HW","PostFenton",363.1297,1,1.6,0.67
"HW","PostFenton",363.1449,1,1.26,0.37
"HW","PostFenton",363.1661,1,1.75,0.56
"HW","PostFenton",363.1813,1,1.4,0.3
"HW","PostFenton",363.2211,1,2,0.28
"HW","PostFenton",364.0885,1,1.46,0.85
"HW","PostFenton",364.1249,1,1.64,0.71
"HW","PostFenton",365.015,1,0.67,0.73
"HW","PostFenton",365.0514,1,0.88,0.62
"HW","PostFenton",365.0725,1,1.38,0.92
"HW","PostFenton",365.0878,1,1.06,0.53
"HW","PostFenton",365.1089,1,1.57,0.79
"HW","PostFenton",365.1242,1,1.22,0.44
"HW","PostFenton",365.1453,1,1.73,0.67
"HW","PostFenton",365.1606,1,1.37,0.37
"HW","PostFenton",365.197,1,1.5,0.3
"HW","PostFenton",365.2367,1,2.11,0.28
"HW","PostFenton",366.1042,1,1.62,0.85
"HW","PostFenton",367.0307,1,0.8,0.73
"HW","PostFenton",367.0518,1,1.33,1.08
"HW","PostFenton",367.0671,1,1,0.62
"HW","PostFenton",367.0882,1,1.54,0.92
"HW","PostFenton",367.1035,1,1.18,0.53
"HW","PostFenton",367.1246,1,1.71,0.79
"HW","PostFenton",367.1398,1,1.33,0.44
"HW","PostFenton",367.161,1,1.87,0.67
"HW","PostFenton",367.1762,1,1.47,0.37
"HW","PostFenton",367.2126,1,1.6,0.3
"HW","PostFenton",367.3582,1,2,0.08
"HW","PostFenton",368.0623,1,1,0.67
"HW","PostFenton",368.0987,1,1.19,0.56
"HW","PostFenton",368.1198,1,1.77,0.85
"HW","PostFenton",368.1463,1,1.44,0.44
"HW","PostFenton",369.0099,1,0.71,0.86
"HW","PostFenton",369.0463,1,0.93,0.73
"HW","PostFenton",369.0616,1,0.74,0.42
"HW","PostFenton",369.0675,1,1.5,1.08
"HW","PostFenton",369.0827,1,1.12,0.62
"HW","PostFenton",369.094,1,1.2,0.6
"HW","PostFenton",369.098,1,0.9,0.35
"HW","PostFenton",369.1038,1,1.69,0.92
"HW","PostFenton",369.1191,1,1.29,0.53
"HW","PostFenton",369.1344,1,1.05,0.29
"HW","PostFenton",369.1402,1,1.86,0.79
"HW","PostFenton",369.1416,1,1.47,0.47
"HW","PostFenton",369.1555,1,1.44,0.44
"HW","PostFenton",369.178,1,1.62,0.38
"HW","PostFenton",369.1919,1,1.58,0.37
"HW","PostFenton",369.301,1,1.91,0.18
"HW","PostFenton",370.078,1,1.13,0.67
"HW","PostFenton",370.1144,1,1.31,0.56
"HW","PostFenton",370.1256,1,1.4,0.53
"HW","PostFenton",370.162,1,1.56,0.44
"HW","PostFenton",371.0256,1,0.86,0.86
"HW","PostFenton",371.0409,1,0.67,0.5
"HW","PostFenton",371.062,1,1.07,0.73
"HW","PostFenton",371.0772,1,0.84,0.42
"HW","PostFenton",371.0831,1,1.67,1.08
"HW","PostFenton",371.0984,1,1.25,0.62
"HW","PostFenton",371.1096,1,1.33,0.6
"HW","PostFenton",371.1136,1,1,0.35
"HW","PostFenton",371.1195,1,1.85,0.92
"HW","PostFenton",371.1348,1,1.41,0.53
"HW","PostFenton",371.15,1,1.14,0.29
"HW","PostFenton",371.1572,1,1.6,0.47
"HW","PostFenton",371.1711,1,1.56,0.44
"HW","PostFenton",371.1936,1,1.75,0.38
"HW","PostFenton",371.2075,1,1.68,0.37
"HW","PostFenton",372.0936,1,1.27,0.67
"HW","PostFenton",372.1049,1,1.36,0.64
"HW","PostFenton",372.1412,1,1.53,0.53
"HW","PostFenton",372.1776,1,1.69,0.44
"HW","PostFenton",372.214,1,1.82,0.35
"HW","PostFenton",373.0201,1,0.59,0.59
"HW","PostFenton",373.0412,1,1,0.86
"HW","PostFenton",373.0446,1,1.64,1.09
"HW","PostFenton",373.0565,1,0.78,0.5
"HW","PostFenton",373.0776,1,1.2,0.73
"HW","PostFenton",373.0889,1,1.29,0.71
"HW","PostFenton",373.0929,1,0.95,0.42
"HW","PostFenton",373.114,1,1.38,0.62
"HW","PostFenton",373.1253,1,1.47,0.6
"HW","PostFenton",373.1293,1,1.1,0.35
"HW","PostFenton",373.1365,1,1.57,0.57
"HW","PostFenton",373.1504,1,1.53,0.53
"HW","PostFenton",373.1657,1,1.24,0.29
"HW","PostFenton",373.1729,1,1.73,0.47
"HW","PostFenton",373.1868,1,1.67,0.44
"HW","PostFenton",373.2093,1,1.88,0.38
"HW","PostFenton",373.2232,1,1.79,0.37
"HW","PostFenton",374.1093,1,1.4,0.67
"HW","PostFenton",374.1205,1,1.5,0.64
"HW","PostFenton",374.1569,1,1.67,0.53
"HW","PostFenton",374.1933,1,1.81,0.44
"HW","PostFenton",374.2449,1,1.57,0.14
"HW","PostFenton",375.0358,1,0.71,0.59
"HW","PostFenton",375.0569,1,1.14,0.86
"HW","PostFenton",375.0603,1,1.82,1.09
"HW","PostFenton",375.0722,1,0.89,0.5
"HW","PostFenton",375.0933,1,1.33,0.73
"HW","PostFenton",375.1045,1,1.43,0.71
"HW","PostFenton",375.1085,1,1.05,0.42
"HW","PostFenton",375.1297,1,1.5,0.62
"HW","PostFenton",375.1409,1,1.6,0.6
"HW","PostFenton",375.1449,1,1.2,0.35
"HW","PostFenton",375.1661,1,1.65,0.53
"HW","PostFenton",375.1813,1,1.33,0.29
"HW","PostFenton",375.1885,1,1.87,0.47
"HW","PostFenton",375.2024,1,1.78,0.44
"HW","PostFenton",376.0885,1,1.36,0.79
"HW","PostFenton",376.1249,1,1.53,0.67
"HW","PostFenton",376.1362,1,1.64,0.64
"HW","PostFenton",376.1725,1,1.8,0.53
"HW","PostFenton",377.015,1,0.62,0.69
"HW","PostFenton",377.0514,1,0.82,0.59
"HW","PostFenton",377.0725,1,1.29,0.86
"HW","PostFenton",377.0878,1,1,0.5
"HW","PostFenton",377.1089,1,1.47,0.73
"HW","PostFenton",377.1202,1,1.57,0.71
"HW","PostFenton",377.1242,1,1.16,0.42
"HW","PostFenton",377.1453,1,1.62,0.62
"HW","PostFenton",377.1606,1,1.3,0.35
"HW","PostFenton",377.1817,1,1.76,0.53
"HW","PostFenton",377.197,1,1.43,0.29
"HW","PostFenton",378.0831,1,1,0.53
"HW","PostFenton",378.1042,1,1.5,0.79
"HW","PostFenton",379.0307,1,0.75,0.69
"HW","PostFenton",379.0518,1,1.23,1
"HW","PostFenton",379.0671,1,0.94,0.59
"HW","PostFenton",379.0882,1,1.43,0.86
"HW","PostFenton",379.1035,1,1.11,0.5
"HW","PostFenton",379.1246,1,1.6,0.73
"HW","PostFenton",379.1398,1,1.26,0.42
"HW","PostFenton",379.161,1,1.75,0.62
"HW","PostFenton",379.1762,1,1.4,0.35
"HW","PostFenton",379.2126,1,1.52,0.29
"HW","PostFenton",380.0623,1,0.94,0.62
"HW","PostFenton",380.0834,1,1.46,0.92
"HW","PostFenton",380.1198,1,1.64,0.79
"HW","PostFenton",380.1562,1,1.8,0.67
"HW","PostFenton",381.0099,1,0.67,0.8
"HW","PostFenton",381.0463,1,0.88,0.69
"HW","PostFenton",381.0675,1,1.38,1
"HW","PostFenton",381.0827,1,1.06,0.59
"HW","PostFenton",381.1038,1,1.57,0.86
"HW","PostFenton",381.1191,1,1.22,0.5
"HW","PostFenton",381.1402,1,1.73,0.73
"HW","PostFenton",381.1555,1,1.37,0.42
"HW","PostFenton",381.1919,1,1.5,0.35
"HW","PostFenton",381.2316,1,2.11,0.33
"HW","PostFenton",381.3738,1,2,0.08
"HW","PostFenton",382.078,1,1.06,0.62
"HW","PostFenton",382.0991,1,1.62,0.92
"HW","PostFenton",382.1256,1,1.31,0.5
"HW","PostFenton",382.1355,1,1.79,0.79
"HW","PostFenton",383.0256,1,0.8,0.8
"HW","PostFenton",383.062,1,1,0.69
"HW","PostFenton",383.0831,1,1.54,1
"HW","PostFenton",383.0984,1,1.18,0.59
"HW","PostFenton",383.1195,1,1.71,0.86
"HW","PostFenton",383.1348,1,1.33,0.5
"HW","PostFenton",383.1572,1,1.5,0.44
"HW","PostFenton",383.1711,1,1.47,0.42
"HW","PostFenton",383.1936,1,1.65,0.35
"HW","PostFenton",383.2075,1,1.6,0.35
"HW","PostFenton",384.0936,1,1.19,0.62
"HW","PostFenton",384.1412,1,1.44,0.5
"HW","PostFenton",384.1525,1,1.53,0.47
"HW","PostFenton",384.1776,1,1.59,0.41
"HW","PostFenton",385.0412,1,0.93,0.8
"HW","PostFenton",385.0565,1,0.74,0.47
"HW","PostFenton",385.0776,1,1.12,0.69
"HW","PostFenton",385.0929,1,0.9,0.4
"HW","PostFenton",385.0988,1,1.69,1
"HW","PostFenton",385.114,1,1.29,0.59
"HW","PostFenton",385.1253,1,1.38,0.56
"HW","PostFenton",385.1293,1,1.05,0.33
"HW","PostFenton",385.1351,1,1.86,0.86
"HW","PostFenton",385.1365,1,1.47,0.53
"HW","PostFenton",385.1504,1,1.44,0.5
"HW","PostFenton",385.1657,1,1.18,0.27
"HW","PostFenton",385.1729,1,1.62,0.44
"HW","PostFenton",385.1868,1,1.58,0.42
"HW","PostFenton",385.2093,1,1.76,0.35
"HW","PostFenton",385.2232,1,1.7,0.35
"HW","PostFenton",386.0729,1,1.13,0.73
"HW","PostFenton",386.1093,1,1.31,0.62
"HW","PostFenton",386.1205,1,1.4,0.6
"HW","PostFenton",386.1569,1,1.56,0.5
"HW","PostFenton",386.1933,1,1.71,0.41
"HW","PostFenton",387.0205,1,0.86,0.93
"HW","PostFenton",387.0358,1,0.67,0.56
"HW","PostFenton",387.0569,1,1.07,0.8
"HW","PostFenton",387.0603,1,1.67,1
"HW","PostFenton",387.0722,1,0.84,0.47
"HW","PostFenton",387.0933,1,1.25,0.69
"HW","PostFenton",387.1085,1,1,0.4
"HW","PostFenton",387.1144,1,1.85,1
"HW","PostFenton",387.1297,1,1.41,0.59
"HW","PostFenton",387.1409,1,1.5,0.56
"HW","PostFenton",387.1449,1,1.14,0.33
"HW","PostFenton",387.1521,1,1.6,0.53
"HW","PostFenton",387.1661,1,1.56,0.5
"HW","PostFenton",387.1813,1,1.27,0.27
"HW","PostFenton",387.1885,1,1.75,0.44
"HW","PostFenton",387.2024,1,1.68,0.42
"HW","PostFenton",387.2249,1,1.88,0.35
"HW","PostFenton",388.0885,1,1.27,0.73
"HW","PostFenton",388.1362,1,1.53,0.6
"HW","PostFenton",388.1725,1,1.69,0.5
"HW","PostFenton",389.015,1,0.59,0.65
"HW","PostFenton",389.0362,1,1,0.93
"HW","PostFenton",389.0395,1,1.64,1.18
"HW","PostFenton",389.0514,1,0.78,0.56
"HW","PostFenton",389.0725,1,1.2,0.8
"HW","PostFenton",389.0759,1,1.83,1
"HW","PostFenton",389.0878,1,0.95,0.47
"HW","PostFenton",389.1089,1,1.38,0.69
"HW","PostFenton",389.1202,1,1.47,0.67
"HW","PostFenton",389.1242,1,1.1,0.4
"HW","PostFenton",389.1453,1,1.53,0.59
"HW","PostFenton",389.1606,1,1.24,0.33
"HW","PostFenton",389.1678,1,1.73,0.53
"HW","PostFenton",389.1817,1,1.67,0.5
"HW","PostFenton",389.197,1,1.36,0.27
"HW","PostFenton",389.2042,1,1.88,0.44
"HW","PostFenton",389.2181,1,1.79,0.42
"HW","PostFenton",390.1042,1,1.4,0.73
"HW","PostFenton",390.1518,1,1.67,0.6
"HW","PostFenton",390.1882,1,1.81,0.5
"HW","PostFenton",391.0307,1,0.71,0.65
"HW","PostFenton",391.0518,1,1.14,0.93
"HW","PostFenton",391.0552,1,1.82,1.18
"HW","PostFenton",391.0671,1,0.89,0.56
"HW","PostFenton",391.0882,1,1.33,0.8
"HW","PostFenton",391.1035,1,1.05,0.47
"HW","PostFenton",391.1246,1,1.5,0.69
"HW","PostFenton",391.1358,1,1.6,0.67
"HW","PostFenton",391.1398,1,1.2,0.4
"HW","PostFenton",391.161,1,1.65,0.59
"HW","PostFenton",391.1762,1,1.33,0.33
"HW","PostFenton",391.1974,1,1.78,0.5
"HW","PostFenton",391.2126,1,1.45,0.27
"HW","PostFenton",392.0834,1,1.36,0.86
"HW","PostFenton",392.1198,1,1.53,0.73
"HW","PostFenton",393.0099,1,0.62,0.75
"HW","PostFenton",393.0463,1,0.82,0.65
"HW","PostFenton",393.0675,1,1.29,0.93
"HW","PostFenton",393.0827,1,1,0.56
"HW","PostFenton",393.1038,1,1.47,0.8
"HW","PostFenton",393.1151,1,1.57,0.79
"HW","PostFenton",393.1191,1,1.16,0.47
"HW","PostFenton",393.1402,1,1.62,0.69
"HW","PostFenton",393.1555,1,1.3,0.4
"HW","PostFenton",393.1766,1,1.76,0.59
"HW","PostFenton",393.1919,1,1.43,0.33
"HW","PostFenton",394.078,1,1,0.59
"HW","PostFenton",394.0991,1,1.5,0.86
"HW","PostFenton",394.1355,1,1.67,0.73
"HW","PostFenton",395.0256,1,0.75,0.75
"HW","PostFenton",395.062,1,0.94,0.65
"HW","PostFenton",395.0831,1,1.43,0.93
"HW","PostFenton",395.0984,1,1.11,0.56
"HW","PostFenton",395.1195,1,1.6,0.8
"HW","PostFenton",395.1348,1,1.26,0.47
"HW","PostFenton",395.1559,1,1.75,0.69
"HW","PostFenton",395.1711,1,1.4,0.4
"HW","PostFenton",395.1923,1,1.88,0.59
"HW","PostFenton",395.2075,1,1.52,0.33
"HW","PostFenton",395.2473,1,2.11,0.32
"HW","PostFenton",395.3895,1,2,0.08
"HW","PostFenton",396.0572,1,0.94,0.69
"HW","PostFenton",396.0936,1,1.12,0.59
"HW","PostFenton",396.1147,1,1.64,0.86
"HW","PostFenton",396.1511,1,1.8,0.73
"HW","PostFenton",397.0049,1,0.67,0.87
"HW","PostFenton",397.0412,1,0.88,0.75
"HW","PostFenton",397.0565,1,0.7,0.45
"HW","PostFenton",397.0624,1,1.38,1.08
"HW","PostFenton",397.0776,1,1.06,0.65
"HW","PostFenton",397.0929,1,0.86,0.38
"HW","PostFenton",397.0988,1,1.57,0.93
"HW","PostFenton",397.114,1,1.22,0.56
"HW","PostFenton",397.1351,1,1.73,0.8
"HW","PostFenton",397.1504,1,1.37,0.47
"HW","PostFenton",397.1729,1,1.53,0.41
"HW","PostFenton",397.1868,1,1.5,0.4
"HW","PostFenton",397.2232,1,1.62,0.33
"HW","PostFenton",397.2265,1,2.11,0.39
"HW","PostFenton",397.3323,1,1.92,0.17
"HW","PostFenton",398.0729,1,1.06,0.69
"HW","PostFenton",398.1093,1,1.24,0.59
"HW","PostFenton",398.1205,1,1.31,0.56
"HW","PostFenton",398.1304,1,1.79,0.86
"HW","PostFenton",398.1569,1,1.47,0.47
"HW","PostFenton",399.0205,1,0.8,0.87
"HW","PostFenton",399.0358,1,0.63,0.53
"HW","PostFenton",399.0569,1,1,0.75
"HW","PostFenton",399.0722,1,0.8,0.45
"HW","PostFenton",399.078,1,1.54,1.08
"HW","PostFenton",399.0933,1,1.18,0.65
"HW","PostFenton",399.1085,1,0.95,0.38
"HW","PostFenton",399.1144,1,1.71,0.93
"HW","PostFenton",399.1297,1,1.33,0.56
"HW","PostFenton",399.1449,1,1.09,0.32
"HW","PostFenton",399.1521,1,1.5,0.5
"HW","PostFenton",399.1661,1,1.47,0.47
"HW","PostFenton",399.1813,1,1.22,0.26
"HW","PostFenton",399.1885,1,1.65,0.41
"HW","PostFenton",399.2024,1,1.6,0.4
"HW","PostFenton",399.2388,1,1.71,0.33
"HW","PostFenton",400.0885,1,1.19,0.69
"HW","PostFenton",400.1362,1,1.44,0.56
"HW","PostFenton",400.1725,1,1.59,0.47
"HW","PostFenton",401.0362,1,0.93,0.87
"HW","PostFenton",401.0514,1,0.74,0.53
"HW","PostFenton",401.0725,1,1.12,0.75
"HW","PostFenton",401.0759,1,1.69,0.92
"HW","PostFenton",401.0878,1,0.9,0.45
"HW","PostFenton",401.1089,1,1.29,0.65
"HW","PostFenton",401.1202,1,1.38,0.62
"HW","PostFenton",401.1242,1,1.05,0.38
"HW","PostFenton",401.1314,1,1.47,0.6
"HW","PostFenton",401.1453,1,1.44,0.56
"HW","PostFenton",401.1606,1,1.18,0.32
