"Mass","Forest","fenton","adsorbed","HC","OC","Class"
333.1344,"HW","PreFenton","unbound",1.22,0.33,"Lignin-like"
333.1456,"HW","PreFenton","new",1.29,0.29,"Lignin-like"
333.1555,"HW","PostFenton","unbound",1.73,0.53,"Aliphatic-noN"
333.1555,"HW","PreFenton","new",1.73,0.53,"Aliphatic-noN"
333.1707,"HW","PostFenton","new",1.37,0.26,"Lignin-like"
333.1707,"HW","PreFenton","unbound",1.37,0.26,"Lignin-like"
333.1919,"HW","PostFenton","new",1.88,0.44,"Aliphatic-noN"
333.1919,"HW","PreFenton","new",1.88,0.44,"Aliphatic-noN"
333.2071,"HW","PostFenton","new",1.5,0.2,"Aliphatic-noN"
333.2071,"HW","PreFenton","new",1.5,0.2,"Aliphatic-noN"
333.2469,"HW","PostFenton","new",2.11,0.17,"Aliphatic-noN"
333.2469,"HW","PreFenton","new",2.11,0.17,"Aliphatic-noN"
334.1772,"HW","PreFenton","unbound",1.47,0.24,"Lignin-like"
335.0409,"HW","PostFenton","sorbed",0.8,0.6,"Aromatic"
335.0409,"HW","PreFenton","unbound",0.8,0.6,"Aromatic"
335.062,"HW","PostFenton","unbound",1.33,0.92,"Lignin-like"
335.0772,"HW","PostFenton","unbound",1,0.5,"Lignin-like"
335.0772,"HW","PreFenton","unbound",1,0.5,"Lignin-like"
335.0984,"HW","PostFenton","unbound",1.54,0.77,"Carbohydrate-like"
335.1136,"HW","PostFenton","unbound",1.18,0.41,"Lignin-like"
335.1136,"HW","PreFenton","unbound",1.18,0.41,"Lignin-like"
335.1348,"HW","PostFenton","unbound",1.71,0.64,"Carbohydrate-like"
335.15,"HW","PostFenton","unbound",1.33,0.33,"Lignin-like"
335.15,"HW","PreFenton","unbound",1.33,0.33,"Lignin-like"
335.1711,"HW","PreFenton","unbound",1.87,0.53,"Aliphatic-noN"
335.1864,"HW","PostFenton","new",1.47,0.26,"Lignin-like"
335.1864,"HW","PreFenton","unbound",1.47,0.26,"Lignin-like"
335.1898,"HW","PreFenton","new",2,0.31,"Aliphatic-noN"
336.0936,"HW","PostFenton","sorbed",1.58,0.83,"Carbohydrate-like"
336.1565,"HW","PreFenton","new",1.44,0.31,"Lignin-like"
336.3272,"HW","PostFenton","unbound",1.95,0.05,"Aliphatic+N"
337.0201,"HW","PostFenton","sorbed",0.71,0.71,"Aromatic"
337.0201,"HW","PreFenton","sorbed",0.71,0.71,"Aromatic"
337.0565,"HW","PostFenton","unbound",0.93,0.6,"Lignin-like"
337.0565,"HW","PreFenton","unbound",0.93,0.6,"Lignin-like"
