soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,357.0827,Tannin,7607476,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.098,Lignin,5265593,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.1191,Lignin,8742081,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.1344,Lignin,4085959,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.1555,Protein,8635599,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.1919,Protein,12920029,HW,PreFenton,PreFenton,PreGoethite
Soil_1,357.2283,Protein,6129899,HW,PreFenton,PreFenton,PreGoethite
Soil_1,358.1256,AminoSugar,1840448,HW,PreFenton,PreFenton,PreGoethite
Soil_1,358.162,Protein,3717710,HW,PreFenton,PreFenton,PreGoethite
Soil_1,358.1984,Protein,17399388,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.062,Tannin,4352935,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.0984,Tannin,7702453,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.1136,Lignin,7467963,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.1348,AminoSugar,6364099,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.15,Lignin,7305161,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.1864,Lignin,4906967,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.2075,Protein,17256415,HW,PreFenton,PreFenton,PreGoethite
Soil_1,359.2439,Protein,7874541,HW,PreFenton,PreFenton,PreGoethite
Soil_1,360.1776,Protein,4148564,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.0565,Lignin,11051688,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.0929,Lignin,12319414,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.114,Tannin,5165759,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.1293,Lignin,11481796,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.1504,AminoSugar,6353613,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.1657,Lignin,10220243,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.1868,Protein,3837659,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.202,Lignin,4501217,HW,PreFenton,PreFenton,PreGoethite
Soil_1,361.2232,Protein,14506729,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.0358,ConHC,9405866,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.0722,Lignin,13266360,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.1449,Lignin,13802964,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.1661,AminoSugar,5148124,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.1813,Lignin,11662818,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.2177,Lipid,3663345,HW,PreFenton,PreFenton,PreGoethite
Soil_1,363.2388,Protein,8410617,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.015,ConHC,5465262,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.0514,Lignin,13189309,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.0878,Lignin,15104203,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.1089,Carb,3392723,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.1242,Lignin,14764249,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.1453,AminoSugar,2415841,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.1606,Lignin,16541927,HW,PreFenton,PreFenton,PreGoethite
Soil_1,365.1817,AminoSugar,2077423,HW,PreFenton,PreFenton,PreGoethite
