"C","H","N","O","S","P","Mass","HC","OC","DBE","CRAM","AI_mod","Class","KM","NKM","KMD"
15,20,0,13,1,0,439.0552,1.33,0.87,6,"O",-0.2,"HighUnsatLign",439.15671,439,0.15671
15,21,3,7,0,0,354.1307,1.4,0.47,7,"CRAM",0.235294118,"HighUnsatLign",354.21256,354,0.21256
15,22,0,7,0,0,313.1293,1.47,0.47,5,"O",0.130434783,"HighUnsatLign",313.20168,313,0.20168
15,22,0,8,0,0,329.1242,1.47,0.53,5,"O",0.090909091,"HighUnsatLign",329.2003,329,0.2003
15,22,0,9,0,0,345.1191,1.47,0.6,5,"O",0.047619048,"HighUnsatLign",345.19891,345,0.19891
15,22,0,10,0,0,361.114,1.47,0.67,5,"O",0,"HighUnsatLign",361.19752,361,0.19752
15,22,0,11,0,0,377.1089,1.47,0.73,5,"O",-0.052631579,"HighUnsatLign",377.19614,377,0.19614
15,22,0,12,0,0,393.1038,1.47,0.8,5,"O",-0.111111111,"HighUnsatLign",393.19475,393,0.19475
15,22,0,13,0,0,409.0988,1.47,0.87,5,"O",-0.176470588,"HighUnsatLign",409.19336,409,0.19336
15,22,4,8,0,0,385.1365,1.47,0.53,7,"CRAM",0.142857143,"HighUnsatLign",385.22554,385,0.22554
15,23,3,6,0,0,340.1514,1.53,0.4,6,"CRAM",0.166666667,"Aliphat+N",340.23006,340,0.23006
15,23,3,7,0,0,356.1463,1.53,0.47,6,"CRAM",0.117647059,"Aliphat+N",356.22868,356,0.22868
15,23,3,8,0,0,372.1412,1.53,0.53,6,"O",0.0625,"Aliphat+N",372.22729,372,0.22729
15,23,5,7,0,0,384.1525,1.53,0.47,7,"CRAM",0.153846154,"Aliphat+N",384.2413,384,0.2413
15,24,0,7,0,0,315.1449,1.6,0.47,4,"O",0.043478261,"UnSatAliph_noN",315.2178,315,0.2178
15,24,0,8,0,0,331.1398,1.6,0.53,4,"O",0,"UnSatAliph_noN",331.21641,331,0.21641
15,24,0,9,0,0,347.1348,1.6,0.6,4,"O",-0.047619048,"SatFatAcCarb",347.21502,347,0.21502
15,24,0,11,0,0,379.1246,1.6,0.73,4,"O",-0.157894737,"SatFatAcCarb",379.21225,379,0.21225
15,24,0,12,0,0,395.1195,1.6,0.8,4,"O",-0.222222222,"SatFatAcCarb",395.21086,395,0.21086
15,24,0,13,0,0,411.1144,1.6,0.87,4,"O",-0.294117647,"SatFatAcCarb",411.20948,411,0.20948
15,24,0,14,0,0,427.1093,1.6,0.93,4,"O",-0.375,"SatFatAcCarb",427.20809,427,0.20809
15,24,2,7,0,0,343.1511,1.6,0.47,5,"O",0.052631579,"Aliphat+N",343.23042,343,0.23042
