"","Mass","Forest","PreFenton","PostFenton","loss","Treatment","rel_abund","perc","HC","OC"
"5511",533.1723,"SW",NA,4676663,"gained","PostFenton",0.0559786137776483,"second 25 %",1.79,0.89
"5512",533.2028,"HW",4196563,4150955.33333333,"conserved","PostFenton",0.0481238017402613,"second 25 %",1.26,0.41
"5513",533.2028,"HW",4196563,4150955.33333333,"conserved","PreFenton",0.0517904737129729,"second 25 %",1.26,0.41
"5514",533.2028,"SW",2985415.33333333,2482231.33333333,"conserved","PreFenton",0.0353067310720367,"third 25 %",1.26,0.41
"5515",533.2028,"SW",2985415.33333333,2482231.33333333,"conserved","PostFenton",0.0297117558215,"lowest 25%",1.26,0.41
"5516",533.2392,"HW",5860732.33333333,3947008,"conserved","PreFenton",0.0723282609717215,"second 25 %",1.36,0.36
"5517",533.2392,"HW",5860732.33333333,3947008,"conserved","PostFenton",0.0457593530178255,"second 25 %",1.36,0.36
"5518",533.2392,"SW",4018632,2624908.33333333,"conserved","PreFenton",0.0475259699102105,"second 25 %",1.36,0.36
"5519",533.2392,"SW",4018632,2624908.33333333,"conserved","PostFenton",0.0314195677117203,"lowest 25%",1.36,0.36
"5520",533.2756,"HW",4914554.66666667,2254506.33333333,"conserved","PreFenton",0.0606513268774873,"second 25 %",1.45,0.31
"5521",533.2756,"HW",4914554.66666667,2254506.33333333,"conserved","PostFenton",0.0261374568249984,"lowest 25%",1.45,0.31
"5522",533.2756,"SW",3184072.66666667,NA,"lost","PreFenton",0.0376561331686812,"third 25 %",1.45,0.31
"5523",533.312,"HW",3414735,NA,"lost","PreFenton",0.0421418058669127,"third 25 %",1.53,0.27
"5524",533.312,"SW",2270153,NA,"lost","PreFenton",0.0268477489776556,"lowest 25%",1.53,0.27
"5525",535.0729,"HW",3400157,1928683.33333333,"conserved","PostFenton",0.0223600513375185,"lowest 25%",0.87,0.65
"5526",535.0729,"HW",3400157,1928683.33333333,"conserved","PreFenton",0.0419618963729321,"third 25 %",0.87,0.65
"5527",535.0729,"SW",2722616.33333333,NA,"lost","PreFenton",0.0321987636427141,"third 25 %",0.87,0.65
"5528",535.1093,"HW",3534640.66666667,2320875,"conserved","PreFenton",0.0436215814064522,"third 25 %",1,0.58
"5529",535.1093,"HW",3534640.66666667,2320875,"conserved","PostFenton",0.0269068971826877,"lowest 25%",1,0.58
"5530",535.1093,"SW",3125048.66666667,NA,"lost","PreFenton",0.0369580914350813,"third 25 %",1,0.58
"5531",535.134,"HW",NA,2033301,"gained","PostFenton",0.0235729287223379,"lowest 25%",0.51,0.08
"5532",535.134,"SW",NA,1886958,"gained","PostFenton",0.0225864666957281,"lowest 25%",0.51,0.08
"5533",535.1457,"HW",3634991.33333333,2712384,"conserved","PreFenton",0.0448600254770116,"third 25 %",1.12,0.52
"5534",535.1457,"HW",3634991.33333333,2712384,"conserved","PostFenton",0.0314458285810167,"third 25 %",1.12,0.52
"5535",535.1457,"SW",3329166.33333333,NA,"lost","PreFenton",0.0393720696456121,"third 25 %",1.12,0.52
"5536",535.1516,"SW",NA,2030489,"gained","PostFenton",0.0243045007756093,"lowest 25%",1.78,1
"5537",535.1821,"HW",4343426.66666667,4121749,"conserved","PreFenton",0.0536029423612194,"second 25 %",1.23,0.46
"5538",535.1821,"HW",4343426.66666667,4121749,"conserved","PostFenton",0.0477852002179547,"second 25 %",1.23,0.46
"5539",535.1821,"SW",4202297.66666667,2802414.33333333,"conserved","PreFenton",0.0496980744839905,"second 25 %",1.23,0.46
"5540",535.1821,"SW",4202297.66666667,2802414.33333333,"conserved","PostFenton",0.0335442749692702,"third 25 %",1.23,0.46
"5541",535.2185,"HW",4732204,4956990.66666667,"conserved","PreFenton",0.0584009073297423,"second 25 %",1.33,0.41
"5542",535.2185,"HW",4732204,4956990.66666667,"conserved","PostFenton",0.0574685143334055,"second 25 %",1.33,0.41
"5543",535.2185,"SW",3495738.33333333,2651886.66666667,"conserved","PostFenton",0.0317424923488027,"third 25 %",1.33,0.41
"5544",535.2185,"SW",3495738.33333333,2651886.66666667,"conserved","PreFenton",0.0413420175930439,"second 25 %",1.33,0.41
"5545",535.2549,"HW",4943829.33333333,3185641,"conserved","PostFenton",0.0369324995305453,"third 25 %",1.43,0.36
"5546",535.2549,"HW",4943829.33333333,3185641,"conserved","PreFenton",0.0610126103502853,"second 25 %",1.43,0.36
"5547",535.2549,"SW",3951077.33333333,2465689.66666667,"conserved","PostFenton",0.0295137557582986,"lowest 25%",1.43,0.36
"5548",535.2549,"SW",3951077.33333333,2465689.66666667,"conserved","PreFenton",0.0467270410569852,"second 25 %",1.43,0.36
"5549",535.2913,"HW",3496915.66666667,NA,"lost","PreFenton",0.0431560109811251,"third 25 %",1.52,0.31
"5550",535.2913,"SW",2527547,NA,"lost","PreFenton",0.0298917946875063,"third 25 %",1.52,0.31
"5551",535.3276,"HW",2020988.66666667,NA,"lost","PreFenton",0.0249413532967851,"lowest 25%",1.6,0.27
"5552",537.0886,"HW",3066243,2437411,"conserved","PostFenton",0.0282579489067494,"lowest 25%",0.96,0.65
"5553",537.0886,"HW",3066243,2437411,"conserved","PreFenton",0.0378410088181894,"third 25 %",0.96,0.65
"5554",537.0886,"SW",2594129,NA,"lost","PreFenton",0.0306792203907211,"third 25 %",0.96,0.65
"5555",537.1097,"HW",NA,2091298.66666667,"gained","PostFenton",0.0242453204943359,"lowest 25%",1.3,0.85
"5556",537.125,"HW",3176833.66666667,2529058.33333333,"conserved","PostFenton",0.0293204556660825,"third 25 %",1.08,0.58
"5557",537.125,"HW",3176833.66666667,2529058.33333333,"conserved","PreFenton",0.0392058264117535,"third 25 %",1.08,0.58
"5558",537.125,"SW",2715302.66666667,NA,"lost","PreFenton",0.0321122692580745,"third 25 %",1.08,0.58
"5559",537.1461,"HW",NA,2482295.66666667,"gained","PostFenton",0.0287783160575349,"lowest 25%",1.43,0.76
"5560",537.1614,"HW",3288618.66666667,3967436.66666667,"conserved","PostFenton",0.0459961912937255,"second 25 %",1.2,0.52
"5561",537.1614,"HW",3288618.66666667,3967436.66666667,"conserved","PreFenton",0.0405853834692801,"third 25 %",1.2,0.52
"5562",537.1614,"SW",3637415,2199969.33333333,"conserved","PostFenton",0.0263331425919158,"lowest 25%",1.2,0.52
"5563",537.1614,"SW",3637415,2199969.33333333,"conserved","PreFenton",0.0430175432438074,"second 25 %",1.2,0.52
"5564",537.1977,"HW",3676030,5273377.66666667,"conserved","PreFenton",0.0453664904072928,"third 25 %",1.31,0.46
"5565",537.1977,"HW",3676030,5273377.66666667,"conserved","PostFenton",0.0611365242343864,"second 25 %",1.31,0.46
"5566",537.1977,"SW",2736636.66666667,3077025.66666667,"conserved","PostFenton",0.0368313114240313,"third 25 %",1.31,0.46
"5567",537.1977,"SW",2736636.66666667,3077025.66666667,"conserved","PreFenton",0.0323645737841083,"third 25 %",1.31,0.46
"5568",537.2341,"HW",3981009.66666667,4570571.33333333,"conserved","PreFenton",0.0491302945988399,"second 25 %",1.41,0.41
"5569",537.2341,"HW",3981009.66666667,4570571.33333333,"conserved","PostFenton",0.0529885896190616,"second 25 %",1.41,0.41
"5570",537.2341,"SW",3308029.33333333,3127372.33333333,"conserved","PostFenton",0.0374339498027908,"third 25 %",1.41,0.41
"5571",537.2341,"SW",3308029.33333333,3127372.33333333,"conserved","PreFenton",0.0391220949213796,"third 25 %",1.41,0.41
"5572",537.2553,"SW",5964968,NA,"lost","PreFenton",0.0705441278732087,"top 25 %",1.75,0.54
"5573",537.2705,"HW",3480613.33333333,2123722.66666667,"conserved","PostFenton",0.0246212258034333,"lowest 25%",1.5,0.36
"5574",537.2705,"HW",3480613.33333333,2123722.66666667,"conserved","PreFenton",0.0429548212060734,"third 25 %",1.5,0.36
"5575",537.2705,"SW",3451389.66666667,1722785.66666667,"conserved","PostFenton",0.0206213604563771,"lowest 25%",1.5,0.36
"5576",537.2705,"SW",3451389.66666667,1722785.66666667,"conserved","PreFenton",0.0408175322961673,"second 25 %",1.5,0.36
"5577",538.1414,"HW",NA,2193681.33333333,"gained","PostFenton",0.0254322865676011,"lowest 25%",1.45,0.8
