Mass,Forest,Fenton,PreGoethite,PostGoethite,adsorbed,new,preg_total,postg_total,preg_rel_abund,postg_rel_abund,delta_abund,sorption_frac,HC,OC
359.146,HW,PreFenton,1750448,1782300.66666667,NA,NA,8822958103.333334,10813785976.333332,1.9839695252986373e-4,1.6481745344020587e-4,-3.3579499089657865e-5,minimal change,1.6,0.533333333333333
359.146,SW,PostFenton,0,2033603,NA,new molecules,8884038661.5,10442460691.833334,0,1.9474365860820586e-4,1.9474365860820586e-4,most unbound,1.6,0.533333333333333
359.146,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.6,0.533333333333333
359.15,HW,PostFenton,3683919,5839249.33333333,not adsorbed,NA,8918337356.5,8295042489.333333,4.1307239822174134e-4,7.039444753709305e-4,2.908720771491892e-4,most unbound,1.2,0.3
359.15,HW,PreFenton,6090588.66666667,6900424.66666667,not adsorbed,NA,8822958103.333334,10813785976.333332,6.903114120382859e-4,6.381136709907792e-4,-5.21977410475067e-5,sorbed,1.2,0.3
359.15,SW,PostFenton,4785339,9199758.66666667,not adsorbed,NA,8884038661.5,10442460691.833334,5.386445492113643e-4,8.809952881950003e-4,3.4235073898363595e-4,most unbound,1.2,0.3
359.15,SW,PreFenton,7401464,9379916.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,8.766892946868238e-4,0.0010559855242573146,1.7929622957049078e-4,most unbound,1.2,0.3
359.1534,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.64705882352941,0.352941176470588
359.1534,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.64705882352941,0.352941176470588
359.1534,SW,PostFenton,0,1878981.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.799366600890806e-4,1.799366600890806e-4,most unbound,1.64705882352941,0.352941176470588
359.1534,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.64705882352941,0.352941176470588
359.1712,HW,PostFenton,6661034.66666667,17389976.3333333,not adsorbed,NA,8918337356.5,8295042489.333333,7.468919822607822e-4,0.00209643004911611,0.0013495380668553277,most unbound,1.64705882352941,0.470588235294118
359.1712,HW,PreFenton,6137359,9452581.66666667,not adsorbed,NA,8822958103.333334,10813785976.333332,6.956123930455129e-4,8.741232429931806e-4,1.785108499476677e-4,most unbound,1.64705882352941,0.470588235294118
359.1712,SW,PostFenton,9441473.66666667,24657386.6666667,not adsorbed,NA,8884038661.5,10442460691.833334,0.0010627456752954462,0.0023612621004118635,0.0012985164251164173,most unbound,1.64705882352941,0.470588235294118
359.1712,SW,PreFenton,8016894.66666667,11619069.6666667,not adsorbed,NA,8442516687.333333,8882618607.166666,9.495858834007113e-4,0.0013080680574636193,3.58482174062908e-4,most unbound,1.64705882352941,0.470588235294118
359.1824,HW,PostFenton,0,1829440.5,NA,new molecules,8918337356.5,8295042489.333333,0,2.205462482383295e-4,2.205462482383295e-4,most unbound,1.75,0.4375
359.1824,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.75,0.4375
359.1824,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.75,0.4375
359.1824,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.75,0.4375
359.1864,HW,PostFenton,1860689,3659848,NA,NA,8918337356.5,8295042489.333333,2.0863631029205954e-4,4.4120907213027904e-4,2.325727618382195e-4,most unbound,1.33333333333333,0.238095238095238
359.1864,HW,PreFenton,3830975.33333333,4840833,not adsorbed,NA,8822958103.333334,10813785976.333332,4.342053184958431e-4,4.476538569003007e-4,1.3448538404457625e-5,minimal change,1.33333333333333,0.238095238095238
359.1864,SW,PostFenton,2665092.5,5245081.33333333,NA,NA,8884038661.5,10442460691.833334,2.9998659410944304e-4,5.022840389943068e-4,2.0229744488486375e-4,most unbound,1.33333333333333,0.238095238095238
359.1864,SW,PreFenton,3242500,5741996.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,3.8406794088602283e-4,6.464306214874426e-4,2.6236268060141977e-4,most unbound,1.33333333333333,0.238095238095238
359.2075,HW,PostFenton,2758070,15053220.3333333,not adsorbed,NA,8918337356.5,8295042489.333333,3.092583168531768e-4,0.0018147249218663276,0.0015054666050131507,most unbound,1.77777777777778,0.388888888888889
359.2075,HW,PreFenton,15683100.3333333,21283209,not adsorbed,NA,8822958103.333334,10813785976.333332,0.0017775331300063852,0.0019681551906593747,1.9062206065298946e-4,most unbound,1.77777777777778,0.388888888888889
359.2075,SW,PostFenton,6201377.66666667,28122613.6666667,not adsorbed,NA,8884038661.5,10442460691.833334,6.980358711788425e-4,0.002693102181237835,0.0019950663100589926,most unbound,1.77777777777778,0.388888888888889
359.2075,SW,PreFenton,18371594.3333333,30203315.3333333,not adsorbed,NA,8442516687.333333,8882618607.166666,0.0021760803103767603,0.003400271549311448,0.001224191238934688,most unbound,1.77777777777778,0.388888888888889
359.2228,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.45454545454545,0.181818181818182
359.2228,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.45454545454545,0.181818181818182
359.2228,SW,PostFenton,0,2097348,NA,new molecules,8884038661.5,10442460691.833334,0,2.008480627214866e-4,2.008480627214866e-4,most unbound,1.45454545454545,0.181818181818182
359.2228,SW,PreFenton,0,1903829.5,NA,new molecules,8442516687.333333,8882618607.166666,0,2.1433200998452798e-4,2.1433200998452798e-4,most unbound,1.45454545454545,0.181818181818182
359.2439,HW,PostFenton,0,5789104,NA,new molecules,8918337356.5,8295042489.333333,0,6.978992581947903e-4,6.978992581947903e-4,most unbound,1.89473684210526,0.315789473684211
359.2439,HW,PreFenton,5531859.66666667,14533015,not adsorbed,NA,8822958103.333334,10813785976.333332,6.269846917415057e-4,0.0013439340330765228,7.169493413350171e-4,most unbound,1.89473684210526,0.315789473684211
359.2439,SW,PostFenton,0,8571734,NA,new molecules,8884038661.5,10442460691.833334,0,8.208538440277433e-4,8.208538440277433e-4,most unbound,1.89473684210526,0.315789473684211
359.2439,SW,PreFenton,4860950,14818067.3333333,not adsorbed,NA,8442516687.333333,8882618607.166666,5.757702566692098e-4,0.0016682093410357393,0.0010924390843665296,most unbound,1.89473684210526,0.315789473684211
360.0725,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,0.882352941176471,0.470588235294118
360.0725,HW,PreFenton,2268247.66666667,0,NA,NA,8822958103.333334,10813785976.333332,2.570847146842645e-4,0,-2.570847146842645e-4,most sorbed,0.882352941176471,0.470588235294118
360.0725,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,0.882352941176471,0.470588235294118
360.0725,SW,PreFenton,1678793,0,NA,NA,8442516687.333333,8882618607.166666,1.988498290466828e-4,0,-1.988498290466828e-4,most sorbed,0.882352941176471,0.470588235294118
360.0937,HW,PostFenton,2125168,0,NA,NA,8918337356.5,8295042489.333333,2.3829195006299042e-4,0,-2.3829195006299042e-4,most sorbed,1.35714285714286,0.714285714285714
360.0937,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.35714285714286,0.714285714285714
360.0937,SW,PostFenton,1622589.5,0,NA,NA,8884038661.5,10442460691.833334,1.826409769052084e-4,0,-1.826409769052084e-4,most sorbed,1.35714285714286,0.714285714285714
360.0937,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.35714285714286,0.714285714285714
360.1413,HW,PostFenton,3431294.66666667,3170176,not adsorbed,NA,8918337356.5,8295042489.333333,3.847460047209159e-4,3.821771864431746e-4,-2.5688182777413486e-6,minimal change,1.64285714285714,0.571428571428571
360.1413,HW,PreFenton,1753773.5,0,NA,NA,8822958103.333334,10813785976.333332,1.9877386693442647e-4,0,-1.9877386693442647e-4,most sorbed,1.64285714285714,0.571428571428571
360.1413,SW,PostFenton,3015147.33333333,2616427.33333333,not adsorbed,NA,8884038661.5,10442460691.833334,3.393892629485976e-4,2.5055658915523066e-4,-8.883267379336692e-5,sorbed,1.64285714285714,0.571428571428571
360.1413,SW,PreFenton,0,1584107.5,NA,new molecules,8442516687.333333,8882618607.166666,0,1.7833789449452574e-4,1.7833789449452574e-4,most unbound,1.64285714285714,0.571428571428571
360.1776,HW,PostFenton,3776906,5014241.66666667,not adsorbed,NA,8918337356.5,8295042489.333333,4.234988932379035e-4,6.04486556050138e-4,1.8098766281223453e-4,most unbound,1.8,0.466666666666667
360.1776,HW,PreFenton,3925715,3772837.33333333,not adsorbed,NA,8822958103.333334,10813785976.333332,4.449431759759639e-4,3.4889143742907695e-4,-9.605173854688694e-5,sorbed,1.8,0.466666666666667
360.1776,SW,PostFenton,3903819.66666667,5044684,not adsorbed,NA,8884038661.5,10442460691.833334,4.394194819957639e-4,4.830934153235801e-4,4.367393332781617e-5,minimal change,1.8,0.466666666666667
360.1776,SW,PreFenton,4334911.66666667,4038187.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,5.134620193491026e-4,4.5461680223538844e-4,-5.8845217113714183e-5,sorbed,1.8,0.466666666666667
360.1929,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.42105263157895,0.210526315789474
360.1929,HW,PreFenton,0,1583189.66666667,NA,new molecules,8822958103.333334,10813785976.333332,0,1.4640475316707606e-4,1.4640475316707606e-4,more unbound,1.42105263157895,0.210526315789474
360.1929,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.42105263157895,0.210526315789474
360.1929,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.42105263157895,0.210526315789474
360.214,HW,PostFenton,0,3079746.66666667,NA,new molecules,8918337356.5,8295042489.333333,0,3.712755746130225e-4,3.712755746130225e-4,most unbound,1.9375,0.375
360.214,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.9375,0.375
360.214,SW,PostFenton,0,2372738,NA,new molecules,8884038661.5,10442460691.833334,0,2.2722019934014512e-4,2.2722019934014512e-4,most unbound,1.9375,0.375
360.214,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.9375,0.375
361.0201,HW,PostFenton,2485048.33333333,0,NA,NA,8918337356.5,8295042489.333333,2.786448004820247e-4,0,-2.786448004820247e-4,most sorbed,0.625,0.625
361.0201,HW,PreFenton,6989319.66666667,2251751.33333333,not adsorbed,NA,8822958103.333334,10813785976.333332,7.92174187478697e-4,2.0822969293653797e-4,-5.83944494542159e-4,most sorbed,0.625,0.625
361.0201,SW,PostFenton,2094531.5,0,NA,NA,8884038661.5,10442460691.833334,2.357634382070952e-4,0,-2.357634382070952e-4,most sorbed,0.625,0.625
361.0201,SW,PreFenton,5537698.66666667,0,adsorbed,NA,8442516687.333333,8882618607.166666,6.559298455370677e-4,0,-6.559298455370677e-4,most sorbed,0.625,0.625
361.0413,HW,PostFenton,2861033,0,adsorbed,NA,8918337356.5,8295042489.333333,3.208034060199324e-4,0,-3.208034060199324e-4,most sorbed,1.07692307692308,0.923076923076923
361.0413,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.07692307692308,0.923076923076923
361.0413,SW,PostFenton,2239232.33333333,0,NA,NA,8884038661.5,10442460691.833334,2.520511693670695e-4,0,-2.520511693670695e-4,most sorbed,1.07692307692308,0.923076923076923
361.0413,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.07692307692308,0.923076923076923
361.0565,HW,PostFenton,3866264.66666667,1737900.33333333,not adsorbed,NA,8918337356.5,8295042489.333333,4.335185485945762e-4,2.0951072108046597e-4,-2.2400782751411024e-4,most sorbed,0.823529411764706,0.529411764705882
361.0565,HW,PreFenton,9911146.33333333,4012960.33333333,not adsorbed,NA,8822958103.333334,10813785976.333332,0.0011233359851939993,3.7109670397730756e-4,-7.522392812166918e-4,most sorbed,0.823529411764706,0.529411764705882
361.0565,SW,PostFenton,3628464,0,adsorbed,NA,8884038661.5,10442460691.833334,4.08425057369951e-4,0,-4.08425057369951e-4,most sorbed,0.823529411764706,0.529411764705882
361.0565,SW,PreFenton,9771950,2797705.33333333,not adsorbed,NA,8442516687.333333,8882618607.166666,0.001157468840382782,3.149640277334533e-4,-8.425048126493287e-4,most sorbed,0.823529411764706,0.529411764705882
361.0776,HW,PostFenton,6913866,2044855,not adsorbed,NA,8918337356.5,8295042489.333333,7.752415863659755e-4,2.4651531352967715e-4,-5.287262728362983e-4,most sorbed,1.28571428571429,0.785714285714286
361.0776,HW,PreFenton,2517654,0,NA,NA,8822958103.333334,10813785976.333332,2.85352596092327e-4,0,-2.85352596092327e-4,most sorbed,1.28571428571429,0.785714285714286
361.0776,SW,PostFenton,6072417,0,adsorbed,NA,8884038661.5,10442460691.833334,6.83519875517372e-4,0,-6.83519875517372e-4,most sorbed,1.28571428571429,0.785714285714286
361.0776,SW,PreFenton,2321332.66666667,0,NA,NA,8442516687.333333,8882618607.166666,2.749574271081352e-4,0,-2.749574271081352e-4,most sorbed,1.28571428571429,0.785714285714286
361.0929,HW,PostFenton,4947790.66666667,3819192.33333333,not adsorbed,NA,8918337356.5,8295042489.333333,5.547884621185074e-4,4.6041865828227676e-4,-9.436980383623061e-5,sorbed,1,0.444444444444444
361.0929,HW,PreFenton,11330423.6666667,8531032.66666667,not adsorbed,NA,8822958103.333334,10813785976.333332,0.001284197831834432,7.889034132298702e-4,-4.952944186045618e-4,most sorbed,1,0.444444444444444
361.0929,SW,PostFenton,5611280.33333333,4789650.66666667,not adsorbed,NA,8884038661.5,10442460691.833334,6.316136778704551e-4,4.586706915174198e-4,-1.729429863530353e-4,most sorbed,1,0.444444444444444
361.0929,SW,PreFenton,12420025.6666667,8904681.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,0.0014711283526748597,0.0010024838463155677,-4.68644506359292e-4,most sorbed,1,0.444444444444444
361.0963,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.46666666666667,0.533333333333333
361.0963,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.46666666666667,0.533333333333333
361.0963,SW,PostFenton,0,1649561,NA,new molecules,8884038661.5,10442460691.833334,0,1.5796669469774123e-4,1.5796669469774123e-4,most unbound,1.46666666666667,0.533333333333333
361.0963,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.46666666666667,0.533333333333333
361.114,HW,PostFenton,7412565,3643924.33333333,not adsorbed,NA,8918337356.5,8295042489.333333,8.311599689147731e-4,4.3928941147909536e-4,-3.9187055743567775e-4,most sorbed,1.46666666666667,0.666666666666667
361.114,HW,PreFenton,4494549,5442315.33333333,not adsorbed,NA,8822958103.333334,10813785976.333332,5.094152037627776e-4,5.032756654555757e-4,-6.139538307201931e-6,minimal change,1.46666666666667,0.666666666666667
361.114,SW,PostFenton,10004588.3333333,5636163.66666667,not adsorbed,NA,8884038661.5,10442460691.833334,0.0011261306613499253,5.397352054266776e-4,-5.863954559232477e-4,most sorbed,1.46666666666667,0.666666666666667
361.114,SW,PreFenton,4270699,4469743.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,5.058561514491895e-4,5.03201123941131e-4,-2.6550275080585014e-6,minimal change,1.46666666666667,0.666666666666667
361.1253,HW,PostFenton,2912429.66666667,2429123,not adsorbed,NA,8918337356.5,8295042489.333333,3.2656643836689896e-4,2.928403324182643e-4,-3.372610594863467e-5,minimal change,1.57142857142857,0.642857142857143
361.1253,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.57142857142857,0.642857142857143
361.1253,SW,PostFenton,2185413,0,NA,NA,8884038661.5,10442460691.833334,2.459931888264667e-4,0,-2.459931888264667e-4,most sorbed,1.57142857142857,0.642857142857143
361.1253,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.57142857142857,0.642857142857143
361.1293,HW,PostFenton,5934596.33333333,8128196,not adsorbed,NA,8918337356.5,8295042489.333333,6.654375245188483e-4,9.798859994330491e-4,3.144484749142008e-4,most unbound,1.15789473684211,0.368421052631579
361.1293,HW,PreFenton,10111194.3333333,9737318.66666667,not adsorbed,NA,8822958103.333334,10813785976.333332,0.00114600955993583,9.004541691482908e-4,-2.455553907875392e-4,most sorbed,1.15789473684211,0.368421052631579
361.1293,SW,PostFenton,6834630,10578675,not adsorbed,NA,8884038661.5,10442460691.833334,7.693156525329693e-4,0.0010130442730105936,2.4372862047762427e-4,most unbound,1.15789473684211,0.368421052631579
361.1293,SW,PreFenton,11433584,12350793.6666667,not adsorbed,NA,8442516687.333333,8882618607.166666,0.0013542862186052048,0.0013904451167926813,3.6158898187476545e-5,minimal change,1.15789473684211,0.368421052631579
361.1504,HW,PostFenton,8735925.66666667,15143285.6666667,not adsorbed,NA,8918337356.5,8295042489.333333,9.795464465469697e-4,0.001825582652064722,8.460362055177522e-4,most unbound,1.625,0.5625
361.1504,HW,PreFenton,6192695.66666667,8143983,not adsorbed,NA,8822958103.333334,10813785976.333332,7.018842880288703e-4,7.531111691893692e-4,5.122688116049887e-5,unbound,1.625,0.5625
361.1504,SW,PostFenton,22565666,44350201.6666667,not adsorbed,NA,8884038661.5,10442460691.833334,0.0025400233902392725,0.004247102572418718,0.0017070791821794458,most unbound,1.625,0.5625
361.1504,SW,PreFenton,11036961.3333333,18068816.3333333,not adsorbed,NA,8442516687.333333,8882618607.166666,0.001307307020179483,0.0020341767594023496,7.268697392228665e-4,most unbound,1.625,0.5625
361.1617,HW,PostFenton,0,1771478,NA,new molecules,8918337356.5,8295042489.333333,0,2.135586408722992e-4,2.135586408722992e-4,most unbound,1.73333333333333,0.533333333333333
361.1617,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.73333333333333,0.533333333333333
361.1617,SW,PostFenton,0,1561509,NA,new molecules,8884038661.5,10442460691.833334,0,1.4953458251666668e-4,1.4953458251666668e-4,more unbound,1.73333333333333,0.533333333333333
361.1617,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.73333333333333,0.533333333333333
361.1657,HW,PostFenton,4497253,9804154.66666667,not adsorbed,NA,8918337356.5,8295042489.333333,5.042703387669275e-4,0.001181929408954073,6.776590701871455e-4,most unbound,1.3,0.3
361.1657,HW,PreFenton,8965352,11126559.3333333,not adsorbed,NA,8822958103.333334,10813785976.333332,0.0010161390199294803,0.0010289235756731725,1.2784555743692227e-5,minimal change,1.3,0.3
361.1657,SW,PostFenton,8175740,18905854.6666667,not adsorbed,NA,8884038661.5,10442460691.833334,9.202728974413975e-4,0.0018104788923411776,8.902059948997801e-4,most unbound,1.3,0.3
361.1657,SW,PreFenton,12796198,19577514,not adsorbed,NA,8442516687.333333,8882618607.166666,0.0015156852481202293,0.0022040250590298328,6.883398109096034e-4,most unbound,1.3,0.3
361.1868,HW,PostFenton,2680171.33333333,7614849.66666667,NA,NA,8918337356.5,8295042489.333333,3.0052365437599493e-4,9.180000797414444e-4,6.174764253654495e-4,most unbound,1.76470588235294,0.470588235294118
361.1868,HW,PreFenton,3370565,4723154.33333333,not adsorbed,NA,8822958103.333334,10813785976.333332,3.8202210194408526e-4,4.367715750681822e-4,5.474947312409696e-5,unbound,1.76470588235294,0.470588235294118
361.1868,SW,PostFenton,4275330.66666667,12940719.6666667,not adsorbed,NA,8884038661.5,10442460691.833334,4.812372874055924e-4,0.0012392404480667245,7.580031606611321e-4,most unbound,1.76470588235294,0.470588235294118
361.1868,SW,PreFenton,5088215.66666667,8217947,not adsorbed,NA,8442516687.333333,8882618607.166666,6.026894414435373e-4,9.251716597816779e-4,3.2248221833814056e-4,most unbound,1.76470588235294,0.470588235294118
361.202,HW,PostFenton,0,3979825.33333333,NA,new molecules,8918337356.5,8295042489.333333,0,4.797835982698126e-4,4.797835982698126e-4,most unbound,1.42857142857143,0.238095238095238
361.202,HW,PreFenton,3837685.33333333,5311960,not adsorbed,NA,8822958103.333334,10813785976.333332,4.3496583440461354e-4,4.912211145685301e-4,5.62552801639166e-5,unbound,1.42857142857143,0.238095238095238
361.202,SW,PostFenton,2256892.5,4944991,NA,NA,8884038661.5,10442460691.833334,2.540390227904458e-4,4.735465275792033e-4,2.1950750478875748e-4,most unbound,1.42857142857143,0.238095238095238
361.202,SW,PreFenton,4084871.33333333,7462580.66666667,not adsorbed,NA,8442516687.333333,8882618607.166666,4.8384521874407857e-4,8.401329604139164e-4,3.5628774166983785e-4,most unbound,1.42857142857143,0.238095238095238
361.2232,HW,PostFenton,0,9129699,NA,new molecules,8918337356.5,8295042489.333333,0,0.001100621125417978,0.001100621125417978,most unbound,1.88888888888889,0.388888888888889
361.2232,HW,PreFenton,12173565,15683381.3333333,not adsorbed,NA,8822958103.333334,10813785976.333332,0.0013797600371014795,0.001450313642942203,7.05536058407234e-5,unbound,1.88888888888889,0.388888888888889
361.2232,SW,PostFenton,3922435.5,17231291,not adsorbed,NA,8884038661.5,10442460691.833334,4.4151490661542526e-4,0.0016501178705394565,0.0012086029639240313,most unbound,1.88888888888889,0.388888888888889
361.2232,SW,PreFenton,14284430.3333333,23792315.3333333,not adsorbed,NA,8442516687.333333,8882618607.166666,0.0016919635296386015,0.002678524924411052,9.865613947724504e-4,most unbound,1.88888888888889,0.388888888888889
361.2384,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.54545454545455,0.181818181818182
361.2384,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.54545454545455,0.181818181818182
361.2384,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.54545454545455,0.181818181818182
361.2384,SW,PreFenton,0,1680439.5,NA,new molecules,8442516687.333333,8882618607.166666,0,1.8918289463021516e-4,1.8918289463021516e-4,most unbound,1.54545454545455,0.181818181818182
361.2596,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,2,0.315789473684211
361.2596,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,2,0.315789473684211
361.2596,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,2,0.315789473684211
361.2596,SW,PreFenton,0,1744326,NA,new molecules,8442516687.333333,8882618607.166666,0,1.9637519938012926e-4,1.9637519938012926e-4,most unbound,2,0.315789473684211
362.0518,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,0.8125,0.5625
362.0518,HW,PreFenton,1991470,0,NA,NA,8822958103.333334,10813785976.333332,2.2571454796409133e-4,0,-2.2571454796409133e-4,most sorbed,0.8125,0.5625
362.0518,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,0.8125,0.5625
362.0518,SW,PreFenton,1655557.5,0,NA,NA,8442516687.333333,8882618607.166666,1.9609762838655723e-4,0,-1.9609762838655723e-4,most sorbed,0.8125,0.5625
362.0882,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1,0.470588235294118
362.0882,HW,PreFenton,2315494,0,NA,NA,8822958103.333334,10813785976.333332,2.6243964585133877e-4,0,-2.6243964585133877e-4,most sorbed,1,0.470588235294118
362.0882,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1,0.470588235294118
362.0882,SW,PreFenton,1873680,0,NA,NA,8442516687.333333,8882618607.166666,2.219338225071159e-4,0,-2.219338225071159e-4,most sorbed,1,0.470588235294118
362.1093,HW,PostFenton,2935944.33333333,2598918,not adsorbed,NA,8918337356.5,8295042489.333333,3.292031032211974e-4,3.1330978754382167e-4,-1.5893315677375738e-5,minimal change,1.5,0.714285714285714
362.1093,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.5,0.714285714285714
362.1093,SW,PostFenton,1984329.66666667,2107472.5,NA,NA,8884038661.5,10442460691.833334,2.233589634482333e-4,2.018176138932634e-4,-2.1541349554969906e-5,minimal change,1.5,0.714285714285714
362.1093,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.5,0.714285714285714
362.1358,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.23529411764706,0.352941176470588
362.1358,HW,PreFenton,2169646,2575508,NA,NA,8822958103.333334,10813785976.333332,2.4590913552908095e-4,2.3816894523681764e-4,-7.740190292263315e-6,minimal change,1.23529411764706,0.352941176470588
362.1358,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.23529411764706,0.352941176470588
362.1358,SW,PreFenton,1737309.33333333,2244728,NA,NA,8442516687.333333,8882618607.166666,2.0578097712734038e-4,2.5271016344086984e-4,4.692918631352946e-5,minimal change,1.23529411764706,0.352941176470588
362.1457,HW,PostFenton,0,1759932.33333333,NA,new molecules,8918337356.5,8295042489.333333,0,2.1216676534164137e-4,2.1216676534164137e-4,most unbound,1.66666666666667,0.6
362.1457,HW,PreFenton,0,1775123.5,NA,new molecules,8822958103.333334,10813785976.333332,0,1.6415374817709287e-4,1.6415374817709287e-4,most unbound,1.66666666666667,0.6
362.1457,SW,PostFenton,0,1722714.5,NA,new molecules,8884038661.5,10442460691.833334,0,1.6497208376827044e-4,1.6497208376827044e-4,most unbound,1.66666666666667,0.6
362.1457,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.66666666666667,0.6
362.1569,HW,PostFenton,2234925,0,NA,NA,8918337356.5,8295042489.333333,2.505988404185123e-4,0,-2.505988404185123e-4,most sorbed,1.78571428571429,0.571428571428571
362.1569,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.78571428571429,0.571428571428571
362.1569,SW,PostFenton,1805480,0,NA,NA,8884038661.5,10442460691.833334,2.032273911441037e-4,0,-2.032273911441037e-4,most sorbed,1.78571428571429,0.571428571428571
362.1569,SW,PreFenton,0,0,NA,NA,8442516687.333333,8882618607.166666,0,0,0,minimal change,1.78571428571429,0.571428571428571
362.1722,HW,PostFenton,0,0,NA,NA,8918337356.5,8295042489.333333,0,0,0,minimal change,1.38888888888889,0.277777777777778
362.1722,HW,PreFenton,0,1889100.66666667,NA,new molecules,8822958103.333334,10813785976.333332,0,1.7469373545963353e-4,1.7469373545963353e-4,most unbound,1.38888888888889,0.277777777777778
362.1722,SW,PostFenton,0,0,NA,NA,8884038661.5,10442460691.833334,0,0,0,minimal change,1.38888888888889,0.277777777777778
362.1722,SW,PreFenton,0,1884291,NA,new molecules,8442516687.333333,8882618607.166666,0,2.121323770987666e-4,2.121323770987666e-4,most unbound,1.38888888888889,0.277777777777778
362.1933,HW,PostFenton,2060109,0,NA,NA,8918337356.5,8295042489.333333,2.3099698045157707e-4,0,-2.3099698045157707e-4,most sorbed,1.93333333333333,0.466666666666667
362.1933,HW,PreFenton,0,0,NA,NA,8822958103.333334,10813785976.333332,0,0,0,minimal change,1.93333333333333,0.466666666666667
362.1933,SW,PostFenton,2243342.66666667,0,NA,NA,8884038661.5,10442460691.833334,2.52513834320471e-4,0,-2.52513834320471e-4,most sorbed,1.93333333333333,0.466666666666667
