"Mass","HC","OC"
372.1412,1.53,0.53
384.1525,1.53,0.47
315.1449,1.6,0.47
331.1398,1.6,0.53
347.1348,1.6,0.6
379.1246,1.6,0.73
395.1195,1.6,0.8
411.1144,1.6,0.87
427.1093,1.6,0.93
343.1511,1.6,0.47
359.146,1.6,0.53
355.1623,1.6,0.4
371.1572,1.6,0.47
387.1521,1.6,0.53
326.1721,1.67,0.33
342.1671,1.67,0.4
358.162,1.67,0.47
374.1569,1.67,0.53
365.1453,1.73,0.67
381.1402,1.73,0.73
397.1351,1.73,0.8
413.1301,1.73,0.87
429.125,1.73,0.93
341.183,1.73,0.33
357.178,1.73,0.4
373.1729,1.73,0.47
380.1562,1.8,0.67
444.1181,1.8,0.8
441.128,1.8,0.73
328.1878,1.8,0.33
344.1827,1.8,0.4
360.1776,1.8,0.47
372.1889,1.8,0.4
335.1711,1.87,0.53
399.133,1.87,0.67
431.1229,1.87,0.8
343.1987,1.87,0.33
359.1936,1.87,0.4
375.1885,1.87,0.47
314.2085,1.93,0.27
330.2034,1.93,0.33
343.0096,0.5,0.56
359.0045,0.5,0.62
374.9994,0.5,0.69
329.0303,0.62,0.5
345.0252,0.62,0.56
361.0201,0.62,0.62
377.015,0.62,0.69
393.0099,0.62,0.75
331.0459,0.75,0.5
347.0409,0.75,0.56
363.0358,0.75,0.62
379.0307,0.75,0.69
395.0256,0.75,0.75
411.0205,0.75,0.81
362.0518,0.81,0.56
317.0667,0.88,0.44
333.0616,0.88,0.5
349.0565,0.88,0.56
365.0514,0.88,0.62
381.0463,0.88,0.69
397.0412,0.88,0.75
413.0362,0.88,0.81
348.0725,0.94,0.5
364.0674,0.94,0.56
380.0623,0.94,0.62
319.0823,1,0.44
335.0772,1,0.5
351.0722,1,0.56
367.0671,1,0.62
383.062,1,0.69
399.0569,1,0.75
415.0518,1,0.81
350.0881,1.06,0.5
366.0831,1.06,0.56
382.078,1.06,0.62
321.098,1.12,0.44
337.0929,1.12,0.5
353.0878,1.12,0.56
369.0827,1.12,0.62
385.0776,1.12,0.69
401.0725,1.12,0.75
417.0675,1.12,0.81
365.099,1.12,0.5
352.1038,1.19,0.5
368.0987,1.19,0.56
384.0936,1.19,0.62
323.1136,1.25,0.44
339.1085,1.25,0.5
355.1035,1.25,0.56
371.0984,1.25,0.62
387.0933,1.25,0.69
403.0882,1.25,0.75
325.1293,1.38,0.44
341.1242,1.38,0.5
357.1191,1.38,0.56
373.114,1.38,0.62
389.1089,1.38,0.69
405.1038,1.38,0.75
352.1514,1.44,0.38
368.1463,1.44,0.44
384.1412,1.44,0.5
400.1362,1.44,0.56
311.15,1.5,0.38
327.1449,1.5,0.44
343.1398,1.5,0.5
359.1348,1.5,0.56
375.1297,1.5,0.62
407.1195,1.5,0.75
423.1144,1.5,0.81
387.1409,1.5,0.56
383.1572,1.5,0.44
399.1521,1.5,0.5
451.1123,1.56,0.69
338.1721,1.56,0.31
354.1671,1.56,0.38
370.162,1.56,0.44
386.1569,1.56,0.5
402.1518,1.56,0.56
313.1657,1.62,0.38
329.1606,1.62,0.44
345.1555,1.62,0.5
361.1504,1.62,0.56
377.1453,1.62,0.62
393.1402,1.62,0.69
409.1351,1.62,0.75
425.1301,1.62,0.81
441.125,1.62,0.88
357.1667,1.62,0.44
405.1515,1.62,0.62
369.178,1.62,0.38
385.1729,1.62,0.44
401.1678,1.62,0.5
340.1878,1.69,0.31
356.1827,1.69,0.38
372.1776,1.69,0.44
388.1725,1.69,0.5
315.1813,1.75,0.38
331.1762,1.75,0.44
347.1711,1.75,0.5
363.1661,1.75,0.56
379.161,1.75,0.62
411.133,1.75,0.62
427.1457,1.75,0.81
355.1987,1.75,0.31
371.1936,1.75,0.38
387.1885,1.75,0.44
403.1834,1.75,0.5
326.2085,1.81,0.25
358.1984,1.81,0.38
349.1868,1.88,0.5
365.1817,1.88,0.56
