Mass,Forest,treatment,intensity
412.1041,HW,PreFenton,0
412.1223,HW,PreFenton,0
412.2283,HW,PreFenton,0
413.1123,HW,PreFenton,0
413.122,HW,PreFenton,0
413.1487,HW,PreFenton,0
413.1663,HW,PreFenton,0
414.2075,HW,PreFenton,0
415.0915,HW,PreFenton,0
415.128,HW,PreFenton,0
415.1456,HW,PreFenton,0
415.1644,HW,PreFenton,0
416.2038,HW,PreFenton,0
417.1686,HW,PreFenton,0
417.2646,HW,PreFenton,0
417.2858,HW,PreFenton,0
418.1984,HW,PreFenton,0
419.1672,HW,PreFenton,0
419.2109,HW,PreFenton,0
419.3014,HW,PreFenton,0
420.1512,HW,PreFenton,0
421.0811,HW,PreFenton,0
421.1172,HW,PreFenton,0
421.1635,HW,PreFenton,0
421.1902,HW,PreFenton,0
421.2443,HW,PreFenton,0
423.1694,HW,PreFenton,0
423.1791,HW,PreFenton,0
423.2058,HW,PreFenton,0
423.2752,HW,PreFenton,0
424.209,HW,PreFenton,0
424.2257,HW,PreFenton,0
425.1122,HW,PreFenton,0
425.1487,HW,PreFenton,0
425.1762,HW,PreFenton,0
425.1851,HW,PreFenton,0
425.2027,HW,PreFenton,0
425.3636,HW,PreFenton,0
426.1196,HW,PreFenton,0
427.128,HW,PreFenton,0
427.2701,HW,PreFenton,0
428.1172,HW,PreFenton,0
428.2402,HW,PreFenton,0
428.2595,HW,PreFenton,0
429.2647,HW,PreFenton,0
429.2858,HW,PreFenton,0
430.1041,HW,PreFenton,0
430.1578,HW,PreFenton,0
430.2025,HW,PreFenton,0
430.2195,HW,PreFenton,0
430.2388,HW,PreFenton,0
431.0962,HW,PreFenton,0
432.1197,HW,PreFenton,0
432.1988,HW,PreFenton,0
433.2806,HW,PreFenton,0
433.3323,HW,PreFenton,0
434.1933,HW,PreFenton,0
435.1621,HW,PreFenton,0
435.1694,HW,PreFenton,0
435.2058,HW,PreFenton,0
435.2235,HW,PreFenton,0
435.2752,HW,PreFenton,0
435.2962,HW,PreFenton,0
437.122,HW,PreFenton,0
437.1487,HW,PreFenton,0
437.1851,HW,PreFenton,0
437.2028,HW,PreFenton,0
437.2215,HW,PreFenton,0
437.2391,HW,PreFenton,0
439.1644,HW,PreFenton,0
439.182,HW,PreFenton,0
439.2008,HW,PreFenton,0
439.2126,HW,PreFenton,0
439.2701,HW,PreFenton,0
440.1171,HW,PreFenton,0
440.2038,HW,PreFenton,0
441.2164,HW,PreFenton,0
441.2647,HW,PreFenton,0
441.2857,HW,PreFenton,0
442.1831,HW,PreFenton,0
442.2195,HW,PreFenton,0
442.2388,HW,PreFenton,0
443.2803,HW,PreFenton,0
444.1988,HW,PreFenton,0
445.1021,HW,PreFenton,0
445.1199,HW,PreFenton,0
445.2807,HW,PreFenton,0
445.2959,HW,PreFenton,0
447.1177,HW,PreFenton,0
447.2599,HW,PreFenton,0
449.1947,HW,PreFenton,0
449.2756,HW,PreFenton,0
449.2907,HW,PreFenton,0
449.2909,HW,PreFenton,0
450.1616,HW,PreFenton,0
451.2104,HW,PreFenton,0
451.2128,HW,PreFenton,0
451.2184,HW,PreFenton,0
451.2548,HW,PreFenton,0
453.18,HW,PreFenton,0
453.1977,HW,PreFenton,0
453.2164,HW,PreFenton,0
453.2857,HW,PreFenton,0
455.0863,HW,PreFenton,0
455.1786,HW,PreFenton,0
455.1957,HW,PreFenton,0
455.2803,HW,PreFenton,0
455.3014,HW,PreFenton,0
456.1988,HW,PreFenton,0
457.2806,HW,PreFenton,0
457.296,HW,PreFenton,0
459.2963,HW,PreFenton,0
461.2756,HW,PreFenton,0
462.1302,HW,PreFenton,0
462.2093,HW,PreFenton,0
463.1035,HW,PreFenton,0
463.1127,HW,PreFenton,0
463.2548,HW,PreFenton,0
463.3065,HW,PreFenton,0
465.1191,HW,PreFenton,0
465.1977,HW,PreFenton,0
465.2341,HW,PreFenton,0
465.2705,HW,PreFenton,0
467.1958,HW,PreFenton,0
467.2133,HW,PreFenton,0
467.244,HW,PreFenton,0
467.2497,HW,PreFenton,0
467.3015,HW,PreFenton,0
469.1846,HW,PreFenton,0
469.1926,HW,PreFenton,0
