soil,Forest,Treatment,Mass,Class,intensity
Soil_1,HW,PreFenton,361.202,Lignin,4501217
Soil_1,HW,PreFenton,361.2232,Protein,14506729
Soil_1,HW,PreFenton,363.0358,ConHC,9405866
Soil_1,HW,PreFenton,363.0722,Lignin,13266360
Soil_1,HW,PreFenton,363.1449,Lignin,13802964
Soil_1,HW,PreFenton,363.1661,AminoSugar,5148124
Soil_1,HW,PreFenton,363.1813,Lignin,11662818
Soil_1,HW,PreFenton,363.2177,Lipid,3663345
Soil_1,HW,PreFenton,363.2388,Protein,8410617
Soil_1,HW,PreFenton,365.015,ConHC,5465262
Soil_1,HW,PreFenton,365.0514,Lignin,13189309
Soil_1,HW,PreFenton,365.0878,Lignin,15104203
Soil_1,HW,PreFenton,365.1089,Carb,3392723
Soil_1,HW,PreFenton,365.1242,Lignin,14764249
Soil_1,HW,PreFenton,365.1453,AminoSugar,2415841
Soil_1,HW,PreFenton,365.1606,Lignin,16541927
Soil_1,HW,PreFenton,365.1817,AminoSugar,2077423
Soil_1,HW,PreFenton,365.197,Protein,11852021
Soil_1,HW,PreFenton,366.1671,Lignin,3127409
Soil_1,HW,PreFenton,367.0307,Tannin,7951298
Soil_1,HW,PreFenton,367.0671,Lignin,14851024
Soil_1,HW,PreFenton,367.1035,Lignin,16784350
Soil_1,HW,PreFenton,367.1246,Carb,2894311
Soil_1,HW,PreFenton,367.1398,Lignin,16047084
Soil_1,HW,PreFenton,367.1762,Lignin,15797243
Soil_1,HW,PreFenton,367.2126,Protein,8838153
Soil_1,HW,PreFenton,368.1463,Lignin,2740085
Soil_1,HW,PreFenton,368.1827,Protein,2302851
Soil_1,HW,PreFenton,369.0463,Tannin,10583763
Soil_1,HW,PreFenton,369.0827,Lignin,13711073
Soil_1,HW,PreFenton,369.1191,Lignin,12871408
Soil_1,HW,PreFenton,369.1344,Lignin,3317494
Soil_1,HW,PreFenton,369.1555,Lignin,14696190
Soil_1,HW,PreFenton,369.1919,Protein,12277516
Soil_1,HW,PreFenton,369.2283,Protein,5260058
Soil_1,HW,PreFenton,370.162,Protein,6045828
Soil_1,HW,PreFenton,370.1984,Protein,6456466
Soil_1,HW,PreFenton,371.062,Tannin,10041824
Soil_1,HW,PreFenton,371.0984,Lignin,12906990
Soil_1,HW,PreFenton,371.1136,Lignin,6364660
Soil_1,HW,PreFenton,371.1348,Lignin,9896444
Soil_1,HW,PreFenton,371.15,Lignin,5541378
Soil_1,HW,PreFenton,371.1864,Lignin,3646480
Soil_1,HW,PreFenton,371.2075,Protein,10988056
Soil_1,HW,PreFenton,371.2439,Protein,4058662
Soil_1,HW,PreFenton,372.1412,Protein,3503999
Soil_1,HW,PreFenton,372.1776,Protein,4525965
Soil_1,HW,PreFenton,372.214,Protein,9659291
Soil_1,HW,PreFenton,373.0565,ConHC,9428189
Soil_1,HW,PreFenton,373.0929,Lignin,8690923
Soil_1,HW,PreFenton,373.114,Lignin,7312627
Soil_1,HW,PreFenton,373.1293,Lignin,10089721
Soil_1,HW,PreFenton,373.1504,Protein,7146753
Soil_1,HW,PreFenton,373.1657,Lignin,7982342
Soil_1,HW,PreFenton,373.2232,Protein,10120476
Soil_1,HW,PreFenton,374.1569,Protein,3701887
Soil_1,HW,PreFenton,375.0358,ConHC,10561482
Soil_1,HW,PreFenton,375.0722,Lignin,12894168
Soil_1,HW,PreFenton,375.0933,Tannin,3856352
Soil_1,HW,PreFenton,375.1297,AminoSugar,4161517
Soil_1,HW,PreFenton,375.1661,Protein,5040123
Soil_1,HW,PreFenton,375.1813,Lignin,9965569
Soil_1,HW,PreFenton,375.2024,Protein,9492488
Soil_1,HW,PreFenton,375.2177,Lignin,4106254
Soil_1,HW,PreFenton,375.2388,Protein,8116246
Soil_1,HW,PreFenton,377.0514,Lignin,12939960
Soil_1,HW,PreFenton,377.0878,Lignin,15817413
Soil_1,HW,PreFenton,377.1242,Lignin,15686355
Soil_1,HW,PreFenton,377.1453,AminoSugar,3416283
Soil_1,HW,PreFenton,377.1606,Lignin,16210656
Soil_1,HW,PreFenton,377.1817,Protein,3255016
Soil_1,HW,PreFenton,377.197,Lignin,8985325
Soil_1,HW,PreFenton,377.2181,Protein,6531829
Soil_1,HW,PreFenton,379.0307,ConHC,9203081
Soil_1,HW,PreFenton,379.0671,Lignin,15277462
Soil_1,HW,PreFenton,379.1035,Lignin,17898915
Soil_1,HW,PreFenton,379.1246,Carb,2709419
Soil_1,HW,PreFenton,379.161,AminoSugar,4897208
Soil_1,HW,PreFenton,379.1762,Lignin,16231870
Soil_1,HW,PreFenton,379.2126,Lipid,6893003
Soil_1,HW,PreFenton,381.0827,Lignin,16179298
Soil_1,HW,PreFenton,381.1191,Lignin,15736943
Soil_1,HW,PreFenton,381.1402,Carb,2862710
Soil_1,HW,PreFenton,381.1555,Lignin,17490044
Soil_1,HW,PreFenton,381.1766,AminoSugar,3930243
Soil_1,HW,PreFenton,381.1919,Protein,14987400
Soil_1,HW,PreFenton,381.2283,Lipid,5494933
Soil_1,HW,PreFenton,382.162,Lignin,3168729
Soil_1,HW,PreFenton,383.0256,Tannin,4374272
Soil_1,HW,PreFenton,383.062,Tannin,13148940
Soil_1,HW,PreFenton,383.0984,Lignin,15500057
Soil_1,HW,PreFenton,383.1195,Carb,4572960
Soil_1,HW,PreFenton,383.1348,Lignin,13738789
Soil_1,HW,PreFenton,383.2075,Protein,11291454
Soil_1,HW,PreFenton,383.2439,Lipid,3819338
Soil_1,HW,PreFenton,384.214,Protein,3102351
Soil_1,HW,PreFenton,385.0776,Tannin,11255212
Soil_1,HW,PreFenton,385.0929,Lignin,6019505
Soil_1,HW,PreFenton,385.114,Lignin,12443063
Soil_1,HW,PreFenton,385.1174,Carb,6878649
Soil_1,HW,PreFenton,385.1293,Lignin,5663164
Soil_1,HW,PreFenton,385.1504,Lignin,11224515
Soil_1,HW,PreFenton,385.1657,Lignin,5131720
Soil_1,HW,PreFenton,385.1868,Protein,12783055
Soil_1,HW,PreFenton,385.2232,Protein,8877531
Soil_1,HW,PreFenton,386.1569,Protein,4204296
Soil_1,HW,PreFenton,386.1933,Protein,4945684
Soil_1,HW,PreFenton,387.0569,Tannin,7258149
Soil_1,HW,PreFenton,387.0722,Lignin,9191465
Soil_1,HW,PreFenton,387.0933,Tannin,7821360
Soil_1,HW,PreFenton,387.1085,Lignin,9447477
Soil_1,HW,PreFenton,387.1297,Lignin,7661628
Soil_1,HW,PreFenton,387.1661,Protein,10655815
Soil_1,HW,PreFenton,387.1813,Lignin,8063052
Soil_1,HW,PreFenton,387.2177,Lignin,4134999
Soil_1,HW,PreFenton,387.2388,Protein,5923934
Soil_1,HW,PreFenton,389.0514,ConHC,11950726
Soil_1,HW,PreFenton,389.0878,Lignin,14682769
Soil_1,HW,PreFenton,389.1089,Tannin,5252759
Soil_1,HW,PreFenton,389.1242,Lignin,13443740
Soil_1,HW,PreFenton,389.1453,AminoSugar,4066978
Soil_1,HW,PreFenton,389.1606,Lignin,14023335
Soil_1,HW,PreFenton,389.1817,Protein,8573613
Soil_1,HW,PreFenton,389.197,Lignin,8516273
Soil_1,HW,PreFenton,389.2181,Protein,8573624
Soil_1,HW,PreFenton,389.2545,Protein,3359939
