Treatment,X,code,soil,Forest,Fenton,Mass,C,H,N,O,S,P,HC,OC,DBE,CRAM,AI_mod,Class,KM,NKM,KMD,perc
PostFenton,1,PosFHW1.csv,Soil_7,HW,PostFenton,539.1406,24,28,0,14,0,0,1.17,0.58,11,CRAM,0.235294118,HighUnsatLign,539.2653,539,0.2653,third 25 %
PostFenton,2,PosFHW1.csv,Soil_7,HW,PostFenton,557.0784,22,22,0,17,0,0,1,0.77,12,O,0.259259259,HighUnsatLign,557.20724,557,0.20724,lowest 25%
PostFenton,3,PosFHW1.csv,Soil_7,HW,PostFenton,444.1181,15,27,1,12,1,0,1.8,0.8,3,O,-0.642857143,SatFatAcCarb,444.22081,444,0.22081,third 25 %
PostFenton,4,PosFHW1.csv,Soil_7,HW,PostFenton,427.1457,16,28,0,13,0,0,1.75,0.81,3,O,-0.368421053,SatFatAcCarb,427.24448,427,0.24448,second 25 %
PostFenton,5,PosFHW1.csv,Soil_7,HW,PostFenton,405.0708,12,22,0,13,1,0,1.83,1.08,2,O,-1.222222222,SatFatAcCarb,405.1645,405,0.1645,top 25 %
PostFenton,6,PosFHW1.csv,Soil_7,HW,PostFenton,529.1046,18,26,0,18,0,0,1.44,1,6,O,-0.333333333,HighUnsatLign,529.22698,529,0.22698,top 25 %
PostFenton,7,PosFHW1.csv,Soil_7,HW,PostFenton,325.1843,18,30,0,3,1,0,1.67,0.17,4,O,0.096774194,UnSatAliph_noN,325.25948,325,0.25948,top 25 %
PostFenton,8,PosFHW1.csv,Soil_7,HW,PostFenton,551.2134,27,36,0,12,0,0,1.33,0.44,10,CRAM,0.19047619,HighUnsatLign,551.34086,551,0.34086,second 25 %
PostFenton,9,PosFHW1.csv,Soil_7,HW,PostFenton,473.2826,28,43,0,4,0,1,1.54,0.14,8,O,0.22,UnSatAliph_noN,473.39206,473,0.39206,third 25 %
PostFenton,10,PosFHW1.csv,Soil_7,HW,PostFenton,333.098,17,18,0,7,0,0,1.06,0.41,9,CRAM,0.407407407,HighUnsatLign,333.175,333,0.175,third 25 %
PostFenton,11,PosFHW1.csv,Soil_7,HW,PostFenton,463.1821,20,32,0,12,0,0,1.6,0.6,5,O,-0.071428571,SatFatAcCarb,463.2892,463,0.2892,second 25 %
PostFenton,12,PosFHW1.csv,Soil_7,HW,PostFenton,386.0729,15,17,1,11,0,0,1.13,0.73,8,O,0.235294118,HighUnsatLign,386.16216,386,0.16216,lowest 25%
PostFenton,13,PosFHW1.csv,Soil_7,HW,PostFenton,417.1555,22,26,0,8,0,0,1.18,0.36,10,CRAM,0.333333333,HighUnsatLign,417.25195,417,0.25195,top 25 %
PostFenton,14,PosFHW1.csv,Soil_7,HW,PostFenton,541.0835,22,22,0,16,0,0,1,0.73,12,O,0.285714286,HighUnsatLign,541.20862,541,0.20862,third 25 %
PostFenton,15,PosFHW1.csv,Soil_7,HW,PostFenton,452.141,17,27,1,13,0,0,1.59,0.76,5,O,-0.210526316,SatFatAcCarb,452.24551,452,0.24551,third 25 %
PostFenton,16,PosFHW1.csv,Soil_7,HW,PostFenton,487.2337,27,36,0,8,0,0,1.33,0.3,10,CRAM,0.260869565,HighUnsatLign,487.34641,487,0.34641,third 25 %
PostFenton,17,PosFHW1.csv,Soil_7,HW,PostFenton,371.1136,20,20,0,7,0,0,1,0.35,11,CRAM,0.454545455,HighUnsatLign,371.19944,371,0.19944,third 25 %
PostFenton,18,PosFHW1.csv,Soil_7,HW,PostFenton,455.0467,18,16,0,14,0,0,0.89,0.78,11,CRAM,0.363636364,HighUnsatLign,455.15195,455,0.15195,second 25 %
PostFenton,19,PosFHW1.csv,Soil_7,HW,PostFenton,330.1307,13,21,3,7,0,0,1.62,0.54,5,O,0,Aliphat+N,330.20701,330,0.20701,lowest 25%
PostFenton,20,PosFHW1.csv,Soil_7,HW,PostFenton,489.213,26,34,0,9,0,0,1.31,0.35,10,CRAM,0.255813953,HighUnsatLign,489.32613,489,0.32613,second 25 %
PostFenton,21,PosFHW1.csv,Soil_7,HW,PostFenton,405.0675,15,18,0,13,0,0,1.2,0.87,7,O,0.058823529,HighUnsatLign,405.16113,405,0.16113,second 25 %
PostFenton,22,PosFHW1.csv,Soil_7,HW,PostFenton,469.2079,23,34,0,10,0,0,1.48,0.43,7,O,0.111111111,HighUnsatLign,469.31642,469,0.31642,second 25 %
PostFenton,23,PosFHW1.csv,Soil_7,HW,PostFenton,465.0311,19,14,0,14,0,0,0.74,0.74,13,O,0.5,HighUnsatLign,465.13861000000003,465,0.13861,third 25 %
PostFenton,24,PosFHW1.csv,Soil_7,HW,PostFenton,733.2044,27,42,0,23,0,0,1.56,0.85,7,O,-0.290322581,SatFatAcCarb,733.37395,733,0.37395,second 25 %
