Mass,HC,OC,El_comp,NOSC,Class,KM_CH2,KMD_CH2,DBE,AI_0,C,H,O,N,S,P,Na
303.1086,1.54,1.54,CHO,-0.3076923076923075,AminoSugar,303.776251347814,0.223748652186487,4,0,13,20,8,0,0,0,0
303.1449,1.71,1.71,CHO,-0.7142857142857144,Protein,303.81258739597,0.187412604030499,3,0,14,24,7,0,0,0,0
303.1813,1.87,1.87,CHO,-1.0666666666666664,Protein,303.848926773736,0.15107322626352,2,0,15,28,6,0,0,0,0
303.2177,2,2,CHO,-1.375,Protein,303.885265041633,0.114734958366853,1,0,16,32,5,0,0,0,0
305.1395,1.29,1.29,CHO,-0.7058823529411766,Lignin,305.804887788745,0.195112211255321,7,0.166666666666667,17,22,5,0,0,0,0
305.1606,1.86,1.86,CHO,-0.8571428571428568,Protein,305.825981708756,0.174018291244465,2,0,14,26,7,0,0,0,0
305.1758,1.44,1.44,CHO,-1,Lignin,305.841194702802,0.158805297198455,6,0.142857142857143,18,26,4,0,0,0,0
307.1187,1.25,1.25,CHO,-0.5,Lignin,307.781900984708,0.218099015291955,7,0.1,16,20,6,0,0,0,0
307.1398,1.85,1.85,CHO,-0.615384615384615,AminoSugar,307.803037892379,0.196962107621118,2,0,13,24,8,0,0,0,0
307.1551,1.41,1.41,CHO,-0.8235294117647056,Lignin,307.818288056412,0.181711943587914,6,0.0833333333333333,17,24,5,0,0,0,0
307.1949,2.13,2.13,CHOS,-1.4666666666666668,Lipid,307.858015185619,0.14198481438109,0,0,15,32,4,0,1,0,0
311.1864,1.65,1.65,CHO,-1.0588235294117645,Lipid,311.84509676942,0.154903230579691,4,0,17,28,5,0,0,0,0
311.2228,1.78,1.78,CHO,-1.333333333333333,Lipid,311.881397618828,0.118602381172479,3,0,18,32,4,0,0,0,0
311.2955,2,2,CHO,-1.7999999999999998,Lipid,311.95409968164,0.0459003183597133,1,0,20,40,2,0,0,0,0
313.1769,1.73,1.73,CHON,-0.666666666666667,Protein,313.833339911907,0.166660088093295,4,0,15,26,5,2,0,0,0
313.1809,1.3,1.3,CHO,-1,Lignin,313.837383106479,0.162616893521204,8,0.294117647058824,20,26,3,0,0,0,0
313.2021,1.76,1.76,CHO,-1.1764705882352944,Lipid,313.858491954247,0.141508045753483,3,0,17,30,5,0,0,0,0
313.2384,1.89,1.89,CHO,-1.4444444444444446,Lipid,313.894804060912,0.105195939088276,2,0,18,34,4,0,0,0,0
314.1358,1.62,1.62,CHON,0,Protein,314.791147790957,0.208852209043357,5,0,13,21,6,3,0,0,0
315.1238,1.11,1.11,CHO,-0.5555555555555554,Lignin,315.778074191088,0.221925808912204,9,0.307692307692308,18,20,5,0,0,0,0
315.1966,1.4,1.4,CHO,-1.0999999999999996,Lignin,315.850785410332,0.149214589667963,7,0.235294117647059,20,28,3,0,0,0,0
315.2177,1.88,1.88,CHO,-1.2941176470588234,Lipid,315.871886053596,0.128113946403801,2,0,17,32,5,0,0,0,0
315.2541,2,2,CHO,-1.5555555555555554,Lipid,315.908253669029,0.0917463309714321,1,0,18,36,4,0,0,0,0
316.1514,1.77,1.77,CHON,-0.1538461538461542,Protein,316.804571214059,0.195428785941431,4,0,13,23,6,3,0,0,0
317.1759,1.37,1.37,CHO,-0.9473684210526319,Lignin,317.827850334185,0.172149665815027,7,0.2,19,26,4,0,0,0,0
319.0857,1.54,1.54,CHOS,-0.3076923076923075,Protein,319.735567778613,0.264432221386812,4,0,13,20,7,0,1,0,0
319.1762,1.87,1.87,CHO,-0.9333333333333336,Protein,319.825985593302,0.174014406697836,2,0,15,28,7,0,0,0,0
319.1915,1.47,1.47,CHO,-1.0526315789473681,Lignin,319.841230773591,0.158769226409447,6,0.133333333333333,19,28,4,0,0,0,0
319.2126,2,2,CHO,-1.25,Protein,319.862334404967,0.137665595032558,1,0,16,32,6,0,0,0,0
321.1191,1.69,1.69,CHO,-0.3076923076923075,AminoSugar,321.766735001603,0.233264998397374,3,0,13,22,9,0,0,0,0
321.1555,1.86,1.86,CHO,-0.7142857142857144,AminoSugar,321.803044412868,0.196955587132095,2,0,14,26,8,0,0,0,0
321.2071,1.58,1.58,CHO,-1.1578947368421053,Lipid,321.854596507213,0.145403492787011,5,0.0666666666666667,19,30,4,0,0,0,0
321.2105,2.12,2.12,CHOS,-1.5,Lipid,321.858001867174,0.141998132825961,0,0,16,34,4,0,1,0,0
322.1408,1.4,1.4,CHON,-0.13333333333333375,Lignin,322.787281398745,0.212718601255062,7,0.0714285714285714,15,21,5,3,0,0,0
323.117,1.85,1.85,CHOS,-0.615384615384615,Protein,323.762339756128,0.237660243871574,2,0,13,24,7,0,1,0,0
323.1534,2,2,CHOS,-1,Protein,323.798717979361,0.201282020639269,1,0,14,28,6,0,1,0,0
324.1565,1.53,1.53,CHON,-0.2666666666666666,Protein,324.800692615712,0.199307384288431,6,0,15,23,5,3,0,0,0
325.0963,1.83,1.83,CHOS,-0.33333333333333304,AminoSugar,325.739432981678,0.260567018321808,2,0,12,22,8,0,1,0,0
325.1479,1.53,1.53,CHOS,-0.9411764705882355,Lipid,325.790975364657,0.209024635342814,5,0,17,26,4,0,1,0,0
325.1691,2.14,2.14,CHOS,-1.1428571428571432,Protein,325.812140038908,0.187859961092045,0,0,14,30,6,0,1,0,0
326.1357,1.5,1.5,CHON,0,Protein,326.777716662183,0.222283337817373,6,0,14,21,6,3,0,0,0
327.1238,1.05,1.05,CHO,-0.5263157894736841,Lignin,327.764695693955,0.235304306044952,10,0.357142857142857,19,20,5,0,0,0,0
327.1562,1.6,1.6,CHON,-0.40000000000000036,Protein,327.797002912434,0.202997087565848,5,0,15,24,6,2,0,0,0
327.1601,1.2,1.2,CHO,-0.7999999999999998,Lignin,327.800991786775,0.199008213224545,9,0.3125,20,24,4,0,0,0,0
327.1925,1.75,1.75,CHON,-0.75,Protein,327.83331565331,0.166684346689578,4,0,16,28,5,2,0,0,0
329.1718,1.73,1.73,CHON,-0.5333333333333332,Protein,329.810386998556,0.189613001443831,4,0,15,26,6,2,0,0,0
332.1252,1.19,1.19,CHON,0,Lignin,332.760495769823,0.239504230176976,9,0.3125,16,19,5,3,0,0,0
333.2071,1.5,1.5,CHO,-1.0999999999999996,Lipid,333.841211558959,0.158788441041281,6,0.125,20,30,4,0,0,0,0
333.2283,2,2,CHO,-1.2941176470588234,Protein,333.862366036275,0.137633963724852,1,0,17,34,6,0,0,0,0
335.117,1.71,1.71,CHOS,-0.5714285714285712,Protein,335.748973745039,0.251026254960891,3,0,14,24,7,0,1,0,0
335.1898,2,2,CHOS,-1.25,Protein,335.821650122279,0.178349877721246,1,0,16,32,5,0,1,0,0
335.2075,2,2,CHO,-1.125,Protein,335.839363036058,0.160636963942466,1,0,16,32,7,0,0,0,0
335.2228,1.6,1.6,CHO,-1.2000000000000002,Lipid,335.854617165937,0.145382834062502,5,0.0625,20,32,4,0,0,0,0
336.1565,1.44,1.44,CHON,-0.25,Lignin,336.787310366363,0.212689633636671,7,0.0625,16,23,5,3,0,0,0
337.0963,1.69,1.69,CHOS,-0.3076923076923075,AminoSugar,337.726017026418,0.273982973581667,3,0,13,22,8,0,1,0,0
337.1504,1.86,1.86,CHO,-0.5714285714285712,AminoSugar,337.780103232434,0.219896767566411,2,0,14,26,9,0,0,0,0
337.169,2,2,CHOS,-1.0666666666666664,Protein,337.798712127317,0.201287872683451,1,0,15,30,6,0,1,0,0
337.2385,1.7,1.7,CHO,-1.2999999999999998,Lipid,337.86803826696,0.131961733039873,4,0,20,34,4,0,0,0,0
338.1092,1.75,1.75,CHON,0.16666666666666652,Carb,338.737865923901,0.262134076099244,3,0,12,21,10,1,0,0,0
338.1357,1.4,1.4,CHON,0,Lignin,338.764336333764,0.235663666236007,7,0,15,21,6,3,0,0,0
339.1119,1.85,1.85,CHOS,-0.4615384615384617,AminoSugar,339.73941883083,0.260581169170223,2,0,13,24,8,0,1,0,0
339.1483,2,2,CHOS,-0.8571428571428568,Protein,339.775769029833,0.224230970166786,1,0,14,28,7,0,1,0,0
339.1636,1.56,1.56,CHOS,-1,Lipid,339.791000891677,0.208999108323326,5,0,18,28,4,0,1,0,0
339.1661,2,2,CHO,-0.7142857142857144,AminoSugar,339.793505869248,0.206494130752446,1,0,14,28,9,0,0,0,0
339.1847,2.13,2.13,CHOS,-1.2000000000000002,Protein,339.812095089155,0.187904910844679,0,0,15,32,6,0,1,0,0
339.2541,1.8,1.8,CHO,-1.4000000000000004,Lipid,339.881420926106,0.118579073893727,3,0,20,36,4,0,0,0,0
341.1276,2,2,CHOS,-0.615384615384615,AminoSugar,341.752838948103,0.247161051896853,1,0,13,26,8,0,1,0,0
341.1354,1.47,1.47,CHON,-0.13333333333333375,Lignin,341.760686841946,0.239313158054074,6,0,15,22,7,2,0,0,0
341.176,1.24,1.24,CHO,-0.8571428571428568,Lignin,341.801171585786,0.19882841421412,9,0.294117647058824,21,26,4,0,0,0,0
341.2334,1.79,1.79,CHO,-1.2631578947368425,Lipid,341.858482136163,0.141517863837237,3,0,19,34,5,0,0,0,0
341.2697,1.9,1.9,CHO,-1.5,Lipid,341.894813574087,0.105186425912621,2,0,20,38,4,0,0,0,0
342.2035,1.81,1.81,CHON,-0.625,Protein,342.827505541043,0.172494458956976,4,0,16,29,5,3,0,0,0
343.1585,1.65,1.65,CHOS,-0.9411764705882355,Lipid,343.78147538903397,0.21852461096563,4,0,17,28,5,0,1,0,0
343.1915,1.33,1.33,CHO,-0.9523809523809526,Lignin,343.814435044848,0.185564955152302,8,0.235294117647059,21,28,4,0,0,0,0
343.249,1.89,1.89,CHO,-1.3684210526315788,Lipid,343.871879330343,0.128120669657108,2,0,19,36,5,0,0,0,0
345.1093,1.06,1.06,CHON,0,Lignin,345.730067141825,0.269932858175025,10,0.333333333333333,17,18,6,2,0,0,0
346.1984,1.93,1.93,CHON,-0.5333333333333332,Protein,346.817970188301,0.182029811699238,3,0,15,29,6,3,0,0,0
347.117,1.6,1.6,CHOS,-0.5333333333333332,Protein,347.735557789779,0.264442210220693,4,0,15,24,7,0,1,0,0
347.146,1.71,1.71,CHON,-0.14285714285714324,AminoSugar,347.764555374622,0.235444625378079,4,0,14,24,8,2,0,0,0
347.2228,1.52,1.52,CHO,-1.1428571428571432,Lipid,347.841259630222,0.158740369778059,6,0.117647058823529,21,32,4,0,0,0,0
348.1201,1.19,1.19,CHON,0.125,Lignin,348.737534389747,0.262465610253003,9,0.214285714285714,16,19,6,3,0,0,0
348.13,1.64,1.64,CHON,-0.14285714285714324,AminoSugar,348.747438080739,0.2525619192607,4,0,14,23,9,1,0,0,0
348.1565,1.35,1.35,CHON,-0.23529411764705888,Lignin,348.773908728433,0.226091271567327,8,0.166666666666667,17,23,5,3,0,0,0
348.1929,1.5,1.5,CHON,-0.5555555555555554,Lipid,348.81023645256,0.18976354744018,7,0.136363636363636,18,27,4,3,0,0,0
349.0413,1.17,1.17,CHO,0.8333333333333335,Tannin,349.657696613166,0.342303386834033,6,0,12,14,12,0,0,0,0
349.0963,1.57,1.57,CHOS,-0.2857142857142856,AminoSugar,349.712652680134,0.287347319866058,4,0,14,22,8,0,1,0,0
349.2054,2,2,CHOS,-1.2941176470588234,Lipid,349.821668316226,0.178331683773536,1,0,17,34,5,0,1,0,0
351.112,1.71,1.71,CHOS,-0.4285714285714288,AminoSugar,351.726058230358,0.273941769641851,3,0,14,24,8,0,1,0,0
351.1483,1.87,1.87,CHOS,-0.7999999999999998,Protein,351.762375473777,0.23762452622276,2,0,15,28,7,0,1,0,0
351.1661,1.87,1.87,CHO,-0.666666666666667,AminoSugar,351.780092292282,0.21990770771788,2,0,15,28,9,0,0,0,0
351.1847,2,2,CHOS,-1.125,Protein,351.79872717543,0.20127282457014,1,0,16,32,6,0,1,0,0
351.2025,2,2,CHO,-1,Protein,351.81645022074,0.18354977925992,1,0,16,32,8,0,0,0,0
352.125,1.77,1.77,CHON,0,Carb,352.73791586807,0.262084131929669,3,0,13,23,10,1,0,0,0
352.1879,1.59,1.59,CHON,-0.47058823529411775,Lipid,352.800748962979,0.199251037020645,6,0,17,27,5,3,0,0,0
353.0912,1.69,1.69,CHOS,-0.1538461538461542,AminoSugar,353.703109419565,0.296890580435445,3,0,13,22,9,0,1,0,0
353.1276,1.86,1.86,CHOS,-0.5714285714285712,AminoSugar,353.739417760597,0.260582239402822,2,0,14,26,8,0,1,0,0
353.164,2,2,CHOS,-0.9333333333333336,Protein,353.775784679007,0.224215320993324,1,0,15,30,7,0,1,0,0
353.2334,1.7,1.7,CHO,-1.2000000000000002,Lipid,353.845091733033,0.154908266966743,4,0,20,34,5,0,0,0,0
355.1068,1.85,1.85,CHOS,-0.3076923076923075,AminoSugar,355.716480258591,0.283519741409066,2,0,13,24,9,0,1,0,0
355.1433,2,2,CHOS,-0.7142857142857144,AminoSugar,355.752845607326,0.247154392673906,1,0,14,28,8,0,1,0,0
355.1511,1.5,1.5,CHON,-0.25,Protein,355.760640227387,0.239359772612659,6,0,16,24,7,2,0,0,0
355.1585,1.56,1.56,CHOS,-0.8888888888888893,Lipid,355.768100221514,0.231899778486365,5,0,18,28,5,0,1,0,0
355.1949,1.68,1.68,CHOS,-1.1578947368421053,Lipid,355.804429943408,0.195570056592487,4,0,19,32,4,0,1,0,0
355.249,1.8,1.8,CHO,-1.2999999999999998,Lipid,355.85848981988,0.141510180119553,3,0,20,36,5,0,0,0,0
356.2191,1.82,1.82,CHON,-0.7058823529411766,Lipid,356.827503293555,0.172496706444576,4,0,17,31,5,3,0,0,0
357.0861,1.83,1.83,CHOS,0,Carb,357.693518212592,0.306481787407677,2,0,12,22,10,0,1,0,0
357.1377,1.53,1.53,CHOS,-0.7058823529411766,Protein,357.745086067098,0.254913932902184,5,0,17,26,6,0,1,0,0
357.1741,1.67,1.67,CHOS,-1,Lipid,357.781459906342,0.218540093658191,4,0,18,30,5,0,1,0,0
357.2071,1.36,1.36,CHO,-1,Lignin,357.814422309084,0.185577690915579,8,0.222222222222222,22,30,4,0,0,0,0
357.2647,1.9,1.9,CHO,-1.4000000000000004,Lipid,357.871889675921,0.128110324079046,2,0,20,38,5,0,0,0,0
358.1062,1.47,1.47,CHONP,-0.33333333333333304,Lignin,358.712467173218,0.287532826781501,6,0,15,22,7,1,0,1,0
358.2348,1.94,1.94,CHON,-0.8235294117647056,Lipid,358.840916918087,0.159083081913309,3,0,17,33,5,3,0,0,0
359.1534,1.65,1.65,CHOS,-0.8235294117647056,Protein,359.75854114529,0.241458854710118,4,0,17,28,6,0,1,0,0
359.1824,1.75,1.75,CHON,-0.5,Protein,359.787467975893,0.212532024107361,4,0,16,28,7,2,0,0,0
359.2228,1.45,1.45,CHO,-1.0909090909090908,Lignin,359.827838918375,0.172161081624779,7,0.166666666666667,22,32,4,0,0,0,0
360.1929,1.42,1.42,CHON,-0.5263157894736841,Lignin,360.79684380458,0.203156195420263,8,0.208333333333333,19,27,4,3,0,0,0
360.214,1.94,1.94,CHON,-0.625,Protein,360.817968523495,0.182031476505188,3,0,16,31,6,3,0,0,0
361.0963,1.47,1.47,CHOS,-0.2666666666666666,Lignin,361.699205093567,0.3007949064326,5,0,15,22,8,0,1,0,0
361.1617,1.73,1.73,CHON,-0.2666666666666666,Protein,361.764535396954,0.235464603045898,4,0,15,26,8,2,0,0,0
361.2384,1.55,1.55,CHO,-1.1818181818181817,Lipid,361.841194702801,0.158805297198512,6,0.111111111111111,22,34,4,0,0,0,0
361.2596,2,2,CHO,-1.3684210526315788,Protein,361.862337734579,0.137662265420602,1,0,19,38,6,0,0,0,0
362.1457,1.67,1.67,CHON,-0.2666666666666666,AminoSugar,362.747465193289,0.252534806710685,4,0,15,25,9,1,0,0,0
362.1722,1.39,1.39,CHON,-0.33333333333333304,Lignin,362.773904209674,0.226095790325985,8,0.15,18,25,5,3,0,0,0
362.2086,1.53,1.53,CHON,-0.6315789473684212,Lipid,362.810259759839,0.189740240161427,7,0.125,19,29,4,3,0,0,0
363.1119,1.6,1.6,CHOS,-0.40000000000000036,Protein,363.712620216424,0.287379783576228,4,0,15,24,8,0,1,0,0
364.1548,1.93,1.93,CHONS,-0.2857142857142856,Protein,364.754318960328,0.245681039671808,3,0,14,27,6,3,1,0,0
365.0912,1.57,1.57,CHOS,-0.14285714285714324,AminoSugar,365.68972559505403,0.310274404945915,4,0,14,22,9,0,1,0,0
365.1276,1.73,1.73,CHOS,-0.5333333333333332,Protein,365.726039728314,0.273960271686178,3,0,15,26,8,0,1,0,0
365.164,1.88,1.88,CHOS,-0.875,Protein,365.762390532701,0.237609467298512,2,0,16,30,7,0,1,0,0
365.2334,1.62,1.62,CHO,-1.1428571428571432,Lipid,365.831686403151,0.168313596849259,5,0,21,34,5,0,0,0,0
366.0986,1.92,1.92,CHONS,-0.3076923076923075,Lipid,366.695917815893,0.304082184107074,3,0,13,25,3,3,3,0,0
367.1069,1.71,1.71,CHOS,-0.2857142857142856,AminoSugar,367.703123154211,0.296876845788802,3,0,14,24,9,0,1,0,0
367.1432,1.87,1.87,CHOS,-0.666666666666667,Protein,367.739405576415,0.260594423584678,2,0,15,28,8,0,1,0,0
367.1796,2,2,CHOS,-1,Protein,367.775766948826,0.224233051173542,1,0,16,32,7,0,1,0,0
367.249,1.71,1.71,CHO,-1.2380952380952381,Lipid,367.845084575259,0.154915424741375,4,0,21,36,5,0,0,0,0
367.2854,1.82,1.82,CHO,-1.4545454545454541,Lipid,367.881445343256,0.118554656743584,3,0,22,40,4,0,0,0,0
368.0961,0.95,0.95,CHONS,-0.2999999999999998,Lignin,368.691192383965,0.308807616034926,12,0.464285714285714,20,19,4,1,1,0,0
369.0861,1.69,1.69,CHOS,0,Carb,369.680118334598,0.319881665401624,3,0,13,22,10,0,1,0,0
369.1225,1.86,1.86,CHOS,-0.4285714285714288,AminoSugar,369.716487788635,0.283512211364609,2,0,14,26,9,0,1,0,0
369.1304,1.38,1.38,CHON,0,Lignin,369.724334145734,0.275665854265924,7,0,16,22,8,2,0,0,0
369.1589,2,2,CHOS,-0.7999999999999998,Protein,369.752830624075,0.247169375924784,1,0,15,30,8,0,1,0,0
369.1742,1.58,1.58,CHOS,-0.9473684210526319,Lipid,369.768082859968,0.231917140031612,5,0,19,30,5,0,1,0,0
369.2072,1.3,1.3,CHO,-0.9565217391304346,Lignin,369.801058379002,0.198941620998141,9,0.263157894736842,23,30,4,0,0,0,0
369.2647,1.81,1.81,CHO,-1.333333333333333,Lipid,369.858500357552,0.141499642448139,3,0,21,38,5,0,0,0,0
370.2347,1.83,1.83,CHON,-0.7777777777777777,Lipid,370.827492876629,0.172507123370963,4,0,18,33,5,3,0,0,0
371.0654,1.67,1.67,CHOS,0.3333333333333335,Carb,371.657205138754,0.34279486124569303,3,0,12,20,11,0,1,0,0
371.1534,1.56,1.56,CHOS,-0.7777777777777777,Protein,371.745141838087,0.254858161913148,5,0,18,28,6,0,1,0,0
371.1824,1.65,1.65,CHON,-0.47058823529411775,Protein,371.774100133516,0.225899866483587,5,0,17,28,7,2,0,0,0
371.1898,1.68,1.68,CHOS,-1.0526315789473681,Lipid,371.781460405783,0.218539594216509,4,0,19,32,5,0,1,0,0
372.1712,2.36,2.36,CHONP,-1.2857142857142856,Other,372.761769837661,0.238230162339107,0,0,14,33,6,1,0,2,0
372.1969,1.08,1.08,CHON,-0.7999999999999998,UnsatHC,372.787488310305,0.212511689695475,13,0.477272727272727,25,27,2,1,0,0,0
372.2334,1.19,1.19,CHON,-1,UnsatHC,372.823866929919,0.176133070081278,12,0.4375,26,31,1,1,0,0,0
373.0881,1.44,1.44,CHOSP,-0.5625,Lignin,373.677708171674,0.322291828326229,6,0,16,23,6,0,1,1,0
373.0963,1.38,1.38,CHOS,-0.25,Lignin,373.685841222941,0.314158777058651,6,0,16,22,8,0,1,0,0
373.0988,1.83,1.83,CHO,0.3333333333333335,Other,373.688358765831,0.311641234168974,2,11,12,22,13,0,0,0,0
373.1325,1.53,1.53,CHOS,-0.5882352941176467,Protein,373.722009898672,0.277990101328157,5,0,17,26,7,0,1,0,0
373.1617,1.62,1.62,CHON,-0.25,Protein,373.751188531129,0.248811468870883,5,0,16,26,8,2,0,0,0
373.1691,1.67,1.67,CHOS,-0.8888888888888893,Protein,373.758591089459,0.241408910540599,4,0,18,30,6,0,1,0,0
374.1457,1.56,1.56,CHON,-0.25,AminoSugar,374.734030687337,0.265969312662548,5,0,16,25,9,1,0,0,0
374.1755,1.81,1.81,CHONS,-0.5,Protein,374.763799077197,0.236200922802766,4,0,16,29,5,3,1,0,0
374.2297,1.94,1.94,CHON,-0.7058823529411766,Protein,374.817968523495,0.182031476505188,3,0,17,33,6,3,0,0,0
375.0754,1.33,1.33,CHOS,0,Lignin,375.662717548097,0.337282451903263,6,0,15,20,9,0,1,0,0
375.1038,1.56,1.56,CHOSP,-0.6875,Protein,375.691109476644,0.308890523356411,5,0,16,25,6,0,1,1,0
375.1198,1.11,1.11,CHON,0,Lignin,375.707107371061,0.292892628938944,10,0.222222222222222,18,20,7,2,0,0,0
375.1483,1.65,1.65,CHOS,-0.7058823529411766,Protein,375.735549465751,0.264450534248681,4,0,17,28,7,0,1,0,0
376.1613,1.69,1.69,CHON,-0.375,AminoSugar,376.747446642597,0.252553357402633,4,0,16,27,9,1,0,0,0
376.1878,1.42,1.42,CHON,-0.4210526315789478,Lignin,376.773942024545,0.226057975454637,8,0.136363636363636,19,27,5,3,0,0,0
376.2089,1.94,1.94,CHON,-0.5,Protein,376.795018464097,0.20498153590313,3,0,16,31,7,3,0,0,0
377.0857,1.73,1.73,CHONS,-0.666666666666667,Lipid,377.670779488381,0.329220511619496,4,0,15,26,1,2,4,0,0
377.1276,1.62,1.62,CHOS,-0.5,Protein,377.712611059992,0.287388940007645,4,0,16,26,8,0,1,0,0
377.1718,1.37,1.37,CHON,-0.4210526315789478,Lignin,377.756808320436,0.243191679563949,8,0.0909090909090909,19,26,6,2,0,0,0
377.2004,1.89,1.89,CHOS,-1.1111111111111107,Protein,377.785356407753,0.214643592247228,2,0,18,34,6,0,1,0,0
377.2545,2,2,CHO,-1.2631578947368425,Protein,377.839430960128,0.160569039871859,1,0,19,38,7,0,0,0,0
378.1341,1.79,1.79,CHONS,0,Protein,378.717985861256,0.282014138743534,4,0,14,25,7,3,1,0,0
378.1705,1.93,1.93,CHONS,-0.40000000000000036,Protein,378.754349212225,0.245650787775162,3,0,15,29,6,3,1,0,0
379.1068,1.6,1.6,CHOS,-0.2666666666666666,AminoSugar,379.689685140277,0.310314859723235,4,0,15,24,9,0,1,0,0
379.1433,1.75,1.75,CHOS,-0.625,Protein,379.726056981754,0.27394301824603,3,0,16,28,8,0,1,0,0
379.1796,1.88,1.88,CHOS,-0.9411764705882355,Protein,379.762382089758,0.237617910241511,2,0,17,32,7,0,1,0,0
379.1974,1.88,1.88,CHO,-0.8235294117647056,Protein,379.780108434951,0.219891565049124,2,0,17,32,9,0,0,0,0
379.216,2,2,CHOS,-1.2222222222222223,Protein,379.798738234496,0.201261765503546,1,0,18,36,6,0,1,0,0
380.1351,1.28,1.28,CHON,-0.22222222222222232,Lignin,380.716826110074,0.283173889926047,8,0,18,23,8,1,0,0,0
380.1497,1.93,1.93,CHONS,-0.14285714285714324,Protein,380.731374180742,0.268625819257807,3,0,14,27,7,3,1,0,0
381.1225,1.73,1.73,CHOS,-0.40000000000000036,AminoSugar,381.703103290052,0.296896709947532,3,0,15,26,9,0,1,0,0
381.1313,1.44,1.44,CHONS,-0.5555555555555554,Lignin,381.711832168777,0.28816783122295,7,0.0909090909090909,18,26,3,2,2,0,0
381.1589,1.88,1.88,CHOS,-0.75,Protein,381.739415501219,0.260584498781157,2,0,16,30,8,0,1,0,0
381.1953,2,2,CHOS,-1.0588235294117645,Protein,381.775802325947,0.22419767405313001,1,0,17,34,7,0,1,0,0
381.2647,1.73,1.73,CHO,-1.2727272727272725,Lipid,381.845089634538,0.154910365461888,4,0,22,38,5,0,0,0,0
382.0935,1.92,1.92,CHONS,-0.1538461538461542,Protein,382.672977745329,0.327022254671022,3,0,13,25,4,3,3,0,0
383.1017,1.71,1.71,CHOS,-0.14285714285714324,Carb,383.680126896456,0.319873103543557,3,0,14,24,10,0,1,0,0
383.1292,1.56,1.56,CHONS,-0.7777777777777777,Lipid,383.70759019641,0.292409803589578,6,0.0833333333333333,18,28,1,2,3,0,0
383.1381,1.87,1.87,CHOS,-0.5333333333333332,AminoSugar,383.716452653086,0.283547346914077,2,0,15,28,9,0,1,0,0
383.1559,1.87,1.87,CHO,-0.40000000000000036,Carb,383.734186465581,0.265813534419067,2,0,15,28,11,0,0,0,0
