C,H,N,O,S,P,,mass,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Initial,InitialAvg,PosSW22.csv,PosSW23.csv,PosSW24.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
13,18,0,13,0,0,,381.0674634,,11703190,4175588,6918174,Yes,7598984,0,0,0,,1.384615385,1,,381.06746,5,0.384615385,0.277777778,0.384615385,O,,,-0.230769231,,----,----,HUnSatLig,----,----,----,,381.15558,381,0.15558
14,12,0,10,0,0,,339.0357696,,2621522,3514123,3969875,Yes,3368506.667,0,0,0,,0.857142857,0.714285714,,339.03577,9,0.642857143,0.75,0.9,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,339.11417,339,0.11417
14,12,0,11,0,0,,355.0306842,,3557008,3997895,4655670,Yes,4070191,0,0,0,,0.857142857,0.785714286,,355.03068,9,0.642857143,0.75,0.818181818,CRAM,,,0.411764706,,----,----,HUnSatLig,----,----,----,,355.11278,355,0.11278
14,12,0,12,0,0,,371.0255988,,3447012,3349238,3880207,Yes,3558819,0,0,0,,0.857142857,0.857142857,,371.0256,9,0.642857143,0.75,0.75,O,,,0.375,,----,----,HUnSatLig,----,----,----,,371.11139,371,0.11139
14,14,0,9,0,0,,325.056505,,3155297,3867948,3858351,Yes,3627198.667,0,0,0,,1,0.642857143,,325.0565,8,0.571428571,0.571428571,0.888888889,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,325.13167,325,0.13167
14,14,0,10,0,0,,341.0514196,,5022756,5107463,5425981,Yes,5185400,0,0,0,,1,0.714285714,,341.05142,8,0.571428571,0.571428571,0.8,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,341.13028,341,0.13028
14,14,0,11,0,0,,357.0463342,,6633688,5962054,7269518,Yes,6621753.333,0,0,0,,1,0.785714286,,357.04633,8,0.571428571,0.571428571,0.727272727,O,,,0.294117647,,----,----,HUnSatLig,----,----,----,,357.1289,357,0.1289
14,14,0,12,0,0,,373.0412488,,5995299,4542836,6041440,Yes,5526525,0,0,0,,1,0.857142857,,373.04125,8,0.571428571,0.571428571,0.666666667,O,,,0.25,,----,----,HUnSatLig,----,----,----,,373.12751,373,0.12751
14,16,0,11,0,0,,359.0619842,,8114981,6052813,8103661,Yes,7423818.333,0,0,0,,1.142857143,0.785714286,,359.06198,7,0.5,0.4375,0.636363636,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,359.14501,359,0.14501
14,16,0,12,0,0,,375.0568988,,6680920,5089256,5831078,Yes,5867084.667,0,0,0,,1.142857143,0.857142857,,375.0569,7,0.5,0.4375,0.583333333,O,,,0.125,,----,----,HUnSatLig,----,----,----,,375.14363,375,0.14363
14,18,0,11,0,0,,361.0776342,,6501752,4942427,6773072,Yes,6072417,0,0,0,,1.285714286,0.785714286,,361.07763,6,0.428571429,0.333333333,0.545454545,O,,,0.058823529,,----,----,HUnSatLig,----,----,----,,361.16113,361,0.16113
14,18,0,12,0,0,,377.0725488,,7362431,3948112,5500897,Yes,5603813.333,0,0,0,,1.285714286,0.857142857,,377.07255,6,0.428571429,0.333333333,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,377.15974,377,0.15974
14,18,0,13,0,0,,393.0674634,,5542347,3186312,4264674,Yes,4331111,0,0,0,,1.285714286,0.928571429,,393.06746,6,0.428571429,0.333333333,0.461538462,O,,,-0.066666667,,----,----,HUnSatLig,----,----,----,,393.15835,393,0.15835
14,20,0,14,0,0,,411.078028,,10277955,3848913,5737117,Yes,6621328.333,0,0,0,,1.428571429,1,,411.07803,5,0.357142857,0.25,0.357142857,O,,,-0.285714286,,----,----,HUnSatLig,----,----,----,,411.17308,411,0.17308
15,12,0,10,0,0,,351.0357696,,3369512,4704756,4789673,Yes,4287980.333,0,0,0,,0.8,0.666666667,,351.03577,10,0.666666667,0.833333333,1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,351.11694,351,0.11694
15,12,0,11,0,0,,367.0306842,,4690008,5636590,6664290,Yes,5663629.333,0,0,0,,0.8,0.733333333,,367.03068,10,0.666666667,0.833333333,0.909090909,CRAM,,,0.473684211,,----,----,HUnSatLig,----,----,----,,367.11555,367,0.11555
15,12,0,12,0,0,,383.0255988,,4265340,4623623,5250584,Yes,4713182.333,0,0,0,,0.8,0.8,,383.0256,10,0.666666667,0.833333333,0.833333333,CRAM,,,0.444444444,,----,----,HUnSatLig,----,----,----,,383.11417,383,0.11417
15,14,0,9,0,0,,337.056505,,3220632,4380971,4496258,Yes,4032620.333,0,0,0,,0.933333333,0.6,,337.0565,9,0.6,0.642857143,1,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,337.13444,337,0.13444
15,14,0,10,0,0,,353.0514196,,5424220,6754397,7396336,Yes,6524984.333,0,0,0,,0.933333333,0.666666667,,353.05142,9,0.6,0.642857143,0.9,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,353.13306,353,0.13306
15,14,0,11,0,0,,369.0463342,,7818918,9211003,10441409,Yes,9157110,0,0,0,,0.933333333,0.733333333,,369.04633,9,0.6,0.642857143,0.818181818,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,369.13167,369,0.13167
15,14,0,12,0,0,,385.0412488,,6486875,6086437,7377933,Yes,6650415,0,0,0,,0.933333333,0.8,,385.04125,9,0.6,0.642857143,0.75,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,385.13028,385,0.13028
15,14,0,13,0,0,,401.0361634,,4134449,3481549,4978628,Yes,4198208.667,0,0,0,,0.933333333,0.866666667,,401.03616,9,0.6,0.642857143,0.692307692,O,,,0.294117647,,----,----,HUnSatLig,----,----,----,,401.1289,401,0.1289
15,16,0,12,0,0,,387.0568988,,8016162,7508266,9436651,Yes,8320359.667,0,0,0,,1.066666667,0.8,,387.0569,8,0.533333333,0.5,0.666666667,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,387.1464,387,0.1464
15,16,0,13,0,0,,403.0518134,,5176045,3517630,5423268,Yes,4705647.667,0,0,0,,1.066666667,0.866666667,,403.05181,8,0.533333333,0.5,0.615384615,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,403.14501,403,0.14501
15,18,0,12,0,0,,389.0725488,,8213199,6518548,7573425,Yes,7435057.333,0,0,0,,1.2,0.8,,389.07255,7,0.466666667,0.388888889,0.583333333,O,,,0.111111111,,----,----,HUnSatLig,----,----,----,,389.16252,389,0.16252
15,18,0,13,0,0,,405.0674634,,5222270,3288961,4462940,Yes,4324723.667,0,0,0,,1.2,0.866666667,,405.06746,7,0.466666667,0.388888889,0.538461538,O,,,0.058823529,,----,----,HUnSatLig,----,----,----,,405.16113,405,0.16113
15,20,0,14,0,0,,423.078028,,7258753,2996702,4321774,Yes,4859076.333,0,0,0,,1.333333333,0.933333333,,423.07803,6,0.4,0.3,0.428571429,O,,,-0.125,,----,----,HUnSatLig,----,----,----,,423.17586,423,0.17586
15,21,3,9,0,0,,386.120502,,3394129,3144253,3976464,Yes,3504948.667,0,0,0,,1.4,0.6,,386.1205,7,0.466666667,0.333333333,0.777777778,CRAM,,,0.133333333,,----,----,HUnSatLig,----,----,----,,386.20979,386,0.20979
15,22,0,15,0,0,,441.0885926,,8256361,2976523,5674065,Yes,5635649.667,0,0,0,,1.466666667,1,,441.08859,5,0.333333333,0.227272727,0.333333333,O,,,-0.333333333,,----,----,HUnSatLig,----,----,----,,441.19059,441,0.19059
16,12,0,12,0,0,,395.0255988,,3084052,4766730,5813319,Yes,4554700.333,0,0,0,,0.75,0.75,,395.0256,11,0.6875,0.916666667,0.916666667,O,,,0.5,,----,----,HUnSatLig,----,----,----,,395.11694,395,0.11694
16,14,0,9,0,0,,349.056505,,2307595,4757413,4800378,Yes,3955128.667,0,0,0,,0.875,0.5625,,349.0565,10,0.625,0.714285714,1.111111111,CRAM,,,0.47826087,,----,----,HUnSatLig,----,----,----,,349.13722,349,0.13722
16,14,0,10,0,0,,365.0514196,,5371408,7231338,7456265,Yes,6686337,0,0,0,,0.875,0.625,,365.05142,10,0.625,0.714285714,1,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,365.13583,365,0.13583
16,14,0,11,0,0,,381.0463342,,6207376,8860382,9846808,Yes,8304855.333,0,0,0,,0.875,0.6875,,381.04633,10,0.625,0.714285714,0.909090909,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,381.13445,381,0.13445
16,14,0,12,0,0,,397.0412488,,5791813,7575924,8430998,Yes,7266245,0,0,0,,0.875,0.75,,397.04125,10,0.625,0.714285714,0.833333333,CRAM,,,0.4,,----,----,HUnSatLig,----,----,----,,397.13306,397,0.13306
16,14,0,13,0,0,,413.0361634,,4424766,4372213,5585604,Yes,4794194.333,0,0,0,,0.875,0.8125,,413.03616,10,0.625,0.714285714,0.769230769,O,,,0.368421053,,----,----,HUnSatLig,----,----,----,,413.13167,413,0.13167
16,16,0,8,0,0,,335.0772404,,2745326,3845468,3668415,Yes,3419736.333,0,0,0,,1,0.5,,335.07724,9,0.5625,0.5625,1.125,CRAM,,,0.416666667,,----,----,HUnSatLig,----,----,----,,335.15472,335,0.15472
16,16,0,12,0,0,,399.0568988,,9611600,9865911,10991298,Yes,10156269.67,0,0,0,,1,0.75,,399.0569,9,0.5625,0.5625,0.75,O,,,0.3,,----,----,HUnSatLig,----,----,----,,399.14917,399,0.14917
16,16,0,13,0,0,,415.0518134,,6261786,5986041,7070413,Yes,6439413.333,0,0,0,,1,0.8125,,415.05181,9,0.5625,0.5625,0.692307692,O,,,0.263157895,,----,----,HUnSatLig,----,----,----,,415.14779,415,0.14779
16,16,0,14,0,0,,431.046728,,3209143,2947420,3638232,Yes,3264931.667,0,0,0,,1,0.875,,431.04673,9,0.5625,0.5625,0.642857143,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,431.1464,431,0.1464
16,18,0,12,0,0,,401.0725488,,9546293,9501650,10852296,Yes,9966746.333,0,0,0,,1.125,0.75,,401.07255,8,0.5,0.444444444,0.666666667,O,,,0.2,,----,----,HUnSatLig,----,----,----,,401.16529,401,0.16529
16,18,0,13,0,0,,417.0674634,,6235097,4785884,6437562,Yes,5819514.333,0,0,0,,1.125,0.8125,,417.06746,8,0.5,0.444444444,0.615384615,O,,,0.157894737,,----,----,HUnSatLig,----,----,----,,417.1639,417,0.1639
16,20,0,12,0,0,,403.0881988,,10191600,7646401,8808616,Yes,8882205.667,0,0,0,,1.25,0.75,,403.0882,7,0.4375,0.35,0.583333333,O,,,0.1,,----,----,HUnSatLig,----,----,----,,403.18141,403,0.18141
16,20,0,13,0,0,,419.0831134,,6180733,4283041,5703309,Yes,5389027.667,0,0,0,,1.25,0.8125,,419.08311,7,0.4375,0.35,0.538461538,O,,,0.052631579,,----,----,HUnSatLig,----,----,----,,419.18002,419,0.18002
16,22,0,15,0,0,,453.0885926,,9600677,3702177,6215721,Yes,6506191.667,0,0,0,,1.375,0.9375,,453.08859,6,0.375,0.272727273,0.4,O,,,-0.176470588,,----,----,HUnSatLig,----,----,----,,453.19336,453,0.19336
17,14,0,10,0,0,,377.0514196,,4059002,6514249,6490075,Yes,5687775.333,0,0,0,,0.823529412,0.588235294,,377.05142,11,0.647058824,0.785714286,1.1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,377.13861,377,0.13861
17,14,0,11,0,0,,393.0463342,,4301255,7102084,7174878,Yes,6192739,0,0,0,,0.823529412,0.647058824,,393.04633,11,0.647058824,0.785714286,1,CRAM,,,0.47826087,,----,----,HUnSatLig,----,----,----,,393.13722,393,0.13722
17,14,0,12,0,0,,409.0412488,,5262373,6991495,7160404,Yes,6471424,0,0,0,,0.823529412,0.705882353,,409.04125,11,0.647058824,0.785714286,0.916666667,CRAM,,,0.454545455,,----,----,HUnSatLig,----,----,----,,409.13583,409,0.13583
17,14,0,13,0,0,,425.0361634,,3673576,4526428,4904322,Yes,4368108.667,0,0,0,,0.823529412,0.764705882,,425.03616,11,0.647058824,0.785714286,0.846153846,CRAM,,,0.428571429,,----,----,HUnSatLig,----,----,----,,425.13445,425,0.13445
17,16,0,12,0,0,,411.0568988,,7154755,9068241,10650269,Yes,8957755,0,0,0,,0.941176471,0.705882353,,411.0569,10,0.588235294,0.625,0.833333333,CRAM,,,0.363636364,,----,----,HUnSatLig,----,----,----,,411.15195,411,0.15195
17,16,0,13,0,0,,427.0518134,,5486906,6042818,6666498,Yes,6065407.333,0,0,0,,0.941176471,0.764705882,,427.05181,10,0.588235294,0.625,0.769230769,O,,,0.333333333,,----,----,HUnSatLig,----,----,----,,427.15056,427,0.15056
17,16,0,14,0,0,,443.046728,,3171983,3144227,3858840,Yes,3391683.333,0,0,0,,0.941176471,0.823529412,,443.04673,10,0.588235294,0.625,0.714285714,O,,,0.3,,----,----,HUnSatLig,----,----,----,,443.14918,443,0.14918
17,18,0,13,0,0,,429.0674634,,7125117,6316053,7415922,Yes,6952364,0,0,0,,1.058823529,0.764705882,,429.06746,9,0.529411765,0.5,0.692307692,O,,,0.238095238,,----,----,HUnSatLig,----,----,----,,429.16668,429,0.16668
17,18,0,14,0,0,,445.062378,,4359603,3380531,4324059,Yes,4021397.667,0,0,0,,1.058823529,0.823529412,,445.06238,9,0.529411765,0.5,0.642857143,O,,,0.2,,----,----,HUnSatLig,----,----,----,,445.16529,445,0.16529
17,20,0,13,0,0,,431.0831134,,6268851,5206872,5871573,Yes,5782432,0,0,0,,1.176470588,0.764705882,,431.08311,8,0.470588235,0.4,0.615384615,O,,,0.142857143,,----,----,HUnSatLig,----,----,----,,431.1828,431,0.1828
17,20,0,14,0,0,,447.078028,,3576030,2978373,3378722,Yes,3311041.667,0,0,0,,1.176470588,0.823529412,,447.07803,8,0.470588235,0.4,0.571428571,O,,,0.1,,----,----,HUnSatLig,----,----,----,,447.18141,447,0.18141
17,22,0,12,0,0,,417.1038488,,8616920,6956763,7729850,Yes,7767844.333,0,0,0,,1.294117647,0.705882353,,417.10385,7,0.411764706,0.318181818,0.583333333,O,,,0.090909091,,----,----,HUnSatLig,----,----,----,,417.2003,417,0.2003
17,22,0,13,0,0,,433.0987634,,5441248,4015757,4842285,Yes,4766430,0,0,0,,1.294117647,0.764705882,,433.09876,7,0.411764706,0.318181818,0.538461538,O,,,0.047619048,,----,----,HUnSatLig,----,----,----,,433.19891,433,0.19891
17,22,0,14,0,0,,449.093678,,5245971,3241819,4264304,Yes,4250698,0,0,0,,1.294117647,0.823529412,,449.09368,7,0.411764706,0.318181818,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,449.19752,449,0.19752
17,22,0,15,0,0,,465.0885926,,3635241,2315182,3604929,Yes,3185117.333,0,0,0,,1.294117647,0.882352941,,465.08859,7,0.411764706,0.318181818,0.466666667,O,,,-0.052631579,,----,----,HUnSatLig,----,----,----,,465.19614,465,0.19614
17,24,0,16,0,0,,483.0991572,,11767175,4363215,7212649,Yes,7781013,0,0,0,,1.411764706,0.941176471,,483.09916,6,0.352941176,0.25,0.375,O,,,-0.222222222,,----,----,HUnSatLig,----,----,----,,483.21087,483,0.21087
17,24,0,17,0,0,,499.0940718,,6095161,1596899,3750255,Yes,3814105,0,0,0,,1.411764706,1,,499.09407,6,0.352941176,0.25,0.352941176,O,,,-0.294117647,,----,----,HUnSatLig,----,----,----,,499.20948,499,0.20948
18,14,0,12,0,0,,421.0412488,,2896652,5106254,4856394,Yes,4286433.333,0,0,0,,0.777777778,0.666666667,,421.04125,12,0.666666667,0.857142857,1,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,421.13861,421,0.13861
18,14,0,13,0,0,,437.0361634,,2222896,3602145,3902925,Yes,3242655.333,0,0,0,,0.777777778,0.722222222,,437.03616,12,0.666666667,0.857142857,0.923076923,CRAM,,,0.47826087,,----,----,HUnSatLig,----,----,----,,437.13722,437,0.13722
18,16,0,9,0,0,,375.072155,,2933596,6257645,5780907,Yes,4990716,0,0,0,,0.888888889,0.5,,375.07215,11,0.611111111,0.6875,1.222222222,CRAM,,,0.481481481,,----,----,HUnSatLig,----,----,----,,375.15888,375,0.15888
18,16,0,11,0,0,,407.0619842,,4603877,7906841,8042986,Yes,6851234.667,0,0,0,,0.888888889,0.611111111,,407.06198,11,0.611111111,0.6875,1,CRAM,,,0.44,,----,----,HUnSatLig,----,----,----,,407.15611,407,0.15611
18,16,0,12,0,0,,423.0568988,,4677251,6827487,7018991,Yes,6174576.333,0,0,0,,0.888888889,0.666666667,,423.0569,11,0.611111111,0.6875,0.916666667,CRAM,,,0.416666667,,----,----,HUnSatLig,----,----,----,,423.15472,423,0.15472
18,16,0,13,0,0,,439.0518134,,3829838,5131257,6181137,Yes,5047410.667,0,0,0,,0.888888889,0.722222222,,439.05181,11,0.611111111,0.6875,0.846153846,CRAM,,,0.391304348,,----,----,HUnSatLig,----,----,----,,439.15334,439,0.15334
18,16,0,14,0,0,,455.046728,,2792457,3423447,3664795,Yes,3293566.333,0,0,0,,0.888888889,0.777777778,,455.04673,11,0.611111111,0.6875,0.785714286,CRAM,,,0.363636364,,----,----,HUnSatLig,----,----,----,,455.15195,455,0.15195
18,18,0,13,0,0,,441.0674634,,5765995,6065933,6402131,Yes,6078019.667,0,0,0,,1,0.722222222,,441.06746,10,0.555555556,0.555555556,0.769230769,O,,,0.304347826,,----,----,HUnSatLig,----,----,----,,441.16945,441,0.16945
18,18,0,14,0,0,,457.062378,,4154747,3483667,4991767,Yes,4210060.333,0,0,0,,1,0.777777778,,457.06238,10,0.555555556,0.555555556,0.714285714,O,,,0.272727273,,----,----,HUnSatLig,----,----,----,,457.16807,457,0.16807
18,20,0,13,0,0,,443.0831134,,6601355,5943838,7326612,Yes,6623935,0,0,0,,1.111111111,0.722222222,,443.08311,9,0.5,0.45,0.692307692,O,,,0.217391304,,----,----,HUnSatLig,----,----,----,,443.18557,443,0.18557
18,20,0,14,0,0,,459.078028,,4017410,3750751,4663972,Yes,4144044.333,0,0,0,,1.111111111,0.777777778,,459.07803,9,0.5,0.45,0.642857143,O,,,0.181818182,,----,----,HUnSatLig,----,----,----,,459.18418,459,0.18418
18,22,0,13,0,0,,445.0987634,,5657007,4508975,5588695,Yes,5251559,0,0,0,,1.222222222,0.722222222,,445.09876,8,0.444444444,0.363636364,0.615384615,O,,,0.130434783,,----,----,HUnSatLig,----,----,----,,445.20169,445,0.20169
18,22,0,14,0,0,,461.093678,,3037858,2607292,3688004,Yes,3111051.333,0,0,0,,1.222222222,0.777777778,,461.09368,8,0.444444444,0.363636364,0.571428571,O,,,0.090909091,,----,----,HUnSatLig,----,----,----,,461.2003,461,0.2003
18,24,0,14,0,0,,463.109328,,4989017,3441195,4007417,Yes,4145876.333,0,0,0,,1.333333333,0.777777778,,463.10933,7,0.388888889,0.291666667,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,463.21642,463,0.21642
18,24,0,15,0,0,,479.1042426,,5438680,3638240,4413933,Yes,4496951,0,0,0,,1.333333333,0.833333333,,479.10424,7,0.388888889,0.291666667,0.466666667,O,,,-0.047619048,,----,----,HUnSatLig,----,----,----,,479.21503,479,0.21503
18,24,0,17,0,0,,511.0940718,,5104588,2260092,2728954,Yes,3364544.667,0,0,0,,1.333333333,0.944444444,,511.09407,7,0.388888889,0.291666667,0.411764706,O,,,-0.157894737,,----,----,HUnSatLig,----,----,----,,511.21225,511,0.21225
18,26,0,18,0,0,,529.1046364,,6655208,3304651,4717173,Yes,4892344,0,0,0,,1.444444444,1,,529.10464,6,0.333333333,0.230769231,0.333333333,O,,,-0.333333333,,----,----,HUnSatLig,----,----,----,,529.22698,529,0.22698
19,16,0,10,0,0,,403.0670696,,2895086,5393599,4919462,Yes,4402715.667,0,0,0,,0.842105263,0.526315789,,403.06707,12,0.631578947,0.75,1.2,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,403.16027,403,0.16027
19,16,0,11,0,0,,419.0619842,,2755966,5208738,4431502,Yes,4132068.667,0,0,0,,0.842105263,0.578947368,,419.06198,12,0.631578947,0.75,1.090909091,CRAM,,,0.481481481,,----,----,HUnSatLig,----,----,----,,419.15889,419,0.15889
19,16,0,12,0,0,,435.0568988,,3112460,4936125,5083778,Yes,4377454.333,0,0,0,,0.842105263,0.631578947,,435.0569,12,0.631578947,0.75,1,CRAM,,,0.461538462,,----,----,HUnSatLig,----,----,----,,435.1575,435,0.1575
19,16,0,13,0,0,,451.0518134,,2492761,3974782,4251850,Yes,3573131,0,0,0,,0.842105263,0.684210526,,451.05181,12,0.631578947,0.75,0.923076923,CRAM,,,0.44,,----,----,HUnSatLig,----,----,----,,451.15611,451,0.15611
19,16,0,14,0,0,,467.046728,,2365965,3114307,4172186,Yes,3217486,0,0,0,,0.842105263,0.736842105,,467.04673,12,0.631578947,0.75,0.857142857,CRAM,,,0.416666667,,----,----,HUnSatLig,----,----,----,,467.15473,467,0.15473
