"","C","H","N","O","S","P","Mass","HC","OC","m.z","DBE","CRAM","AI.mod","PolyCyArom","Aromatic","HighUnsatLign","UnSatAliph_noN","SatFatAcCarb","UnSatAlip.N","KM","NKM","KMD"
"65",15,12,0,12,0,0,383.0256,0.8,0.8,383.0256,10,"CRAM",0.444444444,"----","----","HUnSatLig","----","----","----",383.11417,383,0.11417
"66",15,12,0,13,0,0,399.0205,0.8,0.866666667,399.02051,10,"O",0.411764706,"----","----","HUnSatLig","----","----","----",399.11278,399,0.11278
"67",15,14,0,8,0,0,321.0616,0.933333333,0.533333333,321.06159,9,"CRAM",0.454545455,"----","----","HUnSatLig","----","----","----",321.13583,321,0.13583
"68",15,14,0,9,0,0,337.0565,0.933333333,0.6,337.0565,9,"CRAM",0.428571429,"----","----","HUnSatLig","----","----","----",337.13444,337,0.13444
"69",15,14,0,10,0,0,353.0514,0.933333333,0.666666667,353.05142,9,"CRAM",0.4,"----","----","HUnSatLig","----","----","----",353.13306,353,0.13306
"70",15,14,0,11,0,0,369.0463,0.933333333,0.733333333,369.04633,9,"CRAM",0.368421053,"----","----","HUnSatLig","----","----","----",369.13167,369,0.13167
"71",15,14,0,12,0,0,385.0412,0.933333333,0.8,385.04125,9,"O",0.333333333,"----","----","HUnSatLig","----","----","----",385.13028,385,0.13028
"72",15,16,0,8,0,0,323.0772,1.066666667,0.533333333,323.07724,8,"CRAM",0.363636364,"----","----","HUnSatLig","----","----","----",323.15195,323,0.15195
"73",15,16,0,9,0,0,339.0722,1.066666667,0.6,339.07215,8,"CRAM",0.333333333,"----","----","HUnSatLig","----","----","----",339.15056,339,0.15056
"74",15,16,0,10,0,0,355.0671,1.066666667,0.666666667,355.06707,8,"CRAM",0.3,"----","----","HUnSatLig","----","----","----",355.14917,355,0.14917
"75",15,16,0,11,0,0,371.062,1.066666667,0.733333333,371.06198,8,"O",0.263157895,"----","----","HUnSatLig","----","----","----",371.14779,371,0.14779
"76",15,16,0,12,0,0,387.0569,1.066666667,0.8,387.0569,8,"O",0.222222222,"----","----","HUnSatLig","----","----","----",387.1464,387,0.1464
