C,H,N,O,S,P,,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,,PreSWGt16.csv,PreSWGt17.csv,PreSWGt18.csv,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
14,14,0,9,0,0,,325.056505,,4354880,3850269,4354311,,,NA,NA,NA,,1,0.642857143,,325.05650,8,0.571428571,0.571428571,0.888888889,CRAM,,,0.368421053,,----,----,HUnSatLig,----,----,----,,325.13167,325.00000,0.13167
14,14,0,10,0,0,,341.0514196,,4495678,4510053,4323160,,,NA,NA,NA,,1,0.714285714,,341.05142,8,0.571428571,0.571428571,0.8,CRAM,,,0.333333333,,----,----,HUnSatLig,----,----,----,,341.13028,341.00000,0.13028
14,14,0,11,0,0,,357.0463342,,3565942,3762599,4216062,,,NA,NA,NA,,1,0.785714286,,357.04633,8,0.571428571,0.571428571,0.727272727,O,,,0.294117647,,----,----,HUnSatLig,----,----,----,,357.12890,357.00000,0.12890
14,14,0,12,0,0,,373.0412488,,2918649,2302727,2107332,,,NA,NA,NA,,1,0.857142857,,373.04125,8,0.571428571,0.571428571,0.666666667,O,,,0.25,,----,----,HUnSatLig,----,----,----,,373.12751,373.00000,0.12751
14,16,0,8,0,0,,311.0772404,,2318321,2656435,2683666,,,1468498,1527596,1539588,,1.142857143,0.571428571,,311.07724,7,0.5,0.4375,0.875,CRAM,,,0.3,,----,----,HUnSatLig,----,----,----,,311.14917,311.00000,0.14917
14,16,0,9,0,0,,327.072155,,4361911,3994529,4137639,,,2047724,1563248,1661001,,1.142857143,0.642857143,,327.07215,7,0.5,0.4375,0.777777778,CRAM,,,0.263157895,,----,----,HUnSatLig,----,----,----,,327.14779,327.00000,0.14779
14,16,0,10,0,0,,343.0670696,,4104047,4291400,4650340,,,NA,NA,NA,,1.142857143,0.714285714,,343.06707,7,0.5,0.4375,0.7,O,,,0.222222222,,----,----,HUnSatLig,----,----,----,,343.14640,343.00000,0.14640
14,16,0,11,0,0,,359.0619842,,4807772,4769753,4492127,,,NA,NA,NA,,1.142857143,0.785714286,,359.06198,7,0.5,0.4375,0.636363636,O,,,0.176470588,,----,----,HUnSatLig,----,----,----,,359.14501,359.00000,0.14501
14,16,0,12,0,0,,375.0568988,,1695200,1881890,2225157,,,NA,NA,NA,,1.142857143,0.857142857,,375.05690,7,0.5,0.4375,0.583333333,O,,,0.125,,----,----,HUnSatLig,----,----,----,,375.14363,375.00000,0.14363
14,17,5,8,0,0,,382.1004354,,2109325,1710112,2343288,,,NA,NA,NA,,1.214285714,0.571428571,,382.10044,9,0.642857143,0.529411765,1.125,CRAM,,,0.5,,----,----,HUnSatLig,----,----,----,,382.18879,382.00000,0.18879
14,18,0,8,0,0,,313.0928904,,2678264,2126833,2232415,,,2205629,2194548,2335592,,1.285714286,0.571428571,,313.09289,6,0.428571429,0.333333333,0.75,O,,,0.2,,----,----,HUnSatLig,----,----,----,,313.16529,313.00000,0.16529
14,18,0,9,0,0,,329.087805,,4914754,4943664,5095508,,,4337851,5351695,5005577,,1.285714286,0.642857143,,329.08780,6,0.428571429,0.333333333,0.666666667,O,,,0.157894737,,----,----,HUnSatLig,----,----,----,,329.16390,329.00000,0.16390
14,18,0,10,0,0,,345.0827196,,2871741,2921784,2854270,,,NA,NA,NA,,1.285714286,0.714285714,,345.08272,6,0.428571429,0.333333333,0.6,O,,,0.111111111,,----,----,HUnSatLig,----,----,----,,345.16251,345.00000,0.16251
14,18,0,11,0,0,,361.0776342,,1914701,2442254,2607043,,,NA,NA,NA,,1.285714286,0.785714286,,361.07763,6,0.428571429,0.333333333,0.545454545,O,,,0.058823529,,----,----,HUnSatLig,----,----,----,,361.16113,361.00000,0.16113
14,19,3,7,0,0,,340.1150228,,NA,NA,NA,,,1609599,1581259,1470318,,1.357142857,0.5,,340.11502,7,0.5,0.368421053,1,CRAM,,,0.266666667,,----,----,HUnSatLig,----,----,----,,340.19367,340.00000,0.19367
14,20,0,8,0,0,,315.1085404,,2351371,2359609,1949879,,,2058292,2150596,1681879,,1.428571429,0.571428571,,315.10854,5,0.357142857,0.25,0.625,O,,,0.1,,----,----,HUnSatLig,----,----,----,,315.18140,315.00000,0.18140
14,20,0,9,0,0,,331.103455,,2224098,2260171,2800141,,,1403030,1554105,1415892,,1.428571429,0.642857143,,331.10345,5,0.357142857,0.25,0.555555556,O,,,0.052631579,,----,----,HUnSatLig,----,----,----,,331.18002,331.00000,0.18002
14,20,0,10,0,0,,347.0983696,,9396263,9573174,8157607,,,8854291,9529805,8925886,,1.428571429,0.714285714,,347.09837,5,0.357142857,0.25,0.5,O,,,0,,----,----,HUnSatLig,----,----,----,,347.17863,347.00000,0.17863
14,20,0,11,0,0,,363.0932842,,2134598,2092612,1566760,,,NA,NA,NA,,1.428571429,0.785714286,,363.09328,5,0.357142857,0.25,0.454545455,O,,,-0.058823529,,----,----,HUnSatLig,----,----,----,,363.17724,363.00000,0.17724
14,21,3,7,0,0,,342.1306728,,2337895,2687590,2341487,,,3188639,3046591,3163515,,1.5,0.5,,342.13067,6,0.428571429,0.285714286,0.857142857,CRAM,,,0.133333333,,----,----,----,----,----,Alipat+N,,342.20979,342.00000,0.20979
14,21,3,8,0,0,,358.1255874,,1852162,2062035,1763907,,,1657604,1697297,1486648,,1.5,0.571428571,,358.12559,6,0.428571429,0.285714286,0.75,O,,,0.071428571,,----,----,----,----,----,Alipat+N,,358.20840,358.00000,0.20840
14,22,0,6,1,0,,317.1064319,,5380650,5182088,5112600,,,NA,NA,NA,,1.571428571,0.428571429,,317.10643,4,0.285714286,0.181818182,0.666666667,O,,,0,,----,----,----,AlipatNoN,----,----,,317.17976,317.00000,0.17976
14,22,0,9,0,0,,333.119105,,3105688,3701361,3872724,,,5767295,5560432,5036204,,1.571428571,0.642857143,,333.11910,4,0.285714286,0.181818182,0.444444444,O,,,-0.052631579,,----,----,----,----,SatFACarb,----,,333.19613,333.00000,0.19613
14,22,0,10,0,0,,349.1140196,,1461933,1464385,1604063,,,NA,NA,NA,,1.571428571,0.714285714,,349.11402,4,0.285714286,0.181818182,0.4,O,,,-0.111111111,,----,----,----,----,SatFACarb,----,,349.19475,349.00000,0.19475
14,22,0,11,0,0,,365.1089342,,2256195,2612345,2494092,,,2197095,2024492,2117444,,1.571428571,0.785714286,,365.10893,4,0.285714286,0.181818182,0.363636364,O,,,-0.176470588,,----,----,----,----,SatFACarb,----,,365.19336,365.00000,0.19336
14,22,0,12,0,0,,381.1038488,,3504189,3241261,3563638,,,3578463,2915821,3313212,,1.571428571,0.857142857,,381.10385,4,0.285714286,0.181818182,0.333333333,O,,,-0.25,,----,----,----,----,SatFACarb,----,,381.19197,381.00000,0.19197
